adjudicate,The tribunal was convened to adjudicate the boundary dispute between the two nations.,판결하다,국제 재판소는 두 국가 간의 국경 분쟁을 판결하기 위해 소집되었다.,裁定する,裁判所は両国間の国境紛争を裁定するために召集された。,裁决,法庭被召集来裁决两国之间的边界争端。,adjudicar,El tribunal fue convocado para adjudicar la disputa fronteriza entre las dos naciones.,phân xử,Tòa án được triệu tập để phân xử tranh chấp biên giới giữa hai quốc gia.,ตัดสิน,ศาลถูกเรียกประชุมเพื่อตัดสินข้อพิพาทเรื่องพรมแดนระหว่างสองประเทศ,mengadili,Pengadilan diadakan untuk mengadili sengketa perbatasan antara kedua negara.
jurisprudence,Her doctoral thesis explored feminist jurisprudence and its impact on constitutional law.,법학,그녀의 박사 논문은 페미니스트 법학과 그것이 헌법에 미친 영향을 탐구했다.,法学,彼女の博士論文はフェミニスト法学とその憲法への影響を探究した。,法理学,她的博士论文探讨了女性主义法理学及其对宪法的影响。,jurisprudencia,Su tesis doctoral exploró la jurisprudencia feminista y su impacto en el derecho constitucional.,luật học,Luận án tiến sĩ của cô nghiên cứu luật học nữ quyền và tác động của nó đến luật hiến pháp.,นิติศาสตร์,วิทยานิพนธ์ปริญญาเอกของเธอสำรวจนิติศาสตร์แนวสตรีนิยมและผลกระทบต่อกฎหมายรัฐธรรมนูญ,yurisprudensi,Tesis doktoralnya mengeksplorasi yurisprudensi feminis dan dampaknya terhadap hukum konstitusi.
promulgate,The government moved swiftly to promulgate new regulations on data privacy.,공포하다,정부는 데이터 프라이버시에 관한 새로운 규정을 공포하기 위해 신속히 움직였다.,公布する,政府はデータプライバシーに関する新たな規制を公布するために迅速に動いた。,颁布,政府迅速采取行动颁布新的数据隐私法规。,promulgar,El gobierno actuó rápidamente para promulgar nuevas regulaciones sobre privacidad de datos.,ban hành,Chính phủ hành động nhanh chóng để ban hành các quy định mới về quyền riêng tư dữ liệu.,ประกาศใช้,รัฐบาลดำเนินการอย่างรวดเร็วเพื่อประกาศใช้กฎระเบียบใหม่เกี่ยวกับความเป็นส่วนตัวของข้อมูล,mengundangkan,Pemerintah bertindak cepat untuk mengundangkan peraturan baru tentang privasi data.
litigant,Both litigants presented compelling evidence before the appellate court.,소송 당사자,양측 소송 당사자는 항소법원에 설득력 있는 증거를 제출했다.,訴訟当事者,両訴訟当事者は控訴裁判所に説得力のある証拠を提出した。,诉讼当事人,双方诉讼当事人在上诉法院提交了有力的证据。,litigante,Ambos litigantes presentaron pruebas convincentes ante el tribunal de apelación.,bên kiện tụng,Cả hai bên kiện tụng đều trình bày bằng chứng thuyết phục trước tòa phúc thẩm.,คู่ความ,คู่ความทั้งสองฝ่ายนำเสนอหลักฐานที่น่าเชื่อถือต่อศาลอุทธรณ์,pihak berperkara,Kedua pihak berperkara menyajikan bukti yang meyakinkan di hadapan pengadilan banding.
plebiscite,The region held a plebiscite to determine whether citizens favored autonomy.,국민투표,그 지역은 시민들이 자치를 지지하는지 결정하기 위해 국민투표를 실시했다.,国民投票,その地域は市民が自治を支持するかどうかを決定するために国民投票を実施した。,公民投票,该地区举行了公民投票以确定公民是否支持自治。,plebiscito,La región celebró un plebiscito para determinar si los ciudadanos favorecían la autonomía.,trưng cầu dân ý,Khu vực này tổ chức trưng cầu dân ý để xác định liệu công dân có ủng hộ quyền tự trị không.,การลงประชามติ,ภูมิภาคนี้จัดการลงประชามติเพื่อพิจารณาว่าประชาชนสนับสนุนการปกครองตนเองหรือไม่,plebisit,Wilayah tersebut mengadakan plebisit untuk menentukan apakah warga mendukung otonomi.
acquittal,The jury's acquittal of the defendant sparked widespread public debate.,무죄 선고,피고인에 대한 배심원의 무죄 선고는 광범위한 공개 토론을 촉발했다.,無罪判決,被告に対する陪審員の無罪判決は広範な公的議論を引き起こした。,无罪释放,陪审团对被告的无罪释放引发了广泛的公众辩论。,absolución,La absolución del acusado por parte del jurado provocó un amplio debate público.,tha bổng,Phán quyết tha bổng của bồi thẩm đoàn đã gây ra cuộc tranh luận công khai rộng rãi.,การตัดสินให้พ้นผิด,คำตัดสินให้พ้นผิดของคณะลูกขุนจุดชนวนการถกเถียงในสาธารณะอย่างกว้างขวาง,pembebasan,Pembebasan terdakwa oleh juri memicu perdebatan publik yang luas.
hegemonic,Critics argued that the treaty reinforced the hegemonic influence of Western powers.,패권적인,비평가들은 그 조약이 서방 강대국의 패권적 영향력을 강화했다고 주장했다.,覇権的な,批評家たちはその条約が西側列強の覇権的影響力を強化したと主張した。,霸权的,批评者认为该条约加强了西方大国的霸权影响。,hegemónico,Los críticos argumentaron que el tratado reforzaba la influencia hegemónica de las potencias occidentales.,bá quyền,Các nhà phê bình cho rằng hiệp ước đã củng cố ảnh hưởng bá quyền của các cường quốc phương Tây.,เกี่ยวกับอำนาจครอบงำ,นักวิจารณ์โต้แย้งว่าสนธิสัญญาเสริมอิทธิพลครอบงำของมหาอำนาจตะวันตก,hegemonik,Para kritikus berpendapat bahwa perjanjian tersebut memperkuat pengaruh hegemonik kekuatan Barat.
exonerate,New forensic evidence served to exonerate the wrongly convicted prisoner.,무죄를 입증하다,새로운 법의학 증거가 억울하게 유죄 판결을 받은 수감자의 무죄를 입증하는 데 기여했다.,無罪を証明する,新たな法医学的証拠が不当に有罪判決を受けた囚人の無罪を証明するのに役立った。,证明无罪,新的法医证据有助于证明被错误定罪的囚犯无罪。,exonerar,Nueva evidencia forense sirvió para exonerar al prisionero injustamente condenado.,minh oan,Bằng chứng pháp y mới đã giúp minh oan cho tù nhân bị kết án oan.,พิสูจน์ว่าบริสุทธิ์,หลักฐานทางนิติวิทยาศาสตร์ใหม่ช่วยพิสูจน์ว่านักโทษที่ถูกตัดสินอย่างผิดพลาดเป็นผู้บริสุทธิ์,membebaskan,Bukti forensik baru berfungsi untuk membebaskan narapidana yang salah dihukum.
oligarchy,The political analyst described the nation's power structure as a de facto oligarchy.,과두제,정치 분석가는 그 국가의 권력 구조를 사실상의 과두제로 묘사했다.,寡頭政治,政治アナリストはその国の権力構造を事実上の寡頭政治と表現した。,寡头政治,政治分析人士将该国的权力结构描述为事实上的寡头政治。,oligarquía,El analista político describió la estructura de poder de la nación como una oligarquía de facto.,chế độ đầu sỏ,Nhà phân tích chính trị mô tả cấu trúc quyền lực của quốc gia là chế độ đầu sỏ trên thực tế.,คณาธิปไตย,นักวิเคราะห์การเมืองอธิบายโครงสร้างอำนาจของประเทศว่าเป็นคณาธิปไตยโดยพฤตินัย,oligarki,Analis politik menggambarkan struktur kekuasaan negara itu sebagai oligarki de facto.
indictment,The grand jury returned a formal indictment against the former minister on corruption charges.,기소,대배심은 부패 혐의로 전 장관에 대한 정식 기소를 결정했다.,起訴,大陪審はかつての大臣に対し汚職容疑で正式な起訴を返した。,起诉书,大陪审团就腐败指控对前部长发出了正式起诉书。,acusación formal,El gran jurado emitió una acusación formal contra el exministro por cargos de corrupción.,bản cáo trạng,Đại bồi thẩm đoàn đã ra bản cáo trạng chính thức đối với cựu bộ trưởng về tội tham nhũng.,คำฟ้อง,คณะลูกขุนใหญ่ส่งคำฟ้องอย่างเป็นทางการต่ออดีตรัฐมนตรีในข้อหาทุจริต,dakwaan,Dewan juri mengeluarkan dakwaan resmi terhadap mantan menteri atas tuduhan korupsi.
jurisprudential,The ruling raised significant jurisprudential questions about the scope of executive power.,법학적인,그 판결은 행정권의 범위에 대한 중요한 법학적 질문을 제기했다.,法学上の,その判決は行政権の範囲に関する重要な法学上の問題を提起した。,法理学的,该裁决引发了关于行政权力范围的重大法理学问题。,jurisprudencial,El fallo planteó cuestiones jurisprudenciales significativas sobre el alcance del poder ejecutivo.,thuộc pháp lý học,Phán quyết đã đặt ra những câu hỏi pháp lý học quan trọng về phạm vi quyền hành pháp.,เกี่ยวกับนิติศาสตร์,คำตัดสินนี้ตั้งคำถามสำคัญทางนิติศาสตร์เกี่ยวกับขอบเขตของอำนาจบริหาร,yurisprudensial,Putusan tersebut menimbulkan pertanyaan yurisprudensial yang signifikan tentang cakupan kekuasaan eksekutif.
