arrange,The personal assistant will arrange a private business lunch with the visiting overseas partners at the elegant downtown restaurant tomorrow afternoon.,마련하다,개인 비서는 내일 오후 우아한 시내 레스토랑에서 방문하는 해외 파트너들과의 사적인 비즈니스 점심을 마련할 것이다.,手配する,個人秘書は明日の午後、優雅な市内のレストランで訪問する海外パートナーとのプライベートなビジネスランチを手配する。,安排,私人助理将在明天下午在优雅的市中心餐厅安排与来访的海外合作伙伴的私人商务午餐。,organizar,La asistente personal organizará un almuerzo de negocios privado con los socios extranjeros visitantes en el elegante restaurante del centro mañana por la tarde.,sắp xếp,Trợ lý cá nhân sẽ sắp xếp một bữa trưa kinh doanh riêng với các đối tác nước ngoài đến thăm tại nhà hàng trung tâm thành phố sang trọng vào chiều mai.,จัดเตรียม,ผู้ช่วยส่วนตัวจะจัดเตรียมมื้อกลางวันธุรกิจส่วนตัวกับพันธมิตรต่างประเทศที่มาเยือนที่ร้านอาหารใจกลางเมืองที่สง่างามบ่ายพรุ่งนี้,mengatur,Asisten pribadi akan mengatur makan siang bisnis pribadi dengan mitra luar negeri yang berkunjung di restoran pusat kota yang elegan besok sore.
attend,All department heads must attend the urgent strategy meeting scheduled in the main conference room this Thursday morning at nine sharp.,참석하다,모든 부서장들은 이번 주 목요일 아침 정각 9시에 주 회의실에서 예정된 긴급 전략 회의에 참석해야 한다.,出席する,すべての部門長は今週木曜日朝9時きっかりにメイン会議室で予定されている緊急戦略会議に出席しなければならない。,出席,所有部门主管必须出席本周四上午九点整在主会议室召开的紧急战略会议。,asistir,Todos los jefes de departamento deben asistir a la reunión urgente de estrategia programada en la sala principal de conferencias este jueves por la mañana a las nueve en punto.,tham dự,Tất cả các trưởng phòng phải tham dự cuộc họp chiến lược khẩn cấp được lên lịch trong phòng họp chính sáng thứ Năm này đúng chín giờ.,เข้าร่วมประชุม,หัวหน้าแผนกทุกคนต้องเข้าร่วมประชุมเชิงกลยุทธ์เร่งด่วนตามกำหนดในห้องประชุมหลักเช้าวันพฤหัสนี้เก้านาฬิกาตรง,menghadiri,Semua kepala departemen harus menghadiri rapat strategi mendesak yang dijadwalkan di ruang konferensi utama Kamis pagi ini tepat pukul sembilan.
broadcast,Local stations will broadcast the live coverage of the championship final tomorrow evening across the entire country starting at exactly eight o'clock.,방송하다,지역 방송국들이 내일 저녁 정확히 8시에 시작해서 전국에 걸쳐 챔피언십 결승전의 생중계를 방송할 것이다.,放送する,地元の放送局は明日の夕方ちょうど8時から始めて全国にわたってチャンピオンシップ決勝戦のライブ中継を放送する。,广播,本地电台明天晚上将从八点整开始在全国范围内广播锦标赛决赛的现场报道。,transmitir,Las estaciones locales transmitirán la cobertura en vivo de la final del campeonato mañana por la noche en todo el país comenzando exactamente a las ocho.,phát sóng,Các đài địa phương sẽ phát sóng tường thuật trực tiếp trận chung kết giải vô địch tối mai trên toàn quốc bắt đầu chính xác lúc tám giờ.,ออกอากาศ,สถานีท้องถิ่นจะออกอากาศการถ่ายทอดสดรอบชิงชนะเลิศของการแข่งขันแชมป์ในเย็นวันพรุ่งนี้ทั่วประเทศเริ่มเวลาแปดโมงตรง,menyiarkan,Stasiun lokal akan menyiarkan liputan langsung final kejuaraan besok malam di seluruh negeri mulai tepat pukul delapan.
describe,The forensic witness was carefully asked to describe the entire suspicious incident in precise detail to the patient experienced investigators.,묘사하다,그 법의학 증인은 인내심 있고 경험 많은 수사관들에게 정밀한 세부 사항으로 전체 의심스러운 사건을 묘사하라고 조심스럽게 요청받았다.,描写する,その法医学的証人は忍耐強く経験豊富な調査官に正確な詳細で疑わしい事件全体を描写するよう慎重に依頼された。,描述,法证证人被仔细要求向耐心而经验丰富的调查人员精确详细地描述整个可疑事件。,describir,Al testigo forense se le pidió cuidadosamente que describiera todo el incidente sospechoso con detalle preciso a los pacientes investigadores experimentados.,mô tả,Nhân chứng pháp y được yêu cầu cẩn thận mô tả toàn bộ sự cố đáng ngờ một cách chi tiết chính xác cho các điều tra viên kiên nhẫn giàu kinh nghiệm.,บรรยาย,พยานนิติเวชถูกขออย่างระมัดระวังให้บรรยายเหตุการณ์ที่น่าสงสัยทั้งหมดในรายละเอียดที่แม่นยำต่อผู้สอบสวนที่อดทนและมีประสบการณ์,menggambarkan,Saksi forensik diminta dengan hati-hati untuk menggambarkan seluruh insiden mencurigakan secara rinci dan tepat kepada para penyelidik berpengalaman yang sabar.
develop,The software company plans to develop a powerful new mobile application that will completely revolutionize how busy people manage their daily personal finances.,개발하다,그 소프트웨어 회사는 바쁜 사람들이 일상적인 개인 재정을 관리하는 방법을 완전히 혁신할 강력한 새 모바일 애플리케이션을 개발할 계획이다.,開発する,そのソフトウェア会社は忙しい人々が日常的な個人財政を管理する方法を完全に革新する強力な新しいモバイルアプリケーションを開発する計画だ。,开发,这家软件公司计划开发一款功能强大的新移动应用程序它将彻底革新繁忙的人们管理日常个人财务的方式。,desarrollar,La empresa de software planea desarrollar una nueva y poderosa aplicación móvil que revolucionará completamente la forma en que las personas ocupadas gestionan sus finanzas personales diarias.,phát triển,Công ty phần mềm dự định phát triển một ứng dụng di động mạnh mẽ mới sẽ hoàn toàn cách mạng hóa cách những người bận rộn quản lý tài chính cá nhân hàng ngày của họ.,พัฒนา,บริษัทซอฟต์แวร์วางแผนพัฒนาแอปพลิเคชันมือถือที่ทรงพลังใหม่ซึ่งจะปฏิวัติวิธีที่คนยุ่งจัดการการเงินส่วนบุคคลประจำวันโดยสิ้นเชิง,mengembangkan,Perusahaan perangkat lunak berencana mengembangkan aplikasi seluler baru yang kuat yang akan sepenuhnya merevolusi bagaimana orang sibuk mengelola keuangan pribadi harian mereka.
divide,The teacher decided to divide the large class into four equal small groups to give each individual student more focused attention.,나누다,그 교사는 각 개별 학생에게 더 집중된 관심을 주기 위해 큰 학급을 네 개의 동등한 작은 그룹으로 나누기로 결정했다.,分ける,その教師は各個別の生徒により集中した注意を払うため、大きなクラスを四つの同等の小グループに分けることに決めた。,分,老师决定将大班分成四个等量的小组以便给每位学生更集中的关注。,dividir,La maestra decidió dividir la gran clase en cuatro grupos pequeños iguales para dar a cada estudiante individual una atención más enfocada.,chia,Giáo viên quyết định chia lớp lớn thành bốn nhóm nhỏ bằng nhau để mỗi học sinh cá nhân được chú ý tập trung hơn.,แบ่ง,ครูตัดสินใจแบ่งชั้นเรียนใหญ่ออกเป็นสี่กลุ่มย่อยเท่ากันเพื่อให้ความสนใจที่เน้นมากขึ้นแก่นักเรียนแต่ละคน,membagi,Guru memutuskan untuk membagi kelas besar menjadi empat kelompok kecil yang sama besar untuk memberikan perhatian yang lebih fokus kepada setiap siswa individu.
educate,Modern teachers strive to educate young students about important environmental issues so they grow into responsible global citizens.,교육하다,현대의 교사들은 학생들이 책임감 있는 세계 시민으로 성장하도록 어린 학생들에게 중요한 환경 문제에 대해 교육하기 위해 노력한다.,教育する,現代の教師たちは学生たちが責任ある世界市民に育つよう、若い学生たちに重要な環境問題について教育するため努める。,教育,现代教师努力教育年轻学生关于重要的环境问题以便他们成长为负责任的全球公民。,educar,Los maestros modernos se esfuerzan por educar a los estudiantes jóvenes sobre los importantes problemas ambientales para que crezcan como ciudadanos globales responsables.,giáo dục,Giáo viên hiện đại nỗ lực giáo dục học sinh trẻ về các vấn đề môi trường quan trọng để các em phát triển thành công dân toàn cầu có trách nhiệm.,ให้การศึกษา,ครูสมัยใหม่พยายามให้การศึกษาแก่นักเรียนรุ่นเยาว์เกี่ยวกับประเด็นสิ่งแวดล้อมที่สำคัญเพื่อให้พวกเขาเติบโตเป็นพลเมืองโลกที่มีความรับผิดชอบ,mendidik,Guru modern berusaha mendidik siswa muda tentang isu lingkungan penting agar mereka tumbuh menjadi warga global yang bertanggung jawab.
examine,The doctor will carefully examine the elderly patient's heart condition using state-of-the-art equipment in the new clinic this morning.,진찰하다,그 의사는 오늘 아침 새 진료소에서 최첨단 장비를 사용하여 노인 환자의 심장 상태를 신중하게 진찰할 것이다.,診察する,その医師は今朝、新しい診療所で最先端の機器を使って高齢の患者の心臓状態を慎重に診察する。,检查,医生今早将在新诊所使用最先进的设备仔细检查老年患者的心脏状况。,examinar,El doctor examinará cuidadosamente la condición cardíaca del paciente anciano usando equipo de última generación en la nueva clínica esta mañana.,khám,Bác sĩ sẽ khám tình trạng tim của bệnh nhân lớn tuổi một cách cẩn thận bằng thiết bị hiện đại nhất tại phòng khám mới sáng nay.,ตรวจ,แพทย์จะตรวจสภาพหัวใจของผู้ป่วยสูงอายุอย่างระมัดระวังโดยใช้อุปกรณ์ที่ทันสมัยที่สุดในคลินิกใหม่เช้านี้,memeriksa,Dokter akan memeriksa dengan hati-hati kondisi jantung pasien lanjut usia menggunakan peralatan canggih di klinik baru pagi ini.
explore,Many young curious travelers love to explore hidden remote countryside villages during their adventurous weekend trips across the beautiful peaceful region.,탐험하다,많은 호기심 많은 어린 여행자들은 아름답고 평화로운 지역을 횡단하는 모험적인 주말 여행 동안 숨겨진 외딴 시골 마을을 탐험하는 것을 좋아한다.,探検する,多くの好奇心旺盛な若い旅行者たちは美しく平和な地域を横断する冒険的な週末の旅の間に隠れた遠隔の田舎の村を探検することを愛している。,探索,许多年轻好奇的旅行者喜欢在他们穿越美丽宁静地区的冒险周末旅行中探索隐藏的偏远乡村村庄。,explorar,A muchos jóvenes viajeros curiosos les encanta explorar pueblos rurales remotos y escondidos durante sus aventureros viajes de fin de semana por la hermosa y pacífica región.,khám phá,Nhiều du khách trẻ tò mò thích khám phá những ngôi làng vùng nông thôn xa xôi ẩn giấu trong những chuyến đi cuối tuần phiêu lưu của họ trên khắp vùng đẹp đẽ yên bình.,สำรวจ,นักเดินทางหนุ่มสาวขี้สงสัยจำนวนมากชอบสำรวจหมู่บ้านชนบทห่างไกลที่ซ่อนเร้นในระหว่างการเดินทางผจญภัยช่วงสุดสัปดาห์ในภูมิภาคที่สวยงามและสงบสุข,menjelajahi,Banyak pelancong muda yang penasaran suka menjelajahi desa pedesaan terpencil tersembunyi selama perjalanan petualangan akhir pekan mereka di wilayah yang indah dan damai.
include,The detailed final proposal should clearly include the projected total budget the complete timeline and all necessary resources required for the upcoming major construction project.,포함시키다,그 상세한 최종 제안서는 다가오는 주요 건설 프로젝트에 필요한 예상 총 예산과 완전한 일정과 모든 필요한 자원을 명확하게 포함시켜야 한다.,含める,その詳細な最終提案書は今度の主要建設プロジェクトに必要な予想総予算と完全なスケジュールとすべての必要なリソースを明確に含めるべきだ。,包含,详细的最终提案应清楚地包含即将开展的主要建设项目所需的预计总预算完整的时间表和所有必要的资源。,incluir,La propuesta final detallada debe incluir claramente el presupuesto total proyectado el cronograma completo y todos los recursos necesarios para el próximo gran proyecto de construcción.,bao gồm,Đề xuất cuối cùng chi tiết nên rõ ràng bao gồm tổng ngân sách dự kiến tiến trình hoàn chỉnh và tất cả nguồn lực cần thiết cho dự án xây dựng lớn sắp tới.,ระบุรวม,ข้อเสนอสุดท้ายโดยละเอียดควรระบุรวมงบประมาณรวมที่คาดการณ์ไว้ไทม์ไลน์ที่สมบูรณ์และทรัพยากรที่จำเป็นทั้งหมดที่จำเป็นสำหรับโครงการก่อสร้างใหญ่ที่กำลังจะมาถึงอย่างชัดเจน,memasukkan,Proposal akhir terperinci harus dengan jelas memasukkan total anggaran yang diproyeksikan jadwal lengkap dan semua sumber daya yang diperlukan untuk proyek konstruksi besar yang akan datang.
notify,Please notify the building security desk immediately if you happen to notice any suspicious unfamiliar person loitering around the parking area late at night.,통지하다,당신이 우연히 밤늦게 주차장 주변을 어슬렁거리는 의심스러운 낯선 사람을 발견하면 즉시 건물 보안 데스크에 통지해 주세요.,通知する,夜遅くに駐車場周辺をうろついている疑わしい見知らぬ人物を見かけたら直ちにビルのセキュリティデスクに通知してください。,通知,如果您碰巧注意到任何可疑陌生人深夜在停车场附近徘徊请立即通知大楼保安台。,notificar,Por favor notifique al mostrador de seguridad del edificio inmediatamente si llega a notar a cualquier persona sospechosa desconocida merodeando alrededor del estacionamiento tarde por la noche.,thông báo,Vui lòng thông báo cho quầy bảo vệ tòa nhà ngay lập tức nếu bạn tình cờ nhận thấy bất kỳ người lạ đáng ngờ nào lảng vảng quanh khu vực đỗ xe vào đêm khuya.,แจ้งให้ทราบ,กรุณาแจ้งให้ทราบโต๊ะรักษาความปลอดภัยอาคารทันทีหากคุณบังเอิญสังเกตเห็นบุคคลแปลกหน้าที่น่าสงสัยเดินวนเวียนอยู่บริเวณที่จอดรถดึกๆ,memberitahu,Mohon segera memberitahu meja keamanan gedung jika Anda kebetulan melihat orang asing mencurigakan yang berkeliaran di sekitar area parkir larut malam.
