english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example,vi_meaning,vi_example,th_meaning,th_example,id_meaning,id_example
abjure,The new director plans to abjure traditional methods in favor of innovation.,포기하다,신임 이사는 혁신을 위해 전통적인 방법을 포기하기로 계획이다.,誓って放棄する,新任取締役はイノベーションのために従来の手法を誓って放棄する計画を立てた。,发誓放弃,新任董事计划发誓放弃传统方法以支持创新。,renunciar solemnemente,El nuevo director planea abjurar los métodos tradicionales en favor de la innovación.,từ bỏ,Giám đốc mới có kế hoạch từ bỏ các phương pháp truyền thống để ủng hộ sự đổi mới.,งดออกเสียง,ผู้อำนวยการคนใหม่วางแผนที่จะยกเลิกวิธีการแบบเดิมเพื่อสนับสนุนนวัตกรรม,menolak,Direktur baru berencana untuk meninggalkan metode tradisional demi inovasi.
abnegate,Supply chain disruptions compelled the logistics team to abnegate existing distribution agreements.,포기하다,공급망 차질로 인해 물류 팀은 기존 유통 계약을 포기하도록 강요받았다.,自己否定する,サプライチェーンの混乱により、物流チームは既存の流通契約を自己否定することを余儀なくされた。,放弃,供应链中断迫使物流团队放弃现有分销协议。,"renunciar, abnegar",Las interrupciones en la cadena de suministro obligaron al equipo de logística a abnegar los acuerdos de distribución existentes.,từ bỏ,Sự gián đoạn của chuỗi cung ứng đã buộc nhóm hậu cần phải từ bỏ các thỏa thuận phân phối hiện có.,ละทิ้ง,การหยุดชะงักของห่วงโซ่อุปทานทำให้ทีมโลจิสติกส์ต้องยกเลิกข้อตกลงการจัดจำหน่ายที่มีอยู่,mengabaikan,Gangguan rantai pasokan memaksa tim logistik untuk membatalkan perjanjian distribusi yang ada.
abrogate,Analysts recommended that the firm abrogate its conservative stance on expansion.,폐지하다,분석가들은 회사가 확장에 대한 보수적 입장을 폐지하도록 권고했다.,廃止する,アナリストは同社が拡大に対する保守的な姿勢を廃止するよう勧告した。,废除,分析师建议公司废除其在扩张方面的保守立场。,"abrogar, derogar",Los analistas recomendaron que la empresa abrogue su postura conservadora en materia de expansión.,bãi bỏ,Các nhà phân tích khuyến nghị công ty nên bãi bỏ quan điểm bảo thủ về việc mở rộng.,ยกเลิก,นักวิเคราะห์แนะนำให้บริษัทยกเลิกจุดยืนอนุรักษ์นิยมในการขยายธุรกิจ,membatalkan,Analis merekomendasikan agar perusahaan tersebut membatalkan sikap konservatifnya terhadap ekspansi.
abstemious,Market analysts described the quarterly results as abstemious and worthy of further scrutiny.,절제하는,시장 분석가들은 분기 실적을 절제하는 것으로 묘사하며 추가 조사가 필요하다고 했다.,節制した,市場アナリストは四半期業績を節制したものと評し、更なる精査が必要だとした。,节制的,市场分析师将季度业绩描述为节制的并值得进一步审视。,"abstemio, sobrio",Los analistas de mercado describieron los resultados trimestrales como abstinentes y dignos de mayor escrutinio.,tiết chế,Các nhà phân tích thị trường mô tả kết quả hàng quý là hợp lý và đáng được xem xét kỹ lưỡng hơn.,เกียจคร้าน,นักวิเคราะห์ตลาดอธิบายว่าผลประกอบการรายไตรมาสนั้นไร้สาระและควรค่าแก่การพิจารณาเพิ่มเติม,hemat,Analis pasar menggambarkan hasil kuartalan ini sebagai hasil yang rendah hati dan layak untuk dicermati lebih lanjut.
abstruse,The abstruse impact of the policy change was felt across all regional offices.,난해한,정책 변경의 난해한 영향이 모든 지역 사무소에서 느껴졌다.,難解な,政策変更の難解な影響はすべての地域オフィスで感じられた。,深奥的,政策变化的深奥的影响在所有区域办事处都有所感受。,"abstruso, oscuro",El impacto abstruso del cambio de política se sintió en todas las oficinas regionales.,sâu sắc,Tất cả các văn phòng khu vực đều cảm nhận được tác động sâu sắc của việc thay đổi chính sách.,ลึกซึ้ง,ผลกระทบที่ลึกซึ้งของการเปลี่ยนแปลงนโยบายเกิดขึ้นทั่วทั้งสำนักงานภูมิภาคทั้งหมด,muskil,Dampak besar dari perubahan kebijakan ini dirasakan di seluruh kantor wilayah.
accede,Investors pressured the board to accede the acquisition deal that lacked strategic value.,동의하다,투자자들은 이사회에 전략적 가치가 부족한 인수 거래를 동의하도록 압력을 가했다.,同意する,投資家は戦略的価値に欠ける買収案件を同意するよう取締役会に圧力をかけた。,同意,投资者向董事会施压要求同意缺乏战略价值的收购交易。,"acceder, consentir",Los inversores presionaron a la junta directiva para que accediera al acuerdo de adquisición que carecía de valor estratégico.,gia nhập,Các nhà đầu tư gây áp lực buộc hội đồng quản trị phải chấp nhận thương vụ mua lại thiếu giá trị chiến lược.,ยอมรับ,นักลงทุนกดดันให้คณะกรรมการลงนามข้อตกลงซื้อกิจการที่ขาดมูลค่าเชิงกลยุทธ์,menyetujui,Investor menekan dewan direksi untuk menyetujui kesepakatan akuisisi yang tidak memiliki nilai strategis.
acrimonious,The consultant delivered an acrimonious analysis that reshaped the marketing plan.,신랄한,컨설턴트는 마케팅 계획을 재편하는 신랄한 분석을 전달했다.,辛辣な,コンサルタントはマーケティング計画を一新する辛辣な分析を提供した。,尖刻的,顾问提交了一份重新塑造营销计划的尖刻的分析报告。,"acrimonioso, mordaz",El consultor presentó un análisis acrimonioso que reformuló el plan de marketing.,gay gắt,Nhà tư vấn đã đưa ra một phân tích sâu sắc nhằm định hình lại kế hoạch tiếp thị.,เผ็ดร้อน,ที่ปรึกษาได้วิเคราะห์อย่างเฉียบแหลมซึ่งปรับเปลี่ยนแผนการตลาด,sengit,Konsultan menyampaikan analisis sengit yang mengubah rencana pemasaran.
adjure,Supply chain disruptions compelled the logistics team to adjure existing distribution agreements.,간청하다,공급망 차질로 인해 물류 팀은 기존 유통 계약을 간청하도록 강요받았다.,懇願する,サプライチェーンの混乱により、物流チームは既存の流通契約を懇願することを余儀なくされた。,恳求,供应链中断迫使物流团队恳求现有分销协议。,"adjurar, implorar solemnemente",Las interrupciones en la cadena de suministro obligaron al equipo de logística a adjurar los acuerdos de distribución existentes.,van xin,Sự gián đoạn của chuỗi cung ứng buộc nhóm hậu cần phải điều chỉnh các thỏa thuận phân phối hiện có.,ปรับ,การหยุดชะงักของห่วงโซ่อุปทานทำให้ทีมโลจิสติกส์ต้องแก้ไขข้อตกลงการจัดจำหน่ายที่มีอยู่,menyumpahi,Gangguan rantai pasokan memaksa tim logistik untuk menunda perjanjian distribusi yang ada.
adroit,The adroit findings of the internal investigation were presented to the ethics committee.,능숙한,내부 조사의 능숙한 결과가 윤리위원회에 보고되었다.,巧みな,内部調査の巧みな結果が倫理委員会に提示された。,灵巧的,内部调查的灵巧的结果被提交给了道德委员会。,"hábil, diestro",Los astutos hallazgos de la investigación interna fueron presentados ante el comité de ética.,khéo léo,Những phát hiện chính xác của cuộc điều tra nội bộ đã được trình bày trước ủy ban đạo đức.,ความชำนาญ,ข้อค้นพบที่ชาญฉลาดของการสอบสวนภายในถูกนำเสนอต่อคณะกรรมการจริยธรรม,cerdik,Temuan cerdas dari penyelidikan internal dipresentasikan kepada komite etika.
adulterate,Supply chain disruptions compelled the logistics team to adulterate existing distribution agreements.,불순물을 섞다,공급망 차질로 인해 물류 팀은 기존 유통 계약을 불순물을 섞도록 강요받았다.,混ぜ物をする,サプライチェーンの混乱により、物流チームは既存の流通契約を混ぜ物をすることを余儀なくされた。,掺假,供应链中断迫使物流团队掺假现有分销协议。,"adulterar, contaminar",Las interrupciones en la cadena de suministro obligaron al equipo de logística a adulterar los acuerdos de distribución existentes.,làm giả,Sự gián đoạn của chuỗi cung ứng đã buộc nhóm hậu cần phải vi phạm các thỏa thuận phân phối hiện có.,ปลอมปน,การหยุดชะงักของห่วงโซ่อุปทานทำให้ทีมงานโลจิสติกส์ต้องปลอมแปลงข้อตกลงการจัดจำหน่ายที่มีอยู่,memalsukan,Gangguan rantai pasokan memaksa tim logistik untuk memalsukan perjanjian distribusi yang sudah ada.
