epistemology,"Epistemology examines the nature and scope of human knowledge.",인식론,"인식론은 인간 지식의 본질과 범위를 탐구한다.",認識論,"認識論は人間の知識の本質と範囲を探究する。",认识论,"认识论研究人类知识的本质和范围。",epistemología,"La epistemología examina la naturaleza y el alcance del conocimiento humano.",nhận thức luận,"Nhận thức luận nghiên cứu bản chất và phạm vi của tri thức con người.",ญาณวิทยา,"ญาณวิทยาศึกษาธรรมชาติและขอบเขตของความรู้ของมนุษย์",epistemologi,"Epistemologi mengkaji sifat dan cakupan pengetahuan manusia."
ontology,"Ontology investigates the fundamental categories of being and existence.",존재론,"존재론은 존재의 근본적 범주를 탐구한다.",存在論,"存在論は存在の根本的なカテゴリーを探究する。",本体论,"本体论研究存在的基本范畴。",ontología,"La ontología investiga las categorías fundamentales del ser y la existencia.",bản thể luận,"Bản thể luận nghiên cứu các phạm trù cơ bản của sự tồn tại.",ภววิทยา,"ภววิทยาศึกษาหมวดหมู่พื้นฐานของการดำรงอยู่",ontologi,"Ontologi menyelidiki kategori fundamental dari keberadaan."
dialectic,"The dialectic between thesis and antithesis produces a higher synthesis.",변증법,"정과 반의 변증법은 더 높은 합을 만들어낸다.",弁証法,"正と反の弁証法はより高い次元の総合を生み出す。",辩证法,"正题与反题的辩证法产生更高层次的综合。",dialéctica,"La dialéctica entre tesis y antítesis produce una síntesis superior.",phép biện chứng,"Phép biện chứng giữa chính đề và phản đề tạo ra tổng hợp cao hơn.",วิภาษวิธี,"วิภาษวิธีระหว่างข้อตั้งและข้อแย้งสร้างการสังเคราะห์ที่สูงกว่า",dialektika,"Dialektika antara tesis dan antitesis menghasilkan sintesis yang lebih tinggi."
solipsism,"Solipsism holds that only one's own mind can be known to exist.",유아론,"유아론은 자신의 마음만이 존재한다고 확인할 수 있다고 주장한다.",独我論,"独我論は自分の心だけが存在すると確認できると主張する。",唯我论,"唯我论认为只有自己的心灵才能被确认存在。",solipsismo,"El solipsismo sostiene que solo la propia mente puede saberse que existe.",duy ngã luận,"Duy ngã luận cho rằng chỉ có tâm trí của chính mình mới có thể được biết là tồn tại.",เอกจิตนิยม,"เอกจิตนิยมถือว่ามีเพียงจิตของตนเองเท่านั้นที่รู้ได้ว่ามีอยู่",solipsisme,"Solipsisme berpendapat bahwa hanya pikiran sendiri yang dapat diketahui ada."
phenomenology,"Phenomenology focuses on the structures of conscious experience.",현상학,"현상학은 의식적 경험의 구조에 초점을 맞춘다.",現象学,"現象学は意識的経験の構造に焦点を当てる。",现象学,"现象学关注意识经验的结构。",fenomenología,"La fenomenología se enfoca en las estructuras de la experiencia consciente.",hiện tượng học,"Hiện tượng học tập trung vào các cấu trúc của trải nghiệm ý thức.",ปรากฏการณ์วิทยา,"ปรากฏการณ์วิทยามุ่งเน้นโครงสร้างของประสบการณ์ทางจิตสำนึก",fenomenologi,"Fenomenologi berfokus pada struktur pengalaman sadar."
determinism,"Determinism asserts that all events are causally inevitable.",결정론,"결정론은 모든 사건이 인과적으로 불가피하다고 주장한다.",決定論,"決定論はすべての出来事が因果的に不可避であると主張する。",决定论,"决定论断言所有事件在因果上都是不可避免的。",determinismo,"El determinismo afirma que todos los eventos son causalmente inevitables.",thuyết tất định,"Thuyết tất định khẳng định rằng mọi sự kiện đều tất yếu về mặt nhân quả.",นิยัตินิยม,"นิยัตินิยมยืนยันว่าเหตุการณ์ทั้งหมดเป็นสิ่งที่หลีกเลี่ยงไม่ได้ตามเหตุผล",determinisme,"Determinisme menyatakan bahwa semua peristiwa secara kausal tidak terelakkan."
teleological,"The teleological argument infers design from the complexity of nature.",목적론적,"목적론적 논증은 자연의 복잡성에서 설계를 추론한다.",目的論的,"目的論的論証は自然の複雑さから設計を推論する。",目的论的,"目的论论证从自然的复杂性中推断出设计。",teleológico,"El argumento teleológico infiere diseño de la complejidad de la naturaleza.",mục đích luận,"Lập luận mục đích luận suy ra thiết kế từ sự phức tạp của tự nhiên.",สัมพันธ์กับจุดมุ่งหมาย,"ข้อโต้แย้งทางจุดมุ่งหมายอนุมานการออกแบบจากความซับซ้อนของธรรมชาติ",teleologis,"Argumen teleologis menyimpulkan desain dari kompleksitas alam."
nihilism,"Nihilism rejects all moral and religious principles as meaningless.",허무주의,"허무주의는 모든 도덕적·종교적 원칙을 무의미하다고 거부한다.",ニヒリズム,"ニヒリズムはすべての道徳的・宗教的原理を無意味として拒絶する。",虚无主义,"虚无主义否定一切道德和宗教原则为无意义。",nihilismo,"El nihilismo rechaza todos los principios morales y religiosos como carentes de sentido.",chủ nghĩa hư vô,"Chủ nghĩa hư vô bác bỏ mọi nguyên tắc đạo đức và tôn giáo là vô nghĩa.",นิฮิลิสม์,"นิฮิลิสม์ปฏิเสธหลักศีลธรรมและศาสนาทั้งหมดว่าไร้ความหมาย",nihilisme,"Nihilisme menolak semua prinsip moral dan agama sebagai tidak bermakna."
neuroplasticity,"Neuroplasticity allows the brain to reorganize itself after injury.",신경가소성,"신경가소성은 뇌가 손상 후 스스로 재조직할 수 있게 한다.",神経可塑性,"神経可塑性は損傷後に脳が自己再組織化することを可能にする。",神经可塑性,"神经可塑性使大脑在受伤后能够自我重组。",neuroplasticidad,"La neuroplasticidad permite que el cerebro se reorganice después de una lesión.",tính dẻo thần kinh,"Tính dẻo thần kinh cho phép não tự tổ chức lại sau chấn thương.",ความยืดหยุ่นของระบบประสาท,"ความยืดหยุ่นของระบบประสาทช่วยให้สมองจัดระเบียบใหม่หลังจากได้รับบาดเจ็บ",neuroplastisitas,"Neuroplastisitas memungkinkan otak mengatur ulang dirinya setelah cedera."
synaptogenesis,"Synaptogenesis peaks during early childhood development.",시냅스 형성,"시냅스 형성은 초기 아동 발달 동안 정점에 달한다.",シナプス形成,"シナプス形成は幼児期の発達中にピークに達する。",突触发生,"突触发生在儿童早期发育期间达到高峰。",sinaptogénesis,"La sinaptogénesis alcanza su punto máximo durante el desarrollo infantil temprano.",sự hình thành synapse,"Sự hình thành synapse đạt đỉnh trong giai đoạn phát triển ấu thơ.",การสร้างไซแนปส์,"การสร้างไซแนปส์สูงสุดในช่วงพัฒนาการวัยเด็กตอนต้น",sinaptogenesis,"Sinaptogenesis mencapai puncaknya selama perkembangan anak usia dini."
neurotransmitter,"Dopamine is a neurotransmitter associated with reward and motivation.",신경전달물질,"도파민은 보상과 동기 부여와 관련된 신경전달물질이다.",神経伝達物質,"ドーパミンは報酬と動機付けに関連する神経伝達物質である。",神经递质,"多巴胺是一种与奖赏和动机相关的神经递质。",neurotransmisor,"La dopamina es un neurotransmisor asociado con la recompensa y la motivación.",chất dẫn truyền thần kinh,"Dopamine là một chất dẫn truyền thần kinh liên quan đến phần thưởng và động lực.",สารสื่อประสาท,"โดพามีนเป็นสารสื่อประสาทที่เกี่ยวข้องกับรางวัลและแรงจูงใจ",neurotransmiter,"Dopamin adalah neurotransmiter yang terkait dengan penghargaan dan motivasi."
amygdala,"The amygdala processes emotional responses such as fear and anxiety.",편도체,"편도체는 공포와 불안 같은 감정 반응을 처리한다.",扁桃体,"扁桃体は恐怖や不安などの感情的反応を処理する。",杏仁核,"杏仁核处理恐惧和焦虑等情绪反应。",amígdala,"La amígdala procesa respuestas emocionales como el miedo y la ansiedad.",hạch hạnh nhân,"Hạch hạnh nhân xử lý các phản ứng cảm xúc như sợ hãi và lo âu.",อะมิกดาลา,"อะมิกดาลาประมวลผลการตอบสนองทางอารมณ์เช่นความกลัวและความวิตกกังวล",amigdala,"Amigdala memproses respons emosional seperti ketakutan dan kecemasan."
hippocampus,"The hippocampus plays a critical role in consolidating long-term memories.",해마,"해마는 장기 기억 통합에 중요한 역할을 한다.",海馬体,"海馬体は長期記憶の統合に重要な役割を果たす。",海马体,"海马体在巩固长期记忆中起着关键作用。",hipocampo,"El hipocampo desempeña un papel fundamental en la consolidación de memorias a largo plazo.",hồi hải mã,"Hồi hải mã đóng vai trò quan trọng trong việc củng cố trí nhớ dài hạn.",ฮิปโปแคมปัส,"ฮิปโปแคมปัสมีบทบาทสำคัญในการรวมความจำระยะยาว",hipokampus,"Hipokampus memainkan peran penting dalam konsolidasi memori jangka panjang."
myelination,"Myelination of neural pathways continues well into adolescence.",수초화,"신경 경로의 수초화는 청소년기까지 계속된다.",髄鞘形成,"神経経路の髄鞘形成は思春期まで続く。",髓鞘化,"神经通路的髓鞘化一直持续到青春期。",mielinización,"La mielinización de las vías neuronales continúa hasta bien entrada la adolescencia.",quá trình myelin hóa,"Quá trình myelin hóa các đường thần kinh tiếp tục đến tuổi vị thành niên.",การสร้างปลอกไมอีลิน,"การสร้างปลอกไมอีลินของเส้นทางประสาทยังคงดำเนินต่อไปจนถึงวัยรุ่น",mielinisasi,"Mielinisasi jalur saraf berlanjut hingga masa remaja."
prefrontal,"The prefrontal cortex governs executive functions like decision-making.",전전두엽의,"전전두엽 피질은 의사결정 같은 실행 기능을 관장한다.",前頭前野の,"前頭前野は意思決定などの実行機能を制御する。",前额叶的,"前额叶皮层控制决策等执行功能。",prefrontal,"La corteza prefrontal gobierna funciones ejecutivas como la toma de decisiones.",vùng trước trán,"Vỏ não trước trán chi phối các chức năng điều hành như ra quyết định.",ส่วนหน้าผาก,"คอร์เทกซ์ส่วนหน้าผากควบคุมหน้าที่บริหารเช่นการตัดสินใจ",prefrontal,"Korteks prefrontal mengatur fungsi eksekutif seperti pengambilan keputusan."
serotonergic,"Serotonergic pathways regulate mood and emotional well-being.",세로토닌성,"세로토닌성 경로는 기분과 정서적 안녕을 조절한다.",セロトニン作動性,"セロトニン作動性経路は気分と情緒的幸福を制御する。",血清素能的,"血清素能通路调节情绪和心理健康。",serotoninérgico,"Las vías serotoninérgicas regulan el estado de ánimo y el bienestar emocional.",thuộc serotonin,"Các đường dẫn serotonin điều chỉnh tâm trạng và sức khỏe cảm xúc.",เกี่ยวกับเซโรโทนิน,"วิถีเซโรโทนินควบคุมอารมณ์และความเป็นอยู่ที่ดีทางอารมณ์",serotonergik,"Jalur serotonergik mengatur suasana hati dan kesejahteraan emosional."
cortical,"Cortical thinning is a marker of neurodegeneration in Alzheimer's disease.",피질의,"피질 얇아짐은 알츠하이머병의 신경 퇴행 표지이다.",皮質の,"皮質の菲薄化はアルツハイマー病における神経変性のマーカーである。",皮层的,"皮层变薄是阿尔茨海默病神经退行性变的标志。",cortical,"El adelgazamiento cortical es un marcador de neurodegeneración en la enfermedad de Alzheimer.",vỏ não,"Sự mỏng đi của vỏ não là dấu hiệu thoái hóa thần kinh trong bệnh Alzheimer.",เปลือกสมอง,"การบางลงของเปลือกสมองเป็นตัวบ่งชี้การเสื่อมของระบบประสาทในโรคอัลไซเมอร์",kortikal,"Penipisan kortikal adalah penanda neurodegenerasi pada penyakit Alzheimer."
afferent,"Afferent neurons carry sensory information from receptors to the brain.",구심성의,"구심성 뉴런은 수용체에서 뇌로 감각 정보를 전달한다.",求心性の,"求心性ニューロンは受容体から脳へ感覚情報を伝える。",传入的,"传入神经元将感觉信息从受体传送到大脑。",aferente,"Las neuronas aferentes transportan información sensorial desde los receptores hasta el cerebro.",hướng tâm,"Các nơ-ron hướng tâm mang thông tin cảm giác từ thụ thể đến não.",นำเข้า,"เซลล์ประสาทนำเข้าส่งข้อมูลประสาทสัมผัสจากตัวรับไปยังสมอง",aferen,"Neuron aferen membawa informasi sensorik dari reseptor ke otak."
glial,"Glial cells provide structural and metabolic support to neurons.",신경교의,"신경교 세포는 뉴런에 구조적·대사적 지지를 제공한다.",グリアの,"グリア細胞はニューロンに構造的・代謝的支持を提供する。",胶质的,"胶质细胞为神经元提供结构和代谢支持。",glial,"Las células gliales proporcionan soporte estructural y metabólico a las neuronas.",thần kinh đệm,"Các tế bào thần kinh đệm cung cấp hỗ trợ cấu trúc và chuyển hóa cho nơ-ron.",เซลล์เกลีย,"เซลล์เกลียให้การสนับสนุนโครงสร้างและการเผาผลาญแก่เซลล์ประสาท",glial,"Sel glial memberikan dukungan struktural dan metabolik kepada neuron."
proprioception,"Proprioception enables awareness of body position without visual input.",고유수용감각,"고유수용감각은 시각 없이도 신체 위치를 인식하게 해준다.",固有受容感覚,"固有受容感覚は視覚入力なしに身体の位置を認識することを可能にする。",本体感觉,"本体感觉使人在没有视觉输入的情况下感知身体位置。",propiocepción,"La propiocepción permite la consciencia de la posición corporal sin información visual.",cảm giác bản thể,"Cảm giác bản thể cho phép nhận biết vị trí cơ thể mà không cần thị giác.",การรับรู้อากัปกิริยา,"การรับรู้อากัปกิริยาทำให้รับรู้ตำแหน่งร่างกายโดยไม่ต้องอาศัยการมองเห็น",propriosepsi,"Propriosepsi memungkinkan kesadaran posisi tubuh tanpa input visual."
jurisprudence,"Jurisprudence explores the theoretical foundations of legal systems.",법학,"법학은 법 체계의 이론적 기초를 탐구한다.",法学,"法学は法体系の理論的基盤を探究する。",法理学,"法理学探索法律体系的理论基础。",jurisprudencia,"La jurisprudencia explora los fundamentos teóricos de los sistemas legales.",luật học,"Luật học khám phá các nền tảng lý thuyết của hệ thống pháp luật.",นิติศาสตร์,"นิติศาสตร์สำรวจรากฐานทางทฤษฎีของระบบกฎหมาย",yurisprudensi,"Yurisprudensi mengeksplorasi fondasi teoretis sistem hukum."
adjudication,"Adjudication by the Supreme Court resolved the constitutional dispute.",재판,"대법원의 재판이 헌법적 분쟁을 해결했다.",裁決,"最高裁判所による裁決が憲法上の紛争を解決した。",裁决,"最高法院的裁决解决了宪法争议。",adjudicación,"La adjudicación del Tribunal Supremo resolvió la disputa constitucional.",phán quyết,"Phán quyết của Tòa án Tối cao đã giải quyết tranh chấp hiến pháp.",การพิพากษา,"การพิพากษาโดยศาลฎีกาแก้ไขข้อพิพาททางรัฐธรรมนูญ",ajudikasi,"Ajudikasi oleh Mahkamah Agung menyelesaikan sengketa konstitusional."
