hegemony,"The cultural hegemony of Western media shapes global consumption patterns.",패권,서구 미디어의 문화적 패권은 세계적 소비 패턴을 형성한다.,覇権,西洋メディアの文化的覇権はグローバルな消費パターンを形成している。,霸权,西方媒体的文化霸权塑造了全球消费模式。,hegemonía,La hegemonía cultural de los medios occidentales moldea los patrones de consumo global.,quyền bá chủ,Quyền bá chủ văn hóa của truyền thông phương Tây định hình các mô hình tiêu dùng toàn cầu.,อำนาจครอบงำ,อำนาจครอบงำทางวัฒนธรรมของสื่อตะวันตกกำหนดรูปแบบการบริโภคทั่วโลก,hegemoni,Hegemoni budaya media Barat membentuk pola konsumsi global.
stratification,"Social stratification perpetuates inequality across generations.",계층화,사회적 계층화는 세대를 걸쳐 불평등을 영속시킨다.,階層化,社会的階層化は世代を超えて不平等を永続させる。,分层,社会分层使不平等代代延续。,estratificación,La estratificación social perpetúa la desigualdad a través de generaciones.,phân tầng,Phân tầng xã hội duy trì sự bất bình đẳng qua các thế hệ.,การแบ่งชั้น,การแบ่งชั้นทางสังคมทำให้ความไม่เท่าเทียมคงอยู่ข้ามรุ่น,stratifikasi,Stratifikasi sosial melanggengkan ketidaksetaraan lintas generasi.
oligarchy,"The country gradually devolved into an oligarchy controlled by a few wealthy families.",과두제,그 나라는 점차 소수의 부유한 가문이 지배하는 과두제로 변질되었다.,寡頭制,その国は少数の裕福な一族に支配される寡頭制へと徐々に変質した。,寡头政治,该国逐渐演变为由少数富裕家族控制的寡头政治。,oligarquía,El país se convirtió gradualmente en una oligarquía controlada por unas pocas familias adineradas.,chế độ đầu sỏ,Đất nước dần chuyển thành chế độ đầu sỏ do một vài gia đình giàu có kiểm soát.,คณาธิปไตย,ประเทศค่อยๆ เปลี่ยนเป็นคณาธิปไตยที่ควบคุมโดยตระกูลร่ำรวยไม่กี่ตระกูล,oligarki,Negara itu secara bertahap berubah menjadi oligarki yang dikendalikan oleh beberapa keluarga kaya.
commodification,"The commodification of education undermines its intrinsic value.",상품화,교육의 상품화는 그 본질적 가치를 훼손한다.,商品化,教育の商品化はその本質的価値を損なう。,商品化,教育的商品化损害了其内在价值。,mercantilización,La mercantilización de la educación socava su valor intrínseco.,thương mại hóa,Thương mại hóa giáo dục làm suy giảm giá trị nội tại của nó.,การทำให้เป็นสินค้า,การทำให้การศึกษาเป็นสินค้าบ่อนทำลายคุณค่าที่แท้จริงของมัน,komodifikasi,Komodifikasi pendidikan merusak nilai intrinsiknya.
plutocracy,"Critics argue that campaign financing has turned democracy into a plutocracy.",금권정치,비평가들은 선거 자금이 민주주의를 금권정치로 변질시켰다고 주장한다.,金権政治,批評家たちは選挙資金が民主主義を金権政治に変えたと主張する。,财阀政治,批评者认为竞选资金已将民主转变为财阀政治。,plutocracia,Los críticos argumentan que el financiamiento de campañas ha convertido la democracia en una plutocracia.,chế độ tài phiệt,Các nhà phê bình cho rằng tài trợ chiến dịch đã biến nền dân chủ thành chế độ tài phiệt.,ธนาธิปไตย,นักวิจารณ์โต้แย้งว่าการเงินหาเสียงได้เปลี่ยนประชาธิปไตยเป็นธนาธิปไตย,plutokrasi,Kritikus berpendapat bahwa pendanaan kampanye telah mengubah demokrasi menjadi plutokrasi.
epistemic,"Epistemic humility requires acknowledging the limits of one's knowledge.",인식론적,인식론적 겸손은 자신의 지식의 한계를 인정하는 것을 요구한다.,認識論的,認識論的謙虚さは自分の知識の限界を認めることを要求する。,认识论的,认识论的谦逊要求承认自身知识的局限。,epistémico,La humildad epistémica requiere reconocer los límites del propio conocimiento.,nhận thức luận,Sự khiêm tốn nhận thức luận đòi hỏi phải thừa nhận giới hạn tri thức của mình.,ญาณวิทยา,ความถ่อมตนทางญาณวิทยาต้องการการยอมรับขีดจำกัดของความรู้ตนเอง,epistemis,Kerendahan hati epistemis memerlukan pengakuan atas batasan pengetahuan seseorang.
fiscal austerity,"Fiscal austerity measures led to widespread public sector layoffs.",재정 긴축,재정 긴축 조치는 광범위한 공공 부문 해고로 이어졌다.,財政緊縮,財政緊縮策は広範な公共部門の人員削減につながった。,财政紧缩,财政紧缩措施导致了大范围的公共部门裁员。,austeridad fiscal,Las medidas de austeridad fiscal provocaron despidos generalizados en el sector público.,thắt lưng buộc bụng tài chính,Các biện pháp thắt lưng buộc bụng tài chính dẫn đến sa thải hàng loạt trong khu vực công.,การรัดเข็มขัดทางการคลัง,มาตรการรัดเข็มขัดทางการคลังนำไปสู่การเลิกจ้างในภาครัฐอย่างกว้างขวาง,penghematan fiskal,Langkah-langkah penghematan fiskal menyebabkan pemutusan hubungan kerja sektor publik secara luas.
dialectics,"Hegelian dialectics posits that contradictions drive historical progress.",변증법,헤겔의 변증법은 모순이 역사적 진보를 이끈다고 주장한다.,弁証法,ヘーゲル弁証法は矛盾が歴史的進歩を推進すると主張する。,辩证法,黑格尔辩证法认为矛盾推动历史进步。,dialéctica,La dialéctica hegeliana postula que las contradicciones impulsan el progreso histórico.,phép biện chứng,Phép biện chứng Hegel cho rằng mâu thuẫn thúc đẩy tiến bộ lịch sử.,วิภาษวิธี,วิภาษวิธีของเฮเกิลตั้งสมมติฐานว่าความขัดแย้งขับเคลื่อนความก้าวหน้าทางประวัติศาสตร์,dialektika,Dialektika Hegelian menyatakan bahwa kontradiksi mendorong kemajuan sejarah.
verisimilitude,"The novel's verisimilitude made readers forget they were reading fiction.",사실성,그 소설의 사실성은 독자들이 허구를 읽고 있다는 것을 잊게 만들었다.,真実らしさ,その小説の真実らしさは読者にフィクションを読んでいることを忘れさせた。,逼真性,这部小说的逼真性让读者忘记了他们在读虚构作品。,verosimilitud,La verosimilitud de la novela hizo que los lectores olvidaran que estaban leyendo ficción.,tính chân thực,Tính chân thực của cuốn tiểu thuyết khiến độc giả quên rằng họ đang đọc hư cấu.,ความสมจริง,ความสมจริงของนวนิยายทำให้ผู้อ่านลืมว่าพวกเขากำลังอ่านนิยาย,keserupaan dengan kenyataan,Keserupaan dengan kenyataan novel itu membuat pembaca lupa bahwa mereka sedang membaca fiksi.
neoliberalism,"Neoliberalism advocates for deregulation and free-market capitalism.",신자유주의,신자유주의는 규제 완화와 자유시장 자본주의를 옹호한다.,新自由主義,新自由主義は規制緩和と自由市場資本主義を提唱する。,新自由主义,新自由主义倡导放松管制和自由市场资本主义。,neoliberalismo,El neoliberalismo aboga por la desregulación y el capitalismo de libre mercado.,chủ nghĩa tân tự do,Chủ nghĩa tân tự do ủng hộ phi điều tiết và chủ nghĩa tư bản thị trường tự do.,เสรีนิยมใหม่,เสรีนิยมใหม่สนับสนุนการยกเลิกกฎระเบียบและทุนนิยมตลาดเสรี,neoliberalisme,Neoliberalisme mengadvokasi deregulasi dan kapitalisme pasar bebas.
intersubjectivity,"Intersubjectivity allows individuals to share meanings within a community.",상호주관성,상호주관성은 공동체 내에서 개인들이 의미를 공유할 수 있게 한다.,間主観性,間主観性は共同体内で個人が意味を共有することを可能にする。,主体间性,主体间性使个体能够在社区内共享意义。,intersubjetividad,La intersubjetividad permite a los individuos compartir significados dentro de una comunidad.,liên chủ thể,Tính liên chủ thể cho phép các cá nhân chia sẻ ý nghĩa trong cộng đồng.,อัตวิสัยร่วม,อัตวิสัยร่วมช่วยให้บุคคลแบ่งปันความหมายภายในชุมชน,intersubjektivitas,Intersubjektivitas memungkinkan individu berbagi makna dalam sebuah komunitas.
