jurisprudence,The professor's lecture on jurisprudence explored the philosophical foundations of legal systems.,법학,그 교수의 법학 강의는 법 체계의 철학적 기초를 탐구했다.,法学,その教授の法学の講義は法体系の哲学的基礎を探究した。,法理学,那位教授的法理学讲座探讨了法律体系的哲学基础。,jurisprudencia,La conferencia del profesor sobre jurisprudencia exploró los fundamentos filosóficos de los sistemas legales.,luật học,Bài giảng của giáo sư về luật học đã khám phá nền tảng triết học của các hệ thống pháp luật.,นิติศาสตร์,การบรรยายของศาสตราจารย์เรื่องนิติศาสตร์ได้สำรวจรากฐานทางปรัชญาของระบบกฎหมาย,yurisprudensi,Kuliah profesor tentang yurisprudensi mengeksplorasi dasar filosofis sistem hukum.
adjudication,The adjudication of the dispute required careful examination of constitutional precedent.,재판,그 분쟁의 재판은 헌법적 판례의 신중한 검토를 필요로 했다.,裁定,その紛争の裁定は憲法上の判例の慎重な検討を必要とした。,裁决,该争端的裁决需要仔细审查宪法判例。,adjudicación,La adjudicación de la disputa requirió un examen cuidadoso del precedente constitucional.,phán quyết,Việc phán quyết tranh chấp đòi hỏi phải xem xét kỹ lưỡng tiền lệ hiến pháp.,การพิพากษา,การพิพากษาข้อพิพาทนั้นต้องมีการตรวจสอบบรรทัดฐานทางรัฐธรรมนูญอย่างรอบคอบ,ajudikasi,Ajudikasi sengketa tersebut memerlukan pemeriksaan cermat terhadap preseden konstitusional.
promulgate,The government moved to promulgate the new constitutional amendment immediately.,공포하다,정부는 새로운 헌법 수정안을 즉시 공포하기로 했다.,公布する,政府は新しい憲法修正案を直ちに公布することにした。,颁布,政府决定立即颁布新的宪法修正案。,promulgar,El gobierno procedió a promulgar la nueva enmienda constitucional de inmediato.,ban hành,Chính phủ đã tiến hành ban hành sửa đổi hiến pháp mới ngay lập tức.,ประกาศใช้,รัฐบาลดำเนินการประกาศใช้การแก้ไขรัฐธรรมนูญฉบับใหม่ทันที,mengundangkan,Pemerintah bergerak untuk mengundangkan amandemen konstitusi baru dengan segera.
bicameralism,Bicameralism ensures that legislation undergoes scrutiny by two separate legislative bodies.,양원제,양원제는 입법이 두 개의 별도 입법 기관에 의해 심사되도록 보장한다.,二院制,二院制は立法が二つの別々の立法機関による精査を受けることを保証する。,两院制,两院制确保立法接受两个独立立法机构的审查。,bicameralismo,El bicameralismo asegura que la legislación sea examinada por dos cuerpos legislativos separados.,lưỡng viện,Chế độ lưỡng viện đảm bảo rằng luật pháp được xem xét kỹ lưỡng bởi hai cơ quan lập pháp riêng biệt.,ระบบสองสภา,ระบบสองสภาทำให้มั่นใจว่ากฎหมายได้รับการตรวจสอบโดยสองสภานิติบัญญัติที่แยกจากกัน,bikameralisme,Bikameralisme memastikan bahwa undang-undang menjalani pengawasan oleh dua badan legislatif terpisah.
habeas corpus,The defense attorney filed a writ of habeas corpus to challenge the unlawful detention.,인신보호영장,변호사는 불법 구금에 이의를 제기하기 위해 인신보호영장을 신청했다.,人身保護令状,弁護人は不法拘束に異議を唱えるために人身保護令状を申請した。,人身保护令,辩护律师提出人身保护令以质疑非法拘留。,hábeas corpus,El abogado defensor presentó un recurso de hábeas corpus para impugnar la detención ilegal.,lệnh bảo thân,Luật sư bào chữa đã nộp lệnh bảo thân để phản đối việc giam giữ trái pháp luật.,หมายเรียกตัว,ทนายฝ่ายจำเลยยื่นหมายเรียกตัวเพื่อคัดค้านการควบคุมตัวโดยมิชอบด้วยกฎหมาย,habeas corpus,Pengacara pembela mengajukan surat perintah habeas corpus untuk menentang penahanan yang melanggar hukum.
ratification,Ratification of the treaty required a two-thirds majority in the senate.,비준,조약의 비준은 상원에서 3분의 2의 다수결을 필요로 했다.,批准,条約の批准には上院での三分の二の多数決が必要であった。,批准,条约的批准需要参议院三分之二多数通过。,ratificación,La ratificación del tratado requirió una mayoría de dos tercios en el senado.,phê chuẩn,Việc phê chuẩn hiệp ước đòi hỏi đa số hai phần ba tại thượng viện.,การให้สัตยาบัน,การให้สัตยาบันสนธิสัญญาต้องได้เสียงข้างมากสองในสามในวุฒิสภา,ratifikasi,Ratifikasi perjanjian tersebut memerlukan mayoritas dua pertiga di senat.
enumerated powers,The constitution explicitly lists enumerated powers granted to the federal government.,열거된 권한,헌법은 연방 정부에 부여된 열거된 권한을 명시적으로 나열한다.,列挙された権限,憲法は連邦政府に付与された列挙された権限を明示的に列挙している。,列举权力,宪法明确列出了授予联邦政府的列举权力。,poderes enumerados,La constitución enumera explícitamente los poderes enumerados otorgados al gobierno federal.,quyền liệt kê,Hiến pháp liệt kê rõ ràng các quyền liệt kê được trao cho chính phủ liên bang.,อำนาจที่ระบุไว้,รัฐธรรมนูญระบุอำนาจที่ระบุไว้ที่มอบให้แก่รัฐบาลกลางอย่างชัดเจน,kekuasaan yang disebutkan,Konstitusi secara eksplisit mencantumkan kekuasaan yang disebutkan yang diberikan kepada pemerintah federal.
stare decisis,The principle of stare decisis compels courts to follow established judicial precedent.,선례 구속의 원칙,선례 구속의 원칙은 법원이 확립된 사법 선례를 따르도록 강제한다.,先例拘束の原則,先例拘束の原則は裁判所に確立された司法上の先例に従うことを強いる。,遵循先例原则,遵循先例原则要求法院遵循已确立的司法先例。,stare decisis,El principio de stare decisis obliga a los tribunales a seguir el precedente judicial establecido.,nguyên tắc tiền lệ,Nguyên tắc tiền lệ buộc các tòa án phải tuân theo tiền lệ tư pháp đã được thiết lập.,หลักบรรทัดฐาน,หลักบรรทัดฐานบังคับให้ศาลปฏิบัติตามแนวคำพิพากษาที่ได้วางไว้,stare decisis,Prinsip stare decisis mewajibkan pengadilan untuk mengikuti preseden yudisial yang telah ditetapkan.
sovereign immunity,Sovereign immunity protects the state from being sued without its own consent.,국가면책특권,국가면책특권은 국가가 자체 동의 없이 소송을 당하지 않도록 보호한다.,主権免除,主権免除は国家が自らの同意なしに訴えられることから保護する。,主权豁免,主权豁免保护国家免于在未经其同意的情况下被起诉。,inmunidad soberana,La inmunidad soberana protege al estado de ser demandado sin su propio consentimiento.,quyền miễn trừ chủ quyền,Quyền miễn trừ chủ quyền bảo vệ nhà nước khỏi bị kiện mà không có sự đồng ý của chính nhà nước.,เอกสิทธิ์อธิปไตย,เอกสิทธิ์อธิปไตยคุ้มครองรัฐจากการถูกฟ้องร้องโดยไม่ได้รับความยินยอมจากรัฐเอง,imunitas kedaulatan,Imunitas kedaulatan melindungi negara dari dituntut tanpa persetujuannya sendiri.
due process,The Fifth Amendment guarantees due process before any deprivation of life or liberty.,적법 절차,수정헌법 제5조는 생명이나 자유의 박탈 전에 적법 절차를 보장한다.,適正手続き,修正第五条は生命や自由の剥奪の前に適正手続きを保証する。,正当程序,第五修正案保障在剥夺生命或自由之前的正当程序。,debido proceso,La Quinta Enmienda garantiza el debido proceso antes de cualquier privación de vida o libertad.,thủ tục hợp pháp,Tu chính án thứ năm bảo đảm thủ tục hợp pháp trước bất kỳ sự tước đoạt mạng sống hay tự do nào.,กระบวนการที่ถูกต้อง,การแก้ไขเพิ่มเติมรัฐธรรมนูญครั้งที่ห้ารับประกันกระบวนการที่ถูกต้องก่อนการพรากชีวิตหรือเสรีภาพ,proses hukum yang adil,Amandemen Kelima menjamin proses hukum yang adil sebelum perampasan nyawa atau kebebasan.
federalism,Federalism divides governmental authority between national and subnational jurisdictions.,연방주의,연방주의는 정부 권한을 국가 및 하위 국가 관할권 사이에 분배한다.,連邦主義,連邦主義は政府の権限を国家と地方の管轄権の間で分割する。,联邦制,联邦制将政府权力在国家和次国家管辖区之间进行划分。,federalismo,El federalismo divide la autoridad gubernamental entre jurisdicciones nacionales y subnacionales.,chủ nghĩa liên bang,Chủ nghĩa liên bang phân chia quyền lực chính phủ giữa các cấp quốc gia và địa phương.,สหพันธรัฐนิยม,สหพันธรัฐนิยมแบ่งอำนาจของรัฐบาลระหว่างเขตอำนาจระดับชาติและระดับรอง,federalisme,Federalisme membagi otoritas pemerintahan antara yurisdiksi nasional dan subnasional.
