bioaccumulation,"Toxic metals undergo bioaccumulation in the tissues of apex predators.",생물농축,"독성 금속은 최상위 포식자의 조직에서 생물농축을 겪는다.",生体蓄積,"有毒金属は頂点捕食者の組織に生体蓄積する。",生物蓄积,"有毒金属在顶级捕食者的组织中发生生物蓄积。",bioacumulación,"Los metales tóxicos sufren bioacumulación en los tejidos de los depredadores superiores.",tích lũy sinh học,"Kim loại độc hại trải qua quá trình tích lũy sinh học trong mô của động vật ăn thịt đầu bảng.",การสะสมทางชีวภาพ,"โลหะที่เป็นพิษเกิดการสะสมทางชีวภาพในเนื้อเยื่อของนักล่าชั้นยอด",bioakumulasi,"Logam beracun mengalami bioakumulasi dalam jaringan predator puncak."
biomagnification,"Biomagnification causes pollutant concentrations to increase at each trophic level.",생물확대,"생물확대는 각 영양 단계에서 오염물질 농도를 증가시킨다.",生物濃縮,"生物濃縮により各栄養段階で汚染物質の濃度が増加する。",生物放大,"生物放大导致污染物浓度在每个营养级递增。",biomagnificación,"La biomagnificación causa que las concentraciones de contaminantes aumenten en cada nivel trófico.",phóng đại sinh học,"Sự phóng đại sinh học khiến nồng độ chất ô nhiễm tăng lên ở mỗi bậc dinh dưỡng.",การขยายทางชีวภาพ,"การขยายทางชีวภาพทำให้ความเข้มข้นของสารมลพิษเพิ่มขึ้นในแต่ละระดับโภชนาการ",biomagnifikasi,"Biomagnifikasi menyebabkan konsentrasi polutan meningkat di setiap tingkat trofik."
bioremediation,"The company employed bioremediation to clean up the contaminated groundwater.",생물정화,"그 회사는 오염된 지하수를 정화하기 위해 생물정화를 사용했다.",バイオレメディエーション,"その会社は汚染された地下水を浄化するためにバイオレメディエーションを採用した。",生物修复,"该公司采用生物修复技术来清理受污染的地下水。",biorremediación,"La empresa empleó biorremediación para limpiar las aguas subterráneas contaminadas.",xử lý sinh học,"Công ty đã sử dụng xử lý sinh học để làm sạch nước ngầm bị ô nhiễm.",การฟื้นฟูทางชีวภาพ,"บริษัทใช้การฟื้นฟูทางชีวภาพเพื่อทำความสะอาดน้ำใต้ดินที่ปนเปื้อน",bioremediasi,"Perusahaan menggunakan bioremediasi untuk membersihkan air tanah yang terkontaminasi."
edaphic,"Edaphic factors such as soil pH profoundly influence plant community composition.",토양의,"토양 pH와 같은 토양 요인은 식물 군집 구성에 깊은 영향을 미친다.",土壌の,"土壌pHなどの土壌要因は植物群集の構成に大きな影響を与える。",土壤的,"土壤pH值等土壤因素深刻影响植物群落组成。",edáfico,"Los factores edáficos como el pH del suelo influyen profundamente en la composición de las comunidades vegetales.",thuộc thổ nhưỡng,"Các yếu tố thổ nhưỡng như độ pH đất ảnh hưởng sâu sắc đến thành phần quần xã thực vật.",เกี่ยวกับดิน,"ปัจจัยเกี่ยวกับดิน เช่น ค่า pH ของดิน มีอิทธิพลอย่างมากต่อองค์ประกอบของสังคมพืช",edafik,"Faktor edafik seperti pH tanah sangat memengaruhi komposisi komunitas tumbuhan."
limnology,"Her research in limnology focused on the thermal stratification of alpine lakes.",호수학,"그녀의 호수학 연구는 고산 호수의 열적 성층화에 초점을 맞추었다.",陸水学,"彼女の陸水学の研究は高山湖の温度成層に焦点を当てていた。",湖沼学,"她的湖沼学研究聚焦于高山湖泊的热分层。",limnología,"Su investigación en limnología se centró en la estratificación térmica de los lagos alpinos.",hồ chiểu học,"Nghiên cứu hồ chiểu học của cô tập trung vào sự phân tầng nhiệt của các hồ trên núi cao.",ชลธารวิทยา,"งานวิจัยทางชลธารวิทยาของเธอมุ่งเน้นไปที่การแบ่งชั้นอุณหภูมิของทะเลสาบบนภูเขาสูง",limnologi,"Penelitiannya di bidang limnologi berfokus pada stratifikasi termal danau alpen."
xerophyte,"The xerophyte has evolved thick waxy cuticles to minimize water loss.",건생식물,"건생식물은 수분 손실을 최소화하기 위해 두꺼운 왁스질 큐티클을 진화시켰다.",乾生植物,"乾生植物は水分損失を最小限にするため厚いワックス状のクチクラを進化させた。",旱生植物,"旱生植物进化出了厚厚的蜡质角质层以减少水分流失。",xerófita,"La xerófita ha desarrollado cutículas cerosas gruesas para minimizar la pérdida de agua.",thực vật chịu hạn,"Thực vật chịu hạn đã tiến hóa lớp biểu bì sáp dày để giảm thiểu mất nước.",พืชทนแล้ง,"พืชทนแล้งได้วิวัฒนาการให้มีผิวเคลือบขี้ผึ้งหนาเพื่อลดการสูญเสียน้ำ",tumbuhan xerofit,"Tumbuhan xerofit telah berevolusi memiliki kutikula lilin tebal untuk meminimalkan kehilangan air."
salinization,"Excessive irrigation has accelerated the salinization of fertile agricultural land.",염류화,"과도한 관개가 비옥한 농경지의 염류화를 가속화시켰다.",塩類化,"過度な灌漑が肥沃な農地の塩類化を加速させている。",盐碱化,"过度灌溉加速了肥沃农田的盐碱化。",salinización,"El riego excesivo ha acelerado la salinización de tierras agrícolas fértiles.",nhiễm mặn,"Tưới tiêu quá mức đã đẩy nhanh quá trình nhiễm mặn của đất nông nghiệp màu mỡ.",การเค็มของดิน,"การชลประทานมากเกินไปทำให้การเค็มของดินเกษตรกรรมที่อุดมสมบูรณ์เร่งตัวขึ้น",salinisasi,"Irigasi berlebihan telah mempercepat salinisasi lahan pertanian yang subur."
riparian,"Riparian vegetation along the riverbank helps to filter runoff and stabilize the soil.",하천변의,"하천변 식생은 유출수를 여과하고 토양을 안정시키는 데 도움을 준다.",河畔の,"河畔の植生は流出水をろ過し土壌を安定させるのに役立つ。",河岸的,"河岸植被有助于过滤径流并稳定土壤。",ribereño,"La vegetación ribereña a lo largo de la orilla del río ayuda a filtrar la escorrentía y estabilizar el suelo.",ven sông,"Thảm thực vật ven sông dọc bờ giúp lọc nước chảy tràn và ổn định đất.",ริมฝั่งแม่น้ำ,"พืชพรรณริมฝั่งแม่น้ำช่วยกรองน้ำไหลบ่าและทำให้ดินมั่นคง",riparian,"Vegetasi riparian di sepanjang tepi sungai membantu menyaring limpasan dan menstabilkan tanah."
albedo,"Melting ice sheets reduce the Earth's albedo and thus accelerate global warming.",알베도,"빙상의 용해는 지구의 알베도를 감소시켜 지구온난화를 가속화한다.",アルベド,"氷床の融解は地球のアルベドを低下させ地球温暖化を加速する。",反照率,"冰盖融化降低了地球的反照率从而加速了全球变暖。",albedo,"El derretimiento de las capas de hielo reduce el albedo de la Tierra y así acelera el calentamiento global.",suất phản chiếu,"Các tảng băng tan làm giảm suất phản chiếu của Trái Đất và do đó đẩy nhanh sự nóng lên toàn cầu.",อัตราสะท้อนแสง,"แผ่นน้ำแข็งที่ละลายลดอัตราสะท้อนแสงของโลกและเร่งภาวะโลกร้อน",albedo,"Pencairan lapisan es mengurangi albedo Bumi dan dengan demikian mempercepat pemanasan global."
pedogenesis,"Pedogenesis in volcanic regions produces exceptionally nutrient-rich soils over millennia.",토양생성,"화산 지역의 토양생성은 수천 년에 걸쳐 매우 영양분이 풍부한 토양을 만들어낸다.",土壌生成,"火山地域での土壌生成は数千年かけて非常に栄養豊富な土壌を生み出す。",土壤发生,"火山地区的土壤发生过程经过数千年产生了极其富含养分的土壤。",pedogénesis,"La pedogénesis en regiones volcánicas produce suelos excepcionalmente ricos en nutrientes a lo largo de milenios.",sự hình thành đất,"Quá trình hình thành đất ở các vùng núi lửa tạo ra đất giàu dinh dưỡng đặc biệt qua hàng thiên niên kỷ.",การเกิดดิน,"การเกิดดินในบริเวณภูเขาไฟสร้างดินที่อุดมด้วยสารอาหารเป็นพิเศษตลอดหลายพันปี",pedogenesis,"Pedogenesis di daerah vulkanik menghasilkan tanah yang sangat kaya nutrisi selama ribuan tahun."
oligotrophic,"The oligotrophic lake supports fewer species but maintains exceptional water clarity.",빈영양의,"빈영양 호수는 더 적은 종을 지원하지만 뛰어난 수질 투명도를 유지한다.",貧栄養の,"貧栄養湖は種の数は少ないが優れた水の透明度を維持している。",寡营养的,"寡营养湖支持的物种较少但保持着极高的水质透明度。",oligotrófico,"El lago oligotrófico sustenta menos especies pero mantiene una claridad del agua excepcional.",nghèo dinh dưỡng,"Hồ nghèo dinh dưỡng hỗ trợ ít loài hơn nhưng duy trì độ trong của nước đặc biệt.",น้ำจืดที่มีสารอาหารน้อย,"ทะเลสาบที่มีสารอาหารน้อยรองรับสิ่งมีชีวิตน้อยกว่าแต่รักษาความใสของน้ำได้ดีเยี่ยม",oligotrofik,"Danau oligotrofik mendukung lebih sedikit spesies tetapi mempertahankan kejernihan air yang luar biasa."
