amortization,"The amortization of the loan is spread over twenty years.",상각,"대출의 상각은 20년에 걸쳐 분산됩니다.",償却,"ローンの償却は20年にわたって分散されています。",摊销,"贷款的摊销分摊在二十年内。",amortización,"La amortización del préstamo se distribuye a lo largo de veinte años.",khấu hao,"Việc khấu hao khoản vay được trải đều trong hai mươi năm.",การตัดจำหน่าย,"การตัดจำหน่ายของเงินกู้กระจายไปตลอดยี่สิบปี",amortisasi,"Amortisasi pinjaman tersebar selama dua puluh tahun."
leveraged buyout,"The leveraged buyout was financed primarily through high-yield bonds.",차입매수,"차입매수는 주로 고수익 채권을 통해 자금이 조달되었습니다.",レバレッジド・バイアウト,"レバレッジド・バイアウトは主に高利回り債で資金調達されました。",杠杆收购,"杠杆收购主要通过高收益债券融资。",compra apalancada,"La compra apalancada se financió principalmente a través de bonos de alto rendimiento.",mua lại bằng đòn bẩy,"Thương vụ mua lại bằng đòn bẩy được tài trợ chủ yếu thông qua trái phiếu lợi suất cao.",การซื้อกิจการโดยใช้เงินกู้,"การซื้อกิจการโดยใช้เงินกู้ได้รับการสนับสนุนทางการเงินผ่านพันธบัตรที่ให้ผลตอบแทนสูง",akuisisi leveraged,"Akuisisi leveraged tersebut dibiayai terutama melalui obligasi imbal hasil tinggi."
dilution,"Existing shareholders expressed concern about equity dilution after the new issuance.",지분 희석,"기존 주주들은 신규 발행 후 지분 희석에 대해 우려를 표명했습니다.",希薄化,"既存の株主は新規発行後の株式希薄化について懸念を示しました。",稀释,"现有股东对新发行后的股权稀释表示担忧。",dilución,"Los accionistas existentes expresaron preocupación por la dilución de capital tras la nueva emisión.",pha loãng,"Các cổ đông hiện tại bày tỏ lo ngại về việc pha loãng cổ phần sau đợt phát hành mới.",การเจือจาง,"ผู้ถือหุ้นเดิมแสดงความกังวลเกี่ยวกับการเจือจางของส่วนของผู้ถือหุ้นหลังการออกหุ้นใหม่",dilusi,"Pemegang saham yang ada menyatakan kekhawatiran tentang dilusi ekuitas setelah penerbitan baru."
debenture,"The corporation issued unsecured debentures to raise expansion capital.",무담보 사채,"해당 기업은 확장 자본을 조달하기 위해 무담보 사채를 발행했습니다.",社債,"その企業は拡張資金を調達するために無担保社債を発行しました。",信用债券,"该公司发行了无担保信用债券以筹集扩张资金。",obligación,"La corporación emitió obligaciones sin garantía para recaudar capital de expansión.",trái phiếu không bảo đảm,"Công ty phát hành trái phiếu không bảo đảm để huy động vốn mở rộng.",หุ้นกู้ไม่มีหลักประกัน,"บริษัทออกหุ้นกู้ไม่มีหลักประกันเพื่อระดมทุนขยายกิจการ",obligasi tanpa jaminan,"Korporasi menerbitkan obligasi tanpa jaminan untuk mengumpulkan modal ekspansi."
fiduciary,"The board has a fiduciary duty to act in the best interest of shareholders.",수탁자의,"이사회는 주주의 최선의 이익을 위해 행동할 수탁자 의무가 있습니다.",受託者の,"取締役会は株主の最善の利益のために行動する受託者責任があります。",受托的,"董事会有受托义务为股东的最佳利益行事。",fiduciario,"La junta tiene un deber fiduciario de actuar en el mejor interés de los accionistas.",ủy thác,"Hội đồng quản trị có nghĩa vụ ủy thác hành động vì lợi ích tốt nhất của cổ đông.",ที่เกี่ยวกับความไว้วางใจ,"คณะกรรมการมีหน้าที่ตามความไว้วางใจในการกระทำเพื่อประโยชน์สูงสุดของผู้ถือหุ้น",fidusia,"Dewan memiliki kewajiban fidusia untuk bertindak demi kepentingan terbaik pemegang saham."
subordinated,"Subordinated debt holders are paid only after senior creditors are satisfied.",후순위의,"후순위 채권자는 선순위 채권자가 충족된 후에만 지급받습니다.",劣後の,"劣後債の保有者は優先債権者が満足した後にのみ支払われます。",次级的,"次级债务持有人只有在高级债权人得到满足后才能获得偿付。",subordinado,"Los tenedores de deuda subordinada cobran solo después de que los acreedores principales estén satisfechos.",thứ cấp,"Người nắm giữ nợ thứ cấp chỉ được thanh toán sau khi các chủ nợ ưu tiên được đáp ứng.",ที่ด้อยสิทธิ,"ผู้ถือหนี้ที่ด้อยสิทธิจะได้รับชำระหลังจากเจ้าหนี้อาวุโสได้รับการชำระแล้ว",subordinasi,"Pemegang utang subordinasi dibayar hanya setelah kreditur senior terpenuhi."
solvency,"Regulators conducted stress tests to evaluate the bank's long-term solvency.",지급 능력,"규제 당국은 은행의 장기 지급 능력을 평가하기 위해 스트레스 테스트를 실시했습니다.",支払能力,"規制当局は銀行の長期的な支払能力を評価するためにストレステストを実施しました。",偿付能力,"监管机构进行了压力测试以评估银行的长期偿付能力。",solvencia,"Los reguladores realizaron pruebas de estrés para evaluar la solvencia a largo plazo del banco.",khả năng thanh toán,"Cơ quan quản lý tiến hành kiểm tra sức chịu đựng để đánh giá khả năng thanh toán dài hạn của ngân hàng.",ความสามารถในการชำระหนี้,"หน่วยงานกำกับดูแลดำเนินการทดสอบภาวะวิกฤตเพื่อประเมินความสามารถในการชำระหนี้ระยะยาวของธนาคาร",solvabilitas,"Regulator melakukan uji stres untuk mengevaluasi solvabilitas jangka panjang bank."
underwriting,"The investment bank's underwriting division assessed the risk of the new bond issuance.",인수 심사,"투자 은행의 인수 심사 부서가 새로운 채권 발행의 위험을 평가했습니다.",引受,"投資銀行の引受部門が新規債券発行のリスクを評価しました。",承销,"投资银行的承销部门评估了新债券发行的风险。",suscripción,"La división de suscripción del banco de inversión evaluó el riesgo de la nueva emisión de bonos.",bảo lãnh phát hành,"Bộ phận bảo lãnh phát hành của ngân hàng đầu tư đã đánh giá rủi ro của đợt phát hành trái phiếu mới.",การรับประกันการจำหน่าย,"ฝ่ายรับประกันการจำหน่ายของธนาคารเพื่อการลงทุนประเมินความเสี่ยงของการออกพันธบัตรใหม่",penjaminan emisi,"Divisi penjaminan emisi bank investasi menilai risiko penerbitan obligasi baru."
arbitrage,"Traders exploited the arbitrage opportunity between the two exchanges.",차익 거래,"거래자들은 두 거래소 간의 차익 거래 기회를 활용했습니다.",裁定取引,"トレーダーは2つの取引所間の裁定取引の機会を利用しました。",套利,"交易员利用了两个交易所之间的套利机会。",arbitraje,"Los operadores aprovecharon la oportunidad de arbitraje entre las dos bolsas.",kinh doanh chênh lệch giá,"Các nhà giao dịch đã khai thác cơ hội kinh doanh chênh lệch giá giữa hai sàn giao dịch.",การเก็งกำไร,"นักเทรดใช้ประโยชน์จากโอกาสการเก็งกำไรระหว่างตลาดหลักทรัพย์ทั้งสอง",arbitrase,"Para pedagang memanfaatkan peluang arbitrase antara kedua bursa."
illiquidity,"The fund faced redemption pressure due to the illiquidity of its underlying assets.",비유동성,"해당 펀드는 기초 자산의 비유동성으로 인해 환매 압박에 직면했습니다.",非流動性,"そのファンドは原資産の非流動性により償還圧力に直面しました。",流动性不足,"该基金因其基础资产的流动性不足而面临赎回压力。",iliquidez,"El fondo enfrentó presión de reembolso debido a la iliquidez de sus activos subyacentes.",tính kém thanh khoản,"Quỹ đối mặt với áp lực mua lại do tính kém thanh khoản của các tài sản cơ sở.",สภาพคล่องต่ำ,"กองทุนเผชิญแรงกดดันในการไถ่ถอนเนื่องจากสภาพคล่องต่ำของสินทรัพย์อ้างอิง",ilikuiditas,"Dana tersebut menghadapi tekanan penebusan karena ilikuiditas aset dasarnya."
covenant,"The loan covenant restricts the company from taking on additional debt beyond a specified ratio.",재무 약정,"대출 재무 약정은 회사가 지정된 비율을 초과하는 추가 부채를 지는 것을 제한합니다.",財務制限条項,"ローンの財務制限条項は、指定された比率を超える追加負債を会社が負うことを制限しています。",契约条款,"贷款契约条款限制公司承担超过规定比率的额外债务。",cláusula restrictiva,"La cláusula restrictiva del préstamo impide que la empresa asuma deuda adicional más allá de una proporción especificada.",điều khoản ràng buộc,"Điều khoản ràng buộc của khoản vay hạn chế công ty không được nhận thêm nợ vượt quá tỷ lệ quy định.",ข้อกำหนดทางการเงิน,"ข้อกำหนดทางการเงินของเงินกู้จำกัดไม่ให้บริษัทก่อหนี้เพิ่มเกินอัตราส่วนที่กำหนด",perjanjian utang,"Perjanjian utang pinjaman membatasi perusahaan dari mengambil utang tambahan melebihi rasio yang ditentukan."
receivership,"The failing enterprise was placed into receivership by the court.",관리인 제도,"법원이 부실 기업을 관리인 제도에 배치했습니다.",管財,"破綻した企業は裁判所によって管財に付されました。",接管,"法院将该破产企业置于接管之下。",sindicatura,"La empresa en quiebra fue puesta en sindicatura por el tribunal.",quản lý tài sản,"Doanh nghiệp thất bại đã được tòa án đặt dưới chế độ quản lý tài sản.",การแต่งตั้งผู้รับมอบอำนาจ,"ศาลได้แต่งตั้งผู้รับมอบอำนาจให้ดูแลกิจการที่ล้มเหลว",kepailitan,"Perusahaan yang gagal ditempatkan dalam kepailitan oleh pengadilan."
