cognition,"Higher-order cognition distinguishes humans from most other species.",인지,"고차원적 인지는 인간을 대부분의 다른 종과 구별한다.",認知,高次の認知は人間を他のほとんどの種と区別する。,认知,高级认知将人类与大多数其他物种区分开来。,cognición,La cognición de orden superior distingue a los humanos de la mayoría de las otras especies.,nhận thức,Nhận thức bậc cao phân biệt con người với hầu hết các loài khác.,การรับรู้,การรับรู้ขั้นสูงทำให้มนุษย์แตกต่างจากสิ่งมีชีวิตอื่นส่วนใหญ่,kognisi,Kognisi tingkat tinggi membedakan manusia dari kebanyakan spesies lain.
psychoanalysis,"Freud's psychoanalysis revolutionized our understanding of the unconscious mind.",정신분석,"프로이트의 정신분석은 무의식에 대한 우리의 이해를 혁신했다.",精神分析,フロイトの精神分析は無意識の理解に革命をもたらした。,精神分析,弗洛伊德的精神分析彻底改变了我们对无意识的理解。,psicoanálisis,El psicoanálisis de Freud revolucionó nuestra comprensión de la mente inconsciente.,phân tâm học,Phân tâm học của Freud đã cách mạng hóa hiểu biết của chúng ta về tâm trí vô thức.,จิตวิเคราะห์,จิตวิเคราะห์ของฟรอยด์ปฏิวัติความเข้าใจเกี่ยวกับจิตไร้สำนึก,psikoanalisis,Psikoanalisis Freud merevolusi pemahaman kita tentang pikiran bawah sadar.
subconscious,"Many of our decisions are driven by subconscious biases we are unaware of.",잠재의식,"우리의 많은 결정은 우리가 인식하지 못하는 잠재의식적 편향에 의해 좌우된다.",潜在意識,私たちの多くの決定は気づかない潜在意識のバイアスに駆動されている。,潜意识,我们的许多决定都受到我们没有意识到的潜意识偏见的驱动。,subconsciente,Muchas de nuestras decisiones están impulsadas por sesgos subconscientes de los que no somos conscientes.,tiềm thức,Nhiều quyết định của chúng ta bị chi phối bởi những thiên kiến tiềm thức mà chúng ta không nhận ra.,จิตใต้สำนึก,การตัดสินใจหลายอย่างของเราถูกขับเคลื่อนด้วยอคติในจิตใต้สำนึกที่เราไม่รู้ตัว,alam bawah sadar,Banyak keputusan kita didorong oleh bias alam bawah sadar yang tidak kita sadari.
cognitive dissonance,"Cognitive dissonance arises when one's actions contradict deeply held beliefs.",인지 부조화,"인지 부조화는 자신의 행동이 깊이 간직한 신념과 모순될 때 발생한다.",認知的不協和,認知的不協和は行動が深く抱いた信念と矛盾するときに生じる。,认知失调,当一个人的行为与根深蒂固的信念相矛盾时就会产生认知失调。,disonancia cognitiva,La disonancia cognitiva surge cuando las acciones contradicen creencias profundamente arraigadas.,bất hòa nhận thức,Bất hòa nhận thức phát sinh khi hành động của một người mâu thuẫn với niềm tin sâu sắc.,ความไม่ลงรอยกันทางปัญญา,ความไม่ลงรอยกันทางปัญญาเกิดขึ้นเมื่อการกระทำขัดแย้งกับความเชื่อที่ฝังลึก,disonansi kognitif,Disonansi kognitif muncul ketika tindakan seseorang bertentangan dengan keyakinan yang dipegang teguh.
placebo,"The placebo effect demonstrates the remarkable power of belief in healing.",위약; 플라시보,"위약 효과는 치유에 대한 믿음의 놀라운 힘을 보여준다.",プラセボ,プラセボ効果は治癒における信念の驚くべき力を示している。,安慰剂,安慰剂效应展示了信念在治愈中的非凡力量。,placebo,El efecto placebo demuestra el notable poder de la creencia en la curación.,giả dược,Hiệu ứng giả dược chứng minh sức mạnh đáng kinh ngạc của niềm tin trong việc chữa lành.,ยาหลอก,ผลของยาหลอกแสดงให้เห็นถึงพลังอันน่าทึ่งของความเชื่อในการรักษา,plasebo,Efek plasebo menunjukkan kekuatan luar biasa dari keyakinan dalam penyembuhan.
stimulus,"The researcher introduced a novel stimulus to observe changes in neural activity.",자극,"연구원은 신경 활동의 변화를 관찰하기 위해 새로운 자극을 도입했다.",刺激,研究者は神経活動の変化を観察するために新しい刺激を導入した。,刺激,研究人员引入了一种新的刺激来观察神经活动的变化。,estímulo,El investigador introdujo un estímulo novedoso para observar cambios en la actividad neuronal.,kích thích,Nhà nghiên cứu đưa vào một kích thích mới để quan sát sự thay đổi trong hoạt động thần kinh.,สิ่งกระตุ้น,นักวิจัยนำสิ่งกระตุ้นใหม่มาเพื่อสังเกตการเปลี่ยนแปลงในกิจกรรมของเส้นประสาท,stimulus,Peneliti memperkenalkan stimulus baru untuk mengamati perubahan aktivitas saraf.
inhibition,"Social inhibition prevents many people from expressing their true opinions in public.",억제,"사회적 억제는 많은 사람들이 공개적으로 진정한 의견을 표현하는 것을 막는다.",抑制,社会的抑制は多くの人が公の場で本当の意見を表現することを妨げる。,抑制,社会抑制使许多人无法在公开场合表达真实的观点。,inhibición,La inhibición social impide que muchas personas expresen sus verdaderas opiniones en público.,sự ức chế,Sự ức chế xã hội ngăn cản nhiều người bày tỏ ý kiến thực sự của họ nơi công cộng.,การยับยั้ง,การยับยั้งทางสังคมทำให้หลายคนไม่กล้าแสดงความคิดเห็นที่แท้จริงในที่สาธารณะ,inhibisi,Inhibisi sosial mencegah banyak orang mengungkapkan pendapat sebenarnya di depan umum.
neuroplasticity,"Neuroplasticity enables the brain to reorganize itself after a traumatic injury.",신경가소성,"신경가소성은 외상성 부상 후 뇌가 스스로 재조직할 수 있게 한다.",神経可塑性,神経可塑性により脳は外傷後に自己再編成することができる。,神经可塑性,神经可塑性使大脑能够在创伤性损伤后进行自我重组。,neuroplasticidad,La neuroplasticidad permite que el cerebro se reorganice después de una lesión traumática.,tính dẻo thần kinh,Tính dẻo thần kinh cho phép não tự tổ chức lại sau chấn thương.,ความยืดหยุ่นของสมอง,ความยืดหยุ่นของสมองทำให้สมองสามารถจัดระเบียบตัวเองใหม่หลังจากได้รับบาดเจ็บ,neuroplastisitas,Neuroplastisitas memungkinkan otak untuk mengatur ulang dirinya sendiri setelah cedera traumatis.
trauma,"Childhood trauma can have lasting effects on emotional regulation and attachment.",트라우마; 정신적 외상,"아동기 트라우마는 감정 조절과 애착에 지속적인 영향을 미칠 수 있다.",トラウマ,幼少期のトラウマは感情の調整や愛着に持続的な影響を与えうる。,创伤,童年创伤可能对情绪调节和依恋产生持久影响。,trauma,El trauma infantil puede tener efectos duraderos en la regulación emocional y el apego.,chấn thương tâm lý,Chấn thương tâm lý thời thơ ấu có thể ảnh hưởng lâu dài đến điều hòa cảm xúc và sự gắn bó.,บาดแผลทางจิตใจ,บาดแผลทางจิตใจในวัยเด็กอาจส่งผลยาวนานต่อการควบคุมอารมณ์และความผูกพัน,trauma,Trauma masa kecil dapat memiliki efek jangka panjang pada regulasi emosi dan kelekatan.
behavioral,"Behavioral therapy focuses on modifying maladaptive patterns through conditioning.",행동의,"행동 치료는 조건화를 통해 부적응적 패턴을 수정하는 데 초점을 맞춘다.",行動の,行動療法は条件付けを通じて不適応なパターンの修正に焦点を当てる。,行为的,行为疗法侧重于通过条件反射来修改不良行为模式。,conductual,La terapia conductual se centra en modificar patrones desadaptativos mediante el condicionamiento.,hành vi,Liệu pháp hành vi tập trung vào việc điều chỉnh các mẫu hành vi không thích ứng thông qua điều kiện hóa.,เชิงพฤติกรรม,การบำบัดเชิงพฤติกรรมมุ่งเน้นการปรับเปลี่ยนรูปแบบที่ไม่เหมาะสมผ่านการวางเงื่อนไข,perilaku,Terapi perilaku berfokus pada memodifikasi pola maladaptif melalui pengkondisian.
neurotransmitter,"Serotonin is a neurotransmitter that plays a crucial role in mood regulation.",신경전달물질,"세로토닌은 기분 조절에 중요한 역할을 하는 신경전달물질이다.",神経伝達物質,セロトニンは気分の調整に重要な役割を果たす神経伝達物質である。,神经递质,血清素是一种在情绪调节中起关键作用的神经递质。,neurotransmisor,La serotonina es un neurotransmisor que desempeña un papel crucial en la regulación del estado de ánimo.,chất dẫn truyền thần kinh,Serotonin là một chất dẫn truyền thần kinh đóng vai trò quan trọng trong điều hòa tâm trạng.,สารสื่อประสาท,เซโรโทนินเป็นสารสื่อประสาทที่มีบทบาทสำคัญในการควบคุมอารมณ์,neurotransmiter,Serotonin adalah neurotransmiter yang memainkan peran penting dalam regulasi suasana hati.
