hegemony,"The nation's cultural hegemony influenced global media trends.",패권,"그 나라의 문화적 패권은 세계 미디어 트렌드에 영향을 미쳤다.",覇権,"その国の文化的覇権は世界のメディアトレンドに影響を与えた。",霸权,"该国的文化霸权影响了全球媒体趋势。",hegemonía,"La hegemonía cultural de la nación influyó en las tendencias mediáticas globales.",quyền bá chủ,"Quyền bá chủ văn hóa của quốc gia đã ảnh hưởng đến xu hướng truyền thông toàn cầu.",อำนาจครอบงำ,"อำนาจครอบงำทางวัฒนธรรมของชาติมีอิทธิพลต่อแนวโน้มสื่อทั่วโลก",hegemoni,"Hegemoni budaya negara tersebut memengaruhi tren media global."
sovereignty,"The island nation fiercely defended its sovereignty against external pressures.",주권,"그 섬나라는 외부 압력에 맞서 주권을 강력히 수호했다.",主権,"その島国は外部の圧力に対して主権を強く守った。",主权,"该岛国强烈捍卫其主权以抵御外部压力。",soberanía,"La nación isleña defendió ferozmente su soberanía contra presiones externas.",chủ quyền,"Quốc đảo đã kiên quyết bảo vệ chủ quyền trước áp lực bên ngoài.",อธิปไตย,"ประเทศเกาะปกป้องอธิปไตยของตนอย่างแข็งขันต่อแรงกดดันจากภายนอก",kedaulatan,"Negara kepulauan itu dengan gigih mempertahankan kedaulatannya dari tekanan eksternal."
annexation,"The annexation of the territory sparked international condemnation.",합병,"그 영토의 합병은 국제적 비난을 불러일으켰다.",併合,"その領土の併合は国際的な非難を引き起こした。",吞并,"该领土的吞并引发了国际谴责。",anexión,"La anexión del territorio provocó la condena internacional.",sáp nhập,"Việc sáp nhập lãnh thổ đã gây ra sự lên án quốc tế.",การผนวกดินแดน,"การผนวกดินแดนดังกล่าวจุดชนวนการประณามจากนานาชาติ",aneksasi,"Aneksasi wilayah tersebut memicu kecaman internasional."
multilateralism,"Multilateralism remains essential for addressing transnational climate challenges.",다자주의,"다자주의는 초국가적 기후 문제를 해결하는 데 필수적이다.",多国間主義,"多国間主義は国境を越えた気候問題に対処するために不可欠である。",多边主义,"多边主义对于应对跨国气候挑战仍然至关重要。",multilateralismo,"El multilateralismo sigue siendo esencial para abordar los desafíos climáticos transnacionales.",chủ nghĩa đa phương,"Chủ nghĩa đa phương vẫn cần thiết để giải quyết các thách thức khí hậu xuyên quốc gia.",พหุภาคีนิยม,"พหุภาคีนิยมยังคงจำเป็นสำหรับการจัดการกับความท้าทายด้านสภาพอากาศข้ามชาติ",multilateralisme,"Multilateralisme tetap penting untuk mengatasi tantangan iklim transnasional."
diplomatic immunity,"The ambassador invoked diplomatic immunity to avoid prosecution.",외교적 면책특권,"대사는 기소를 피하기 위해 외교적 면책특권을 행사했다.",外交特権,"大使は起訴を回避するために外交特権を行使した。",外交豁免权,"大使援引外交豁免权以避免起诉。",inmunidad diplomática,"El embajador invocó la inmunidad diplomática para evitar el enjuiciamiento.",quyền miễn trừ ngoại giao,"Đại sứ đã viện dẫn quyền miễn trừ ngoại giao để tránh bị truy tố.",เอกสิทธิ์ทางการทูต,"เอกอัครราชทูตอ้างเอกสิทธิ์ทางการทูตเพื่อหลีกเลี่ยงการถูกดำเนินคดี",kekebalan diplomatik,"Duta besar tersebut menggunakan kekebalan diplomatik untuk menghindari penuntutan."
geopolitical,"Geopolitical tensions in the strait disrupted global shipping routes.",지정학적,"해협의 지정학적 긴장은 글로벌 해운 항로를 혼란에 빠뜨렸다.",地政学的,"海峡の地政学的緊張が世界の海運ルートを混乱させた。",地缘政治的,"海峡的地缘政治紧张局势扰乱了全球航运路线。",geopolítico,"Las tensiones geopolíticas en el estrecho interrumpieron las rutas marítimas globales.",địa chính trị,"Căng thẳng địa chính trị tại eo biển đã làm gián đoạn các tuyến vận tải biển toàn cầu.",ภูมิรัฐศาสตร์,"ความตึงเครียดทางภูมิรัฐศาสตร์ในช่องแคบทำให้เส้นทางเดินเรือทั่วโลกหยุดชะงัก",geopolitik,"Ketegangan geopolitik di selat tersebut mengganggu rute pelayaran global."
détente,"The détente between the two superpowers eased nuclear anxieties.",데탕트,"두 초강대국 간의 데탕트는 핵 불안을 완화시켰다.",デタント,"二つの超大国間のデタントは核の不安を和らげた。",缓和,"两个超级大国之间的缓和减轻了核焦虑。",distensión,"La distensión entre las dos superpotencias alivió las ansiedades nucleares.",hòa hoãn,"Sự hòa hoãn giữa hai siêu cường đã xoa dịu lo ngại hạt nhân.",การผ่อนคลายความตึงเครียด,"การผ่อนคลายความตึงเครียดระหว่างสองมหาอำนาจช่วยบรรเทาความวิตกกังวลด้านนิวเคลียร์",détente,"Détente antara dua negara adidaya meredakan kecemasan nuklir."
protectionism,"Rising protectionism threatened the stability of international trade agreements.",보호무역주의,"증가하는 보호무역주의는 국제 무역 협정의 안정성을 위협했다.",保護主義,"保護主義の台頭が国際貿易協定の安定を脅かした。",保护主义,"日益上升的保护主义威胁了国际贸易协定的稳定。",proteccionismo,"El creciente proteccionismo amenazó la estabilidad de los acuerdos comerciales internacionales.",chủ nghĩa bảo hộ,"Chủ nghĩa bảo hộ gia tăng đe dọa sự ổn định của các hiệp định thương mại quốc tế.",การกีดกันทางการค้า,"การกีดกันทางการค้าที่เพิ่มขึ้นคุกคามเสถียรภาพของข้อตกลงการค้าระหว่างประเทศ",proteksionisme,"Proteksionisme yang meningkat mengancam stabilitas perjanjian perdagangan internasional."
non-proliferation,"The non-proliferation treaty aimed to curb the spread of nuclear weapons.",비확산,"비확산 조약은 핵무기 확산을 억제하는 것을 목표로 했다.",不拡散,"不拡散条約は核兵器の拡散を抑制することを目的とした。",不扩散,"不扩散条约旨在遏制核武器的扩散。",no proliferación,"El tratado de no proliferación tenía como objetivo frenar la propagación de armas nucleares.",không phổ biến vũ khí,"Hiệp ước không phổ biến vũ khí nhằm hạn chế sự lan rộng của vũ khí hạt nhân.",การไม่แพร่ขยายอาวุธ,"สนธิสัญญาไม่แพร่ขยายอาวุธมีเป้าหมายเพื่อยับยั้งการแพร่กระจายของอาวุธนิวเคลียร์",nonproliferasi,"Perjanjian nonproliferasi bertujuan untuk mengekang penyebaran senjata nuklir."
balkanization,"Balkanization of the region led to decades of ethnic conflict.",발칸화,"그 지역의 발칸화는 수십 년간의 민족 분쟁으로 이어졌다.",バルカン化,"その地域のバルカン化は数十年にわたる民族紛争を引き起こした。",巴尔干化,"该地区的巴尔干化导致了数十年的民族冲突。",balcanización,"La balcanización de la región condujo a décadas de conflicto étnico.",balkan hóa,"Sự balkan hóa khu vực đã dẫn đến hàng thập kỷ xung đột sắc tộc.",การแบ่งแยกดินแดน,"การแบ่งแยกดินแดนของภูมิภาคนำไปสู่ความขัดแย้งทางชาติพันธุ์หลายทศวรรษ",balkanisasi,"Balkanisasi kawasan tersebut menyebabkan konflik etnis selama puluhan tahun."
bioethics,"Bioethics committees debated the moral implications of gene editing in embryos.",생명윤리,"생명윤리 위원회는 배아 유전자 편집의 도덕적 함의를 논의했다.",生命倫理,"生命倫理委員会は胚の遺伝子編集の道徳的影響について議論した。",生物伦理学,"生物伦理学委员会讨论了胚胎基因编辑的道德影响。",bioética,"Los comités de bioética debatieron las implicaciones morales de la edición genética en embriones.",đạo đức sinh học,"Các ủy ban đạo đức sinh học đã tranh luận về hệ quả đạo đức của chỉnh sửa gen ở phôi thai.",จริยธรรมชีวภาพ,"คณะกรรมการจริยธรรมชีวภาพถกเถียงเรื่องผลกระทบทางศีลธรรมของการแก้ไขยีนในตัวอ่อน",bioetika,"Komite bioetika memperdebatkan implikasi moral pengeditan gen pada embrio."
