epidemiology,"Epidemiology provides the scientific foundation for evidence-based public health interventions.",역학,"역학은 근거 기반 공중보건 개입의 과학적 토대를 제공한다.",疫学,疫学は根拠に基づく公衆衛生介入の科学的基盤を提供する。,流行病学,流行病学为循证公共卫生干预提供了科学基础。,epidemiología,La epidemiología proporciona la base científica para las intervenciones de salud pública basadas en evidencia.,dịch tễ học,Dịch tễ học cung cấp nền tảng khoa học cho các can thiệp y tế công cộng dựa trên bằng chứng.,ระบาดวิทยา,ระบาดวิทยาเป็นรากฐานทางวิทยาศาสตร์สำหรับการแทรกแซงด้านสาธารณสุขที่อิงหลักฐาน,epidemiologi,Epidemiologi menyediakan dasar ilmiah untuk intervensi kesehatan masyarakat berbasis bukti.
seroprevalence,"Seroprevalence studies revealed that the actual infection rate was far higher than reported cases.",혈청 유병률,"혈청 유병률 조사는 실제 감염률이 보고된 사례보다 훨씬 높았음을 밝혔다.",血清有病率,血清有病率調査は実際の感染率が報告症例よりはるかに高いことを明らかにした。,血清阳性率,血清阳性率研究表明实际感染率远高于报告病例。,seroprevalencia,Los estudios de seroprevalencia revelaron que la tasa real de infección era mucho mayor que los casos reportados.,tỷ lệ huyết thanh dương tính,Các nghiên cứu tỷ lệ huyết thanh dương tính cho thấy tỷ lệ nhiễm thực tế cao hơn nhiều so với các ca được báo cáo.,ความชุกทางซีรั่ม,การศึกษาความชุกทางซีรั่มเผยให้เห็นว่าอัตราการติดเชื้อจริงสูงกว่าผู้ป่วยที่รายงานมาก,seroprevalensi,Studi seroprevalensi mengungkapkan bahwa tingkat infeksi sebenarnya jauh lebih tinggi daripada kasus yang dilaporkan.
comorbidity,"Comorbidity between diabetes and hypertension significantly increases cardiovascular mortality risk.",동반이환,"당뇨병과 고혈압의 동반이환은 심혈관 사망 위험을 크게 증가시킨다.",併存疾患,糖尿病と高血圧の併存疾患は心血管死亡リスクを大幅に増加させる。,合并症,糖尿病和高血压的合并症显著增加心血管死亡风险。,comorbilidad,La comorbilidad entre diabetes e hipertensión aumenta significativamente el riesgo de mortalidad cardiovascular.,bệnh đồng mắc,Bệnh đồng mắc giữa tiểu đường và tăng huyết áp làm tăng đáng kể nguy cơ tử vong do tim mạch.,โรคร่วม,โรคร่วมระหว่างเบาหวานและความดันโลหิตสูงเพิ่มความเสี่ยงการเสียชีวิตจากหัวใจและหลอดเลือดอย่างมีนัยสำคัญ,komorbiditas,Komorbiditas antara diabetes dan hipertensi secara signifikan meningkatkan risiko kematian kardiovaskular.
etiology,"The etiology of autoimmune disorders often involves a complex interplay of genetic and environmental factors.",병인학,"자가면역 질환의 병인학은 종종 유전적 요인과 환경적 요인의 복잡한 상호작용을 포함한다.",病因学,自己免疫疾患の病因学はしばしば遺伝的要因と環境的要因の複雑な相互作用を含む。,病因学,自身免疫性疾病的病因学通常涉及遗传和环境因素的复杂相互作用。,etiología,La etiología de los trastornos autoinmunes a menudo implica una compleja interacción de factores genéticos y ambientales.,bệnh căn học,Bệnh căn học của các rối loạn tự miễn thường liên quan đến sự tương tác phức tạp giữa các yếu tố di truyền và môi trường.,สาเหตุวิทยา,สาเหตุวิทยาของโรคภูมิต้านทานตนเองมักเกี่ยวข้องกับปฏิสัมพันธ์ที่ซับซ้อนของปัจจัยทางพันธุกรรมและสิ่งแวดล้อม,etiologi,Etiologi gangguan autoimun sering melibatkan interaksi kompleks antara faktor genetik dan lingkungan.
pathogenesis,"Understanding the pathogenesis of prion diseases has challenged conventional theories of infectious agents.",병인기전,"프리온 질병의 병인기전을 이해하는 것은 감염체에 대한 기존 이론에 도전해 왔다.",病因論,プリオン病の病因論を理解することは感染因子の従来の理論に挑戦してきた。,发病机制,了解朊病毒疾病的发病机制对传染因子的传统理论提出了挑战。,patogénesis,Comprender la patogénesis de las enfermedades priónicas ha desafiado las teorías convencionales de agentes infecciosos.,cơ chế bệnh sinh,Hiểu cơ chế bệnh sinh của bệnh prion đã thách thức các lý thuyết thông thường về tác nhân truyền nhiễm.,กลไกการเกิดโรค,การเข้าใจกลไกการเกิดโรคพรีออนท้าทายทฤษฎีเดิมเกี่ยวกับเชื้อก่อโรค,patogenesis,Memahami patogenesis penyakit prion telah menantang teori konvensional tentang agen infeksius.
zoonotic,"Zoonotic spillover events are increasingly common as humans encroach on wildlife habitats.",인수공통감염의,"인간이 야생동물 서식지를 침범함에 따라 인수공통감염 전파 사건이 점점 더 빈번해지고 있다.",人獣共通の,人間が野生生物の生息地を侵食するにつれ人獣共通感染症の波及事象がますます一般的になっている。,人畜共患的,随着人类侵占野生动物栖息地人畜共患病外溢事件日益增多。,zoonótico,Los eventos de desbordamiento zoonótico son cada vez más comunes a medida que los humanos invaden los hábitats de vida silvestre.,lây từ động vật,Các sự kiện lây lan từ động vật sang người ngày càng phổ biến khi con người xâm lấn môi trường sống hoang dã.,โรคจากสัตว์สู่คน,การแพร่เชื้อจากสัตว์สู่คนพบบ่อยขึ้นเมื่อมนุษย์รุกล้ำถิ่นที่อยู่ของสัตว์ป่า,zoonotik,Peristiwa limpahan zoonotik semakin umum seiring manusia merambah habitat satwa liar.
morbidity,"The morbidity rate among immunocompromised patients was disproportionately elevated during the outbreak.",이환율,"면역력이 저하된 환자들의 이환율은 발병 기간 동안 불균형적으로 상승했다.",罹患率,免疫不全患者の罹患率は流行中に不釣り合いに上昇した。,发病率,免疫力低下患者的发病率在疫情期间不成比例地升高。,morbilidad,La tasa de morbilidad entre pacientes inmunocomprometidos fue desproporcionadamente elevada durante el brote.,tỷ lệ mắc bệnh,Tỷ lệ mắc bệnh ở những bệnh nhân suy giảm miễn dịch tăng cao không tương xứng trong đợt bùng phát.,อัตราการเจ็บป่วย,อัตราการเจ็บป่วยในผู้ป่วยที่มีภูมิคุ้มกันบกพร่องสูงขึ้นอย่างไม่สมส่วนระหว่างการระบาด,morbiditas,Tingkat morbiditas di antara pasien immunocompromised meningkat secara tidak proporsional selama wabah.
prophylaxis,"Post-exposure prophylaxis must be administered within seventy-two hours to be effective.",예방법,"노출 후 예방법은 효과적이려면 72시간 이내에 투여되어야 한다.",予防法,曝露後予防法は有効であるためには72時間以内に投与されなければならない。,预防措施,暴露后预防措施必须在七十二小时内实施才能有效。,profilaxis,La profilaxis postexposición debe administrarse dentro de las setenta y dos horas para ser eficaz.,dự phòng,Dự phòng sau phơi nhiễm phải được thực hiện trong vòng bảy mươi hai giờ để có hiệu quả.,การป้องกันโรค,การป้องกันหลังการสัมผัสเชื้อต้องให้ภายในเจ็ดสิบสองชั่วโมงจึงจะมีประสิทธิภาพ,profilaksis,Profilaksis pascapajanan harus diberikan dalam tujuh puluh dua jam agar efektif.
nosocomial,"Nosocomial infections remain a critical challenge for hospital infection control programs.",병원감염의,"병원감염은 의료기관 감염 관리 프로그램에 여전히 중대한 도전이다.",院内感染の,院内感染は病院の感染管理プログラムにとって依然として重大な課題である。,医院感染的,医院感染仍然是医院感染控制计划的重大挑战。,nosocomial,Las infecciones nosocomiales siguen siendo un desafío crítico para los programas de control de infecciones hospitalarias.,nhiễm trùng bệnh viện,Nhiễm trùng bệnh viện vẫn là thách thức nghiêm trọng đối với các chương trình kiểm soát nhiễm khuẩn.,การติดเชื้อในโรงพยาบาล,การติดเชื้อในโรงพยาบาลยังคงเป็นความท้าทายสำคัญสำหรับโปรแกรมควบคุมการติดเชื้อ,nosokomial,Infeksi nosokomial tetap menjadi tantangan kritis bagi program pengendalian infeksi rumah sakit.
endemic,"Malaria remains endemic in many tropical regions despite decades of eradication efforts.",풍토병의,"말라리아는 수십 년간의 근절 노력에도 불구하고 많은 열대 지역에서 여전히 풍토병이다.",風土病の,マラリアは数十年の根絶努力にもかかわらず多くの熱帯地域で依然として風土病である。,地方性的,尽管经过数十年的根除努力疟疾在许多热带地区仍然是地方性疾病。,endémico,La malaria sigue siendo endémica en muchas regiones tropicales a pesar de décadas de esfuerzos de erradicación.,đặc hữu,Sốt rét vẫn là bệnh đặc hữu ở nhiều vùng nhiệt đới bất chấp hàng thập kỷ nỗ lực loại trừ.,โรคประจำถิ่น,มาลาเรียยังคงเป็นโรคประจำถิ่นในหลายภูมิภาคเขตร้อนแม้จะมีความพยายามกำจัดมาหลายทศวรรษ,endemik,Malaria tetap endemik di banyak wilayah tropis meskipun upaya pemberantasan selama puluhan tahun.
vector-borne,"Vector-borne diseases are expanding their geographic range due to climate change.",매개체 전파의,"기후 변화로 인해 매개체 전파 질병의 지리적 범위가 확대되고 있다.",媒介性の,気候変動により媒介性疾患の地理的範囲が拡大している。,媒介传播的,由于气候变化媒介传播疾病正在扩大其地理范围。,transmitido por vectores,Las enfermedades transmitidas por vectores están expandiendo su alcance geográfico debido al cambio climático.,lây truyền qua véc tơ,Các bệnh lây truyền qua véc tơ đang mở rộng phạm vi địa lý do biến đổi khí hậu.,โรคที่นำโดยพาหะ,โรคที่นำโดยพาหะกำลังขยายขอบเขตทางภูมิศาสตร์เนื่องจากการเปลี่ยนแปลงสภาพภูมิอากาศ,ditularkan vektor,Penyakit yang ditularkan vektor memperluas jangkauan geografisnya akibat perubahan iklim.
