amortization,"The amortization schedule showed decreasing interest payments over the loan's lifetime.",상각,"상각 일정은 대출 기간 동안 이자 지급이 감소함을 보여주었다.",償却,"償却スケジュールはローン期間中の利息支払いの減少を示していた。",摊销,"摊销计划显示了贷款期限内利息支付的递减。",amortización,"El calendario de amortización mostraba pagos de intereses decrecientes durante la vida del préstamo.",khấu hao,"Lịch khấu hao cho thấy các khoản thanh toán lãi giảm dần trong suốt thời hạn vay.",การตัดจำหน่าย,"ตารางการตัดจำหน่ายแสดงการชำระดอกเบี้ยที่ลดลงตลอดอายุเงินกู้",amortisasi,"Jadwal amortisasi menunjukkan pembayaran bunga yang menurun selama masa pinjaman."
derivative,"The financial derivative was priced using a stochastic volatility model.",파생상품,"그 금융 파생상품은 확률적 변동성 모델을 사용하여 가격이 책정되었다.",デリバティブ,"その金融デリバティブは確率的ボラティリティモデルを用いて価格設定された。",衍生品,"该金融衍生品使用随机波动率模型定价。",derivado,"El derivado financiero fue valorado usando un modelo de volatilidad estocástica.",phái sinh,"Sản phẩm phái sinh tài chính được định giá bằng mô hình biến động ngẫu nhiên.",อนุพันธ์,"อนุพันธ์ทางการเงินถูกกำหนดราคาโดยใช้แบบจำลองความผันผวนเชิงสุ่ม",derivatif,"Derivatif keuangan tersebut dihargai menggunakan model volatilitas stokastik."
securitization,"Securitization of mortgage-backed assets contributed to the 2008 financial crisis.",증권화,"주택담보자산의 증권화는 2008년 금융 위기에 기여했다.",証券化,"住宅ローン担保資産の証券化は2008年の金融危機に寄与した。",证券化,"抵押支持资产的证券化促成了2008年金融危机。",titulización,"La titulización de activos respaldados por hipotecas contribuyó a la crisis financiera de 2008.",chứng khoán hóa,"Chứng khoán hóa tài sản thế chấp đã góp phần vào cuộc khủng hoảng tài chính 2008.",การแปลงสินทรัพย์เป็นหลักทรัพย์,"การแปลงสินทรัพย์เป็นหลักทรัพย์ของสินทรัพย์ค้ำประกันจำนองมีส่วนทำให้เกิดวิกฤตการเงินปี 2008",sekuritisasi,"Sekuritisasi aset berbasis hipotek berkontribusi pada krisis keuangan 2008."
arbitrage,"Statistical arbitrage exploits temporary price inefficiencies between correlated securities.",차익거래,"통계적 차익거래는 상관관계가 있는 증권 간의 일시적 가격 비효율성을 이용한다.",裁定取引,"統計的裁定取引は相関のある証券間の一時的な価格の非効率性を利用する。",套利,"统计套利利用相关证券之间的临时价格低效。",arbitraje,"El arbitraje estadístico explota ineficiencias temporales de precios entre valores correlacionados.",kinh doanh chênh lệch giá,"Kinh doanh chênh lệch giá thống kê khai thác sự bất hiệu quả giá tạm thời giữa các chứng khoán tương quan.",การเก็งกำไร,"การเก็งกำไรทางสถิติใช้ประโยชน์จากความไม่มีประสิทธิภาพของราคาชั่วคราวระหว่างหลักทรัพย์ที่สัมพันธ์กัน",arbitrase,"Arbitrase statistik mengeksploitasi inefisiensi harga sementara antara sekuritas yang berkorelasi."
collateralization,"The collateralization ratio must exceed 150% to maintain the leveraged position.",담보설정,"레버리지 포지션을 유지하기 위해 담보설정 비율은 150%를 초과해야 한다.",担保設定,"レバレッジポジションを維持するために担保設定比率は150%を超えなければならない。",抵押率,"抵押率必须超过150%才能维持杠杆头寸。",colateralización,"El ratio de colateralización debe superar el 150% para mantener la posición apalancada.",thế chấp,"Tỷ lệ thế chấp phải vượt quá 150% để duy trì vị thế đòn bẩy.",การค้ำประกัน,"อัตราส่วนการค้ำประกันต้องเกิน 150% เพื่อรักษาตำแหน่งเลเวอเรจ",kolateralisasi,"Rasio kolateralisasi harus melebihi 150% untuk mempertahankan posisi leverage."
pathogenesis,"The pathogenesis of autoimmune disorders involves a complex interplay of genetic and environmental factors.",병인론,"자가면역 질환의 병인론은 유전적 및 환경적 요인의 복잡한 상호작용을 포함한다.",病因論,"自己免疫疾患の病因論は遺伝的要因と環境的要因の複雑な相互作用を含む。",发病机制,"自身免疫性疾病的发病机制涉及遗传和环境因素的复杂相互作用。",patogénesis,"La patogénesis de los trastornos autoinmunes implica una compleja interacción de factores genéticos y ambientales.",cơ chế bệnh sinh,"Cơ chế bệnh sinh của rối loạn tự miễn liên quan đến sự tương tác phức tạp giữa các yếu tố di truyền và môi trường.",กลไกการเกิดโรค,"กลไกการเกิดโรคของโรคภูมิต้านทานตนเองเกี่ยวข้องกับปฏิสัมพันธ์ที่ซับซ้อนของปัจจัยทางพันธุกรรมและสิ่งแวดล้อม",patogenesis,"Patogenesis gangguan autoimun melibatkan interaksi kompleks faktor genetik dan lingkungan."
etiology,"The etiology of the rare syndrome remained elusive despite extensive clinical research.",병인학,"광범위한 임상 연구에도 불구하고 그 희귀 증후군의 병인학은 파악하기 어려웠다.",病因学,"広範な臨床研究にもかかわらずその希少症候群の病因学は解明されないままだった。",病因学,"尽管进行了广泛的临床研究，该罕见综合征的病因学仍然难以捉摸。",etiología,"La etiología del síndrome raro seguía siendo difícil de determinar a pesar de la extensa investigación clínica.",nguyên nhân học,"Nguyên nhân học của hội chứng hiếm gặp vẫn khó nắm bắt bất chấp nghiên cứu lâm sàng rộng rãi.",สาเหตุวิทยา,"สาเหตุวิทยาของกลุ่มอาการหายากยังคงเข้าใจยากแม้จะมีการวิจัยทางคลินิกอย่างกว้างขวาง",etiologi,"Etiologi sindrom langka tersebut tetap sulit dipahami meskipun penelitian klinis ekstensif."
hemostasis,"Disrupted hemostasis in the patient led to prolonged bleeding after the surgical procedure.",지혈,"환자의 지혈 장애로 수술 후 출혈이 지속되었다.",止血,"患者の止血機能の障害により術後出血が長引いた。",止血,"患者止血功能紊乱导致术后出血延长。",hemostasia,"La hemostasia alterada en el paciente provocó un sangrado prolongado tras el procedimiento quirúrgico.",cầm máu,"Rối loạn cầm máu ở bệnh nhân dẫn đến chảy máu kéo dài sau phẫu thuật.",การห้ามเลือด,"การห้ามเลือดที่ถูกรบกวนในผู้ป่วยนำไปสู่การมีเลือดออกเป็นเวลานานหลังการผ่าตัด",hemostasis,"Hemostasis yang terganggu pada pasien menyebabkan perdarahan berkepanjangan setelah prosedur bedah."
pharmacokinetics,"The pharmacokinetics of the new drug showed rapid absorption and a long half-life.",약물동태학,"새 약물의 약물동태학은 빠른 흡수와 긴 반감기를 보여주었다.",薬物動態学,"新薬の薬物動態学は迅速な吸収と長い半減期を示した。",药代动力学,"新药的药代动力学显示出快速吸收和较长的半衰期。",farmacocinética,"La farmacocinética del nuevo fármaco mostró una absorción rápida y una vida media larga.",dược động học,"Dược động học của thuốc mới cho thấy sự hấp thu nhanh và thời gian bán hủy dài.",เภสัชจลนศาสตร์,"เภสัชจลนศาสตร์ของยาใหม่แสดงการดูดซึมที่รวดเร็วและค่าครึ่งชีวิตที่ยาวนาน",farmakokinetik,"Farmakokinetik obat baru menunjukkan penyerapan cepat dan waktu paruh yang panjang."
angiogenesis,"Tumor angiogenesis provides the blood supply necessary for malignant growth beyond a few millimeters.",혈관신생,"종양 혈관신생은 수 밀리미터 이상의 악성 성장에 필요한 혈액 공급을 제공한다.",血管新生,"腫瘍の血管新生は数ミリメートルを超える悪性増殖に必要な血液供給を提供する。",血管生成,"肿瘤血管生成为超过几毫米的恶性生长提供所需的血液供应。",angiogénesis,"La angiogénesis tumoral proporciona el suministro de sangre necesario para el crecimiento maligno más allá de unos pocos milímetros.",tân sinh mạch,"Tân sinh mạch khối u cung cấp nguồn máu cần thiết cho sự phát triển ác tính vượt quá vài milimet.",การสร้างหลอดเลือดใหม่,"การสร้างหลอดเลือดใหม่ของเนื้องอกให้เลือดที่จำเป็นสำหรับการเจริญเติบโตของมะเร็งเกินกว่าไม่กี่มิลลิเมตร",angiogenesis,"Angiogenesis tumor menyediakan suplai darah yang diperlukan untuk pertumbuhan ganas melebihi beberapa milimeter."
jurisprudence,"Her doctoral thesis explored feminist jurisprudence and its impact on constitutional interpretation.",법철학,"그녀의 박사 논문은 페미니스트 법철학과 그것이 헌법 해석에 미치는 영향을 탐구했다.",法哲学,"彼女の博士論文はフェミニスト法哲学とその憲法解釈への影響を探究した。",法理学,"她的博士论文探讨了女性主义法理学及其对宪法解释的影响。",jurisprudencia,"Su tesis doctoral exploró la jurisprudencia feminista y su impacto en la interpretación constitucional.",luật học,"Luận án tiến sĩ của cô khám phá luật học nữ quyền và tác động của nó đến giải thích hiến pháp.",นิติศาสตร์,"วิทยานิพนธ์ปริญญาเอกของเธอสำรวจนิติศาสตร์สตรีนิยมและผลกระทบต่อการตีความรัฐธรรมนูญ",yurisprudensi,"Tesis doktoralnya mengeksplorasi yurisprudensi feminis dan dampaknya terhadap interpretasi konstitusional."
adjudication,"The adjudication of the dispute required careful examination of conflicting precedents.",재판,"분쟁의 재판은 상충하는 판례에 대한 신중한 검토를 필요로 했다.",裁定,"紛争の裁定は矛盾する判例の慎重な検討を必要とした。",裁决,"争议的裁决需要仔细审查相互矛盾的判例。",adjudicación,"La adjudicación de la disputa requirió un examen cuidadoso de precedentes contradictorios.",phán quyết,"Phán quyết tranh chấp đòi hỏi phải xem xét kỹ lưỡng các tiền lệ mâu thuẫn.",การพิพากษา,"การพิพากษาข้อพิพาทต้องการการตรวจสอบอย่างรอบคอบของบรรทัดฐานที่ขัดแย้งกัน",ajudikasi,"Ajudikasi sengketa tersebut memerlukan pemeriksaan cermat atas preseden yang saling bertentangan."
indemnification,"The indemnification clause protected the corporation from third-party liability claims.",면책,"면책 조항은 제3자 책임 청구로부터 기업을 보호했다.",免責,"免責条項は第三者の責任請求から企業を保護した。",赔偿,"赔偿条款保护公司免受第三方责任索赔。",indemnización,"La cláusula de indemnización protegía a la corporación de reclamaciones de responsabilidad de terceros.",bồi thường,"Điều khoản bồi thường bảo vệ công ty khỏi các yêu cầu trách nhiệm của bên thứ ba.",การชดใช้ค่าเสียหาย,"ข้อกำหนดการชดใช้ค่าเสียหายปกป้องบริษัทจากการเรียกร้องความรับผิดของบุคคลที่สาม",ganti rugi,"Klausul ganti rugi melindungi korporasi dari klaim tanggung jawab pihak ketiga."
