regression,The regression analysis revealed a strong linear relationship between income and education level.,회귀,회귀 분석 결과 소득과 교육 수준 사이에 강한 선형 관계가 나타났다.,回帰,回帰分析により、所得と教育水準の間に強い線形関係があることが明らかになった。,回归,回归分析揭示了收入与教育水平之间存在强烈的线性关系。,regresión,El análisis de regresión reveló una fuerte relación lineal entre el ingreso y el nivel educativo.,hồi quy,Phân tích hồi quy cho thấy mối quan hệ tuyến tính mạnh giữa thu nhập và trình độ học vấn.,การถดถอย,การวิเคราะห์การถดถอยเผยให้เห็นความสัมพันธ์เชิงเส้นที่แข็งแกร่งระหว่างรายได้กับระดับการศึกษา,regresi,Analisis regresi mengungkapkan hubungan linier yang kuat antara pendapatan dan tingkat pendidikan.
correlation,Researchers found a significant correlation between sleep deprivation and cognitive impairment.,상관관계,연구자들은 수면 부족과 인지 장애 사이에 유의미한 상관관계를 발견했다.,相関,研究者たちは睡眠不足と認知障害の間に有意な相関関係を見出した。,相关性,研究人员发现睡眠不足与认知障碍之间存在显著的相关性。,correlación,Los investigadores encontraron una correlación significativa entre la privación del sueño y el deterioro cognitivo.,tương quan,Các nhà nghiên cứu tìm thấy mối tương quan đáng kể giữa thiếu ngủ và suy giảm nhận thức.,สหสัมพันธ์,นักวิจัยพบสหสัมพันธ์ที่มีนัยสำคัญระหว่างการอดนอนกับความบกพร่องทางปัญญา,korelasi,Para peneliti menemukan korelasi signifikan antara kurang tidur dan gangguan kognitif.
deviation,The standard deviation of the dataset indicated considerable variability among the samples.,편차,데이터 세트의 표준 편차는 표본 간 상당한 변동성을 나타냈다.,偏差,データセットの標準偏差はサンプル間にかなりのばらつきがあることを示していた。,偏差,该数据集的标准偏差表明样本之间存在相当大的变异性。,desviación,La desviación estándar del conjunto de datos indicó una variabilidad considerable entre las muestras.,độ lệch,Độ lệch chuẩn của tập dữ liệu cho thấy sự biến thiên đáng kể giữa các mẫu.,ค่าเบี่ยงเบน,ค่าเบี่ยงเบนมาตรฐานของชุดข้อมูลบ่งชี้ความแปรปรวนอย่างมากในหมู่ตัวอย่าง,deviasi,Deviasi standar dari kumpulan data menunjukkan variabilitas yang cukup besar di antara sampel.
median,The median household income in the region proved more informative than the mean due to extreme outliers.,중앙값,극단적 이상값으로 인해 해당 지역의 가구 소득 중앙값이 평균보다 더 유의미한 정보를 제공했다.,中央値,極端な外れ値があるため、その地域の世帯収入の中央値は平均値よりも有益であった。,中位数,由于极端异常值的存在，该地区的家庭收入中位数比平均值更具参考价值。,mediana,La mediana del ingreso familiar en la región resultó más informativa que la media debido a los valores atípicos extremos.,trung vị,Thu nhập hộ gia đình trung vị trong khu vực cho thấy thông tin hữu ích hơn giá trị trung bình do các giá trị ngoại lai cực đoan.,มัธยฐาน,รายได้ครัวเรือนมัธยฐานในภูมิภาคนี้ให้ข้อมูลที่เป็นประโยชน์มากกว่าค่าเฉลี่ยเนื่องจากค่าผิดปกติที่รุนแรง,median,Pendapatan rumah tangga median di wilayah tersebut terbukti lebih informatif daripada rata-rata karena adanya pencilan ekstrem.
probability,The probability of two independent events occurring simultaneously equals the product of their individual probabilities.,확률,두 독립 사건이 동시에 일어날 확률은 각 사건의 개별 확률의 곱과 같다.,確率,二つの独立した事象が同時に起こる確率は、それぞれの確率の積に等しい。,概率,两个独立事件同时发生的概率等于各自概率的乘积。,probabilidad,La probabilidad de que dos eventos independientes ocurran simultáneamente es igual al producto de sus probabilidades individuales.,xác suất,Xác suất của hai sự kiện độc lập xảy ra đồng thời bằng tích của các xác suất riêng lẻ.,ความน่าจะเป็น,ความน่าจะเป็นของสองเหตุการณ์อิสระที่เกิดขึ้นพร้อมกันเท่ากับผลคูณของความน่าจะเป็นแต่ละตัว,probabilitas,Probabilitas dua peristiwa independen terjadi secara bersamaan sama dengan hasil kali probabilitas masing-masing.
theorem,Fermat's Last Theorem remained unproven for over three centuries before Andrew Wiles finally demonstrated its validity.,정리,페르마의 마지막 정리는 앤드루 와일스가 마침내 그 타당성을 증명하기까지 3세기 이상 미해결 상태였다.,定理,フェルマーの最終定理は、アンドリュー・ワイルズがその妥当性を証明するまで3世紀以上にわたり未解決であった。,定理,费马大定理在安德鲁·怀尔斯最终证明其有效性之前，已有三百多年未被证明。,teorema,El último teorema de Fermat permaneció sin demostrar durante más de tres siglos antes de que Andrew Wiles finalmente demostrara su validez.,định lý,Định lý cuối cùng của Fermat vẫn chưa được chứng minh trong hơn ba thế kỷ trước khi Andrew Wiles cuối cùng chứng minh tính đúng đắn của nó.,ทฤษฎีบท,ทฤษฎีบทสุดท้ายของแฟร์มาต์ยังคงไม่ได้รับการพิสูจน์เป็นเวลากว่าสามศตวรรษก่อนที่แอนดรูว์ ไวลส์จะพิสูจน์ความถูกต้องในที่สุด,teorema,Teorema Terakhir Fermat tetap tidak terbukti selama lebih dari tiga abad sebelum Andrew Wiles akhirnya membuktikan keabsahannya.
calculus,Mastering calculus is indispensable for anyone pursuing advanced studies in physics or engineering.,미적분학,미적분학을 숙달하는 것은 물리학이나 공학 심화 과정을 추구하는 사람에게 필수적이다.,微積分,微積分をマスターすることは、物理学や工学の高度な研究を目指す者にとって不可欠である。,微积分,掌握微积分对任何从事物理或工程高级研究的人来说都是不可或缺的。,cálculo,Dominar el cálculo es indispensable para cualquiera que persiga estudios avanzados en física o ingeniería.,phép tính vi tích phân,Thành thạo phép tính vi tích phân là điều không thể thiếu đối với bất kỳ ai theo đuổi nghiên cứu chuyên sâu về vật lý hoặc kỹ thuật.,แคลคูลัส,การเชี่ยวชาญแคลคูลัสเป็นสิ่งจำเป็นสำหรับผู้ที่ศึกษาขั้นสูงด้านฟิสิกส์หรือวิศวกรรม,kalkulus,Menguasai kalkulus sangat diperlukan bagi siapa pun yang mengejar studi lanjutan di bidang fisika atau teknik.
logarithm,The logarithm of a product equals the sum of the logarithms of its individual factors.,로그; 대수,곱의 로그는 각 인수의 로그의 합과 같다.,対数,積の対数は、個々の因数の対数の和に等しい。,对数,乘积的对数等于各因数的对数之和。,logaritmo,El logaritmo de un producto es igual a la suma de los logaritmos de sus factores individuales.,logarit,Logarit của một tích bằng tổng các logarit của từng thừa số.,ลอการิทึม,ลอการิทึมของผลคูณเท่ากับผลรวมของลอการิทึมของตัวประกอบแต่ละตัว,logaritma,Logaritma suatu perkalian sama dengan jumlah logaritma dari masing-masing faktornya.
exponential,The exponential growth of the virus caught public health officials off guard during the initial weeks.,기하급수적인; 지수적인,바이러스의 기하급수적 확산은 초기 몇 주 동안 공중 보건 당국을 당혹스럽게 했다.,指数関数的な,ウイルスの指数関数的な増加は、初期の数週間で公衆衛生当局の不意を突いた。,指数级的,病毒的指数级增长在最初几周内让公共卫生官员措手不及。,exponencial,El crecimiento exponencial del virus tomó desprevenidos a los funcionarios de salud pública durante las semanas iniciales.,theo cấp số nhân,Sự tăng trưởng theo cấp số nhân của virus khiến các quan chức y tế công cộng bất ngờ trong những tuần đầu tiên.,แบบเอกซ์โพเนนเชียล,การเติบโตแบบเอกซ์โพเนนเชียลของไวรัสทำให้เจ้าหน้าที่สาธารณสุขตั้งตัวไม่ทันในช่วงสัปดาห์แรก ๆ,eksponensial,Pertumbuhan eksponensial virus tersebut membuat para pejabat kesehatan masyarakat tidak siap selama minggu-minggu awal.
integral,Computing the definite integral of a function yields the exact area under its curve between two boundaries.,적분,함수의 정적분을 계산하면 두 경계 사이의 곡선 아래 정확한 넓이를 구할 수 있다.,積分,関数の定積分を計算すると、二つの境界の間の曲線の下の正確な面積が得られる。,积分,计算函数的定积分可以得到两个边界之间曲线下的精确面积。,integral,Calcular la integral definida de una función proporciona el área exacta bajo su curva entre dos límites.,tích phân,Tính tích phân xác định của một hàm số cho ra diện tích chính xác dưới đường cong giữa hai giới hạn.,อินทิกรัล,การคำนวณอินทิกรัลจำกัดเขตของฟังก์ชันให้พื้นที่ที่แน่นอนใต้เส้นโค้งระหว่างสองขอบเขต,integral,Menghitung integral tentu dari suatu fungsi menghasilkan luas pasti di bawah kurvanya di antara dua batas.
variance,The variance in test scores suggests that the teaching methods affected students unevenly across different demographics.,분산,시험 점수의 분산은 교수법이 다양한 인구 통계 집단에 고르지 않게 영향을 미쳤음을 시사한다.,分散,テストの点数の分散は、教授法が異なる属性の学生に不均一な影響を与えたことを示唆している。,方差,考试成绩的方差表明教学方法对不同人群的学生产生了不均衡的影响。,varianza,La varianza en las puntuaciones de los exámenes sugiere que los métodos de enseñanza afectaron a los estudiantes de manera desigual en diferentes grupos demográficos.,phương sai,Phương sai trong điểm thi cho thấy phương pháp giảng dạy ảnh hưởng không đều đến học sinh thuộc các nhóm nhân khẩu học khác nhau.,ความแปรปรวน,ความแปรปรวนในคะแนนสอบบ่งชี้ว่าวิธีการสอนส่งผลต่อนักเรียนไม่เท่าเทียมกันในกลุ่มประชากรต่าง ๆ,varians,Varians dalam nilai ujian menunjukkan bahwa metode pengajaran memengaruhi siswa secara tidak merata di berbagai kelompok demografis.
