stratigraphy,"The stratigraphy of the site revealed multiple periods of human occupation.",층서학,"해당 유적지의 층서학은 여러 시기의 인간 거주를 드러냈다.",層序学,"その遺跡の層序学は複数の時代の人間の居住を明らかにした。",地层学,"该遗址的地层学揭示了多个人类居住时期。",estratigrafía,"La estratigrafía del sitio reveló múltiples períodos de ocupación humana.",địa tầng học,"Địa tầng học của di chỉ cho thấy nhiều giai đoạn cư trú của con người.",ชั้นหินวิทยา,"ชั้นหินวิทยาของแหล่งโบราณคดีเผยให้เห็นการอยู่อาศัยหลายยุค",stratigrafi,"Stratigrafi situs tersebut mengungkapkan beberapa periode hunian manusia."
paleontology,"Paleontology bridges the gap between biology and geology.",고생물학,"고생물학은 생물학과 지질학 사이의 간극을 연결한다.",古生物学,"古生物学は生物学と地質学の間のギャップを埋める。",古生物学,"古生物学弥合了生物学和地质学之间的差距。",paleontología,"La paleontología tiende un puente entre la biología y la geología.",cổ sinh vật học,"Cổ sinh vật học là cầu nối giữa sinh học và địa chất học.",บรรพชีวินวิทยา,"บรรพชีวินวิทยาเชื่อมช่องว่างระหว่างชีววิทยาและธรณีวิทยา",paleontologi,"Paleontologi menjembatani kesenjangan antara biologi dan geologi."
excavation,"The excavation unearthed a trove of Bronze Age artifacts.",발굴,"그 발굴은 청동기 시대 유물의 보고를 발견했다.",発掘,"その発掘は青銅器時代の遺物の宝庫を発見した。",发掘,"此次发掘出土了大量青铜时代文物。",excavación,"La excavación desenterró un tesoro de artefactos de la Edad de Bronce.",khai quật,"Cuộc khai quật đã phát hiện một kho tàng hiện vật thời đại đồ đồng.",การขุดค้น,"การขุดค้นพบสมบัติล้ำค่าจากยุคสำริด",ekskavasi,"Ekskavasi tersebut menemukan harta karun artefak Zaman Perunggu."
artifact,"Each artifact was catalogued with its precise spatial coordinates.",유물,"각 유물은 정확한 공간 좌표와 함께 목록에 기록되었다.",遺物,"各遺物は正確な空間座標とともに目録に記録された。",文物,"每件文物都按其精确的空间坐标进行了编目。",artefacto,"Cada artefacto fue catalogado con sus coordenadas espaciales precisas.",hiện vật,"Mỗi hiện vật được lập danh mục với tọa độ không gian chính xác.",โบราณวัตถุ,"โบราณวัตถุแต่ละชิ้นถูกบันทึกพร้อมพิกัดเชิงพื้นที่ที่แม่นยำ",artefak,"Setiap artefak dikatalogkan dengan koordinat spasial yang tepat."
typology,"The typology of pottery sherds helped establish a regional chronology.",유형학,"토기 파편의 유형학은 지역 연대기를 확립하는 데 도움이 되었다.",類型学,"土器片の類型学は地域の年代学を確立するのに役立った。",类型学,"陶片的类型学帮助建立了区域年代学。",tipología,"La tipología de los fragmentos cerámicos ayudó a establecer una cronología regional.",loại hình học,"Loại hình học của mảnh gốm giúp thiết lập niên đại học khu vực.",วิชาจำแนกประเภท,"การจำแนกประเภทเศษเครื่องปั้นดินเผาช่วยกำหนดลำดับเวลาของภูมิภาค",tipologi,"Tipologi pecahan tembikar membantu menetapkan kronologi regional."
provenance,"Determining the provenance of the marble statue required isotopic analysis.",출처,"대리석 조각상의 출처를 결정하기 위해 동위원소 분석이 필요했다.",来歴,"大理石像の来歴を特定するには同位体分析が必要だった。",出处,"确定大理石雕像的出处需要同位素分析。",procedencia,"Determinar la procedencia de la estatua de mármol requirió análisis isotópico.",xuất xứ,"Xác định xuất xứ của bức tượng đá cẩm thạch đòi hỏi phân tích đồng vị.",แหล่งที่มา,"การระบุแหล่งที่มาของรูปปั้นหินอ่อนต้องใช้การวิเคราะห์ไอโซโทป",provenans,"Menentukan provenans patung marmer memerlukan analisis isotop."
dendrochronology,"Dendrochronology provided an absolute date for the wooden structure.",연륜연대학,"연륜연대학은 목조 구조물의 절대 연대를 제공했다.",年輪年代学,"年輪年代学は木造構造物の絶対年代を提供した。",树轮年代学,"树轮年代学为该木结构提供了绝对年代。",dendrocronología,"La dendrocronología proporcionó una fecha absoluta para la estructura de madera.",niên đại học vòng cây,"Niên đại học vòng cây cung cấp niên đại tuyệt đối cho công trình gỗ.",วิทยาศาสตร์วงปีไม้,"วิทยาศาสตร์วงปีไม้ให้อายุที่แน่นอนของโครงสร้างไม้",dendrokronologi,"Dendrokronologi memberikan penanggalan absolut untuk struktur kayu tersebut."
taphonomy,"Taphonomy explains why certain fossils are preserved while others decay.",매몰학,"매몰학은 왜 특정 화석은 보존되고 다른 것은 부패하는지 설명한다.",タフォノミー,"タフォノミーはなぜ特定の化石が保存され他が腐敗するかを説明する。",埋藏学,"埋藏学解释了为何某些化石得以保存而其他的则腐烂。",tafonomía,"La tafonomía explica por qué ciertos fósiles se conservan mientras otros se descomponen.",học mai táng,"Học mai táng giải thích tại sao một số hóa thạch được bảo tồn trong khi số khác phân hủy.",ทาโฟโนมี,"ทาโฟโนมีอธิบายว่าทำไมฟอสซิลบางชิ้นถูกอนุรักษ์ในขณะที่บางชิ้นเน่าสลาย",tafonomi,"Tafonomi menjelaskan mengapa fosil tertentu terawetkan sementara yang lain membusuk."
epigraphy,"Epigraphy specialists deciphered the inscriptions on the temple walls.",금석학,"금석학 전문가들이 사원 벽의 비문을 해독했다.",碑文学,"碑文学の専門家が寺院の壁の碑文を解読した。",铭文学,"铭文学专家破译了寺庙墙壁上的铭文。",epigrafía,"Los especialistas en epigrafía descifraron las inscripciones en los muros del templo.",bi ký học,"Các chuyên gia bi ký học đã giải mã các chữ khắc trên tường đền.",จารึกศาสตร์,"ผู้เชี่ยวชาญด้านจารึกศาสตร์ถอดรหัสจารึกบนผนังวิหาร",epigrafi,"Spesialis epigrafi menguraikan prasasti di dinding kuil."
sedimentary,"Sedimentary analysis confirmed that the site was once an ancient riverbed.",퇴적,"퇴적 분석은 해당 유적지가 한때 고대 하상이었음을 확인해 주었다.",堆積性の,"堆積物分析はその遺跡がかつて古代の川床であったことを確認した。",沉积的,"沉积分析证实该遗址曾是一条古河床。",sedimentario,"El análisis sedimentario confirmó que el sitio fue alguna vez un antiguo lecho fluvial.",trầm tích,"Phân tích trầm tích xác nhận rằng di chỉ từng là lòng sông cổ đại.",ตะกอน,"การวิเคราะห์ตะกอนยืนยันว่าพื้นที่นี้เคยเป็นท้องแม่นํ้าโบราณ",sedimen,"Analisis sedimen mengkonfirmasi bahwa situs tersebut pernah menjadi dasar sungai kuno."
bioluminescence,"Bioluminescence in deep-sea organisms serves both predatory and defensive purposes.",생물발광,"심해 생물의 생물발광은 포식과 방어 두 가지 목적을 수행한다.",生物発光,"深海生物の生物発光は捕食と防御の両方の目的を果たす。",生物发光,"深海生物的生物发光兼具捕食和防御功能。",bioluminiscencia,"La bioluminiscencia en organismos de aguas profundas sirve tanto para fines depredadores como defensivos.",phát quang sinh học,"Phát quang sinh học ở sinh vật biển sâu phục vụ cả mục đích săn mồi và phòng thủ.",การเรืองแสงทางชีวภาพ,"การเรืองแสงทางชีวภาพในสิ่งมีชีวิตใต้ทะเลลึกใช้เพื่อล่าเหยื่อและป้องกันตัว",bioluminesensi,"Bioluminesensi pada organisme laut dalam berfungsi untuk predasi dan pertahanan."
