calibrate,"The technician needed to calibrate the instruments before conducting the experiment.",보정하다,기술자는 실험을 수행하기 전에 기기를 보정해야 했다.,校正する,技術者は実験を行う前に機器を校正する必要があった。,校准,技术人员需要在进行实验前校准仪器。,calibrar,El técnico necesitaba calibrar los instrumentos antes de realizar el experimento.,hiệu chuẩn,Kỹ thuật viên cần hiệu chuẩn các thiết bị trước khi tiến hành thí nghiệm.,สอบเทียบ,ช่างเทคนิคจำเป็นต้องสอบเทียบเครื่องมือก่อนทำการทดลอง,mengkalibrasi,Teknisi perlu mengkalibrasi instrumen sebelum melakukan percobaan.
fabricate,"They managed to fabricate a lightweight alloy that withstands extreme temperatures.",제작하다; 조작하다,그들은 극한 온도를 견디는 경량 합금을 제작하는 데 성공했다.,製造する,彼らは極端な温度に耐える軽量合金を製造することに成功した。,制造,他们成功制造了一种能承受极端温度的轻质合金。,fabricar,Lograron fabricar una aleación ligera que soporta temperaturas extremas.,chế tạo,Họ đã chế tạo được một hợp kim nhẹ chịu được nhiệt độ khắc nghiệt.,ผลิต; ประดิษฐ์,พวกเขาสามารถผลิตโลหะผสมน้ำหนักเบาที่ทนต่ออุณหภูมิสุดขีด,membuat; memfabrikasi,Mereka berhasil membuat paduan ringan yang tahan terhadap suhu ekstrem.
prototype,"The engineering team unveiled the prototype at the annual technology conference.",시제품,엔지니어링 팀은 연례 기술 컨퍼런스에서 시제품을 공개했다.,試作品,エンジニアリングチームは年次技術会議で試作品を発表した。,原型,工程团队在年度技术大会上展示了原型。,prototipo,El equipo de ingeniería presentó el prototipo en la conferencia anual de tecnología.,nguyên mẫu,Đội kỹ thuật đã giới thiệu nguyên mẫu tại hội nghị công nghệ thường niên.,ต้นแบบ,ทีมวิศวกรรมเปิดตัวต้นแบบในการประชุมเทคโนโลยีประจำปี,prototipe,Tim teknik meluncurkan prototipe di konferensi teknologi tahunan.
turbine,"The wind turbine generates enough electricity to power several hundred homes.",터빈,풍력 터빈은 수백 가구에 전력을 공급할 만큼의 전기를 생산한다.,タービン,風力タービンは数百世帯に電力を供給するのに十分な電力を生成する。,涡轮机,风力涡轮机产生的电力足以为数百户家庭供电。,turbina,La turbina eólica genera suficiente electricidad para abastecer varios cientos de hogares.,tua bin,Tua bin gió tạo ra đủ điện để cung cấp cho vài trăm hộ gia đình.,กังหัน,กังหันลมผลิตกระแสไฟฟ้าได้เพียงพอสำหรับบ้านหลายร้อยหลัง,turbin,Turbin angin menghasilkan listrik yang cukup untuk menyalakan beberapa ratus rumah.
hydraulic,"The hydraulic press can exert forces exceeding fifty thousand pounds per square inch.",유압의,유압 프레스는 평방인치당 5만 파운드를 초과하는 힘을 가할 수 있다.,油圧の,油圧プレスは1平方インチあたり5万ポンドを超える力を発揮できる。,液压的,液压机可以产生超过每平方英寸五万磅的力。,hidráulico,La prensa hidráulica puede ejercer fuerzas superiores a cincuenta mil libras por pulgada cuadrada.,thủy lực,Máy ép thủy lực có thể tạo ra lực vượt quá năm mươi nghìn pound trên mỗi inch vuông.,ไฮดรอลิก,เครื่องอัดไฮดรอลิกสามารถออกแรงได้เกินห้าหมื่นปอนด์ต่อตารางนิ้ว,hidrolik,Mesin pres hidrolik dapat mengerahkan gaya melebihi lima puluh ribu pon per inci persegi.
pneumatic,"The factory replaced its pneumatic tools with electric alternatives to reduce noise.",공압의,공장은 소음을 줄이기 위해 공압 공구를 전동 대체품으로 교체했다.,空圧の,工場は騒音を減らすために空圧工具を電動のものに交換した。,气动的,工厂用电动替代品取代了气动工具以降低噪音。,neumático,La fábrica reemplazó sus herramientas neumáticas con alternativas eléctricas para reducir el ruido.,khí nén,Nhà máy đã thay thế các dụng cụ khí nén bằng các giải pháp điện để giảm tiếng ồn.,นิวเมติก,โรงงานเปลี่ยนเครื่องมือนิวเมติกเป็นเครื่องมือไฟฟ้าเพื่อลดเสียงรบกวน,pneumatik,Pabrik mengganti alat pneumatik dengan alternatif listrik untuk mengurangi kebisingan.
thermal,"The thermal imaging camera detected a significant heat leak in the building's insulation.",열의,열화상 카메라가 건물 단열재의 심각한 열 누출을 감지했다.,熱の,サーモグラフィカメラが建物の断熱材の大きな熱漏れを検出した。,热的,热成像相机检测到建筑隔热层中存在严重的热泄漏。,térmico,La cámara de imagen térmica detectó una fuga de calor significativa en el aislamiento del edificio.,nhiệt,Camera ảnh nhiệt phát hiện một vụ rò rỉ nhiệt nghiêm trọng trong lớp cách nhiệt của tòa nhà.,ความร้อน,กล้องถ่ายภาพความร้อนตรวจพบการรั่วไหลของความร้อนอย่างมากในฉนวนของอาคาร,termal,Kamera pencitraan termal mendeteksi kebocoran panas yang signifikan pada insulasi gedung.
friction,"Reducing friction between the moving parts dramatically increased the engine's efficiency.",마찰,움직이는 부품 간의 마찰을 줄이자 엔진 효율이 극적으로 향상되었다.,摩擦,可動部品間の摩擦を減らすことでエンジンの効率が劇的に向上した。,摩擦,减少运动部件之间的摩擦大大提高了发动机的效率。,fricción,Reducir la fricción entre las partes móviles aumentó drásticamente la eficiencia del motor.,ma sát,Giảm ma sát giữa các bộ phận chuyển động đã tăng đáng kể hiệu suất của động cơ.,แรงเสียดทาน,การลดแรงเสียดทานระหว่างชิ้นส่วนที่เคลื่อนที่ช่วยเพิ่มประสิทธิภาพของเครื่องยนต์อย่างมาก,gesekan,Mengurangi gesekan antara bagian yang bergerak secara dramatis meningkatkan efisiensi mesin.
torque,"The mechanic measured the torque applied to each bolt to ensure structural integrity.",토크,정비사는 구조적 무결성을 보장하기 위해 각 볼트에 가해지는 토크를 측정했다.,トルク,整備士は構造の完全性を確保するために各ボルトに加えられたトルクを測定した。,扭矩,机械师测量了每个螺栓的扭矩以确保结构完整性。,torque,El mecánico midió el torque aplicado a cada perno para asegurar la integridad estructural.,mô-men xoắn,Thợ máy đo mô-men xoắn tác dụng lên từng bu-lông để đảm bảo tính toàn vẹn cấu trúc.,แรงบิด,ช่างวัดแรงบิดที่ใช้กับสลักเกลียวแต่ละตัวเพื่อให้มั่นใจในความสมบูรณ์ของโครงสร้าง,torsi,Mekanik mengukur torsi yang diterapkan pada setiap baut untuk memastikan integritas struktural.
alloy,"This new titanium alloy offers superior strength while remaining remarkably lightweight.",합금,이 새로운 티타늄 합금은 놀라울 만큼 가벼우면서도 우수한 강도를 제공한다.,合金,この新しいチタン合金は驚くほど軽量でありながら優れた強度を提供する。,合金,这种新型钛合金在保持极轻重量的同时提供了卓越的强度。,aleación,Esta nueva aleación de titanio ofrece una resistencia superior manteniéndose notablemente ligera.,hợp kim,Hợp kim titan mới này có độ bền vượt trội trong khi vẫn cực kỳ nhẹ.,โลหะผสม,โลหะผสมไทเทเนียมชนิดใหม่นี้มีความแข็งแรงเหนือกว่าในขณะที่ยังคงมีน้ำหนักเบาอย่างน่าทึ่ง,paduan,Paduan titanium baru ini menawarkan kekuatan unggul sambil tetap sangat ringan.
weld,"The robotic arm can weld components with precision unachievable by human hands.",용접하다,로봇 팔은 인간의 손으로는 달성할 수 없는 정밀도로 부품을 용접할 수 있다.,溶接する,ロボットアームは人間の手では達成できない精度で部品を溶接できる。,焊接,机械臂能以人手无法达到的精度焊接部件。,soldar,El brazo robótico puede soldar componentes con una precisión inalcanzable por manos humanas.,hàn,Cánh tay robot có thể hàn các bộ phận với độ chính xác mà bàn tay con người không thể đạt được.,เชื่อม,แขนหุ่นยนต์สามารถเชื่อมชิ้นส่วนได้อย่างแม่นยำซึ่งมือมนุษย์ทำไม่ได้,mengelas,Lengan robotik dapat mengelas komponen dengan presisi yang tidak dapat dicapai oleh tangan manusia.
