english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example,vi_meaning,vi_example,th_meaning,th_example,id_meaning,id_example
hello,"Hello, how are you today?",안녕하세요,"안녕하세요, 오늘 어떠세요?",こんにちは,こんにちは、今日はお元気ですか？,你好,你好，你今天怎么样？,hola,"Hola, ¿cómo estás hoy?",xin chào,"Xin chào, hôm nay bạn khỏe không?",สวัสดี,สวัสดี วันนี้คุณเป็นอย่างไรบ้าง?,halo,"Halo, apa kabar hari ini?"
goodbye,She said goodbye to her friend.,안녕히 가세요,그녀는 친구에게 작별 인사를 했다.,さようなら,彼女は友達にさよならを言った。,再见,她向朋友告别了。,adiós,Ella se despidió de su amigo.,tạm biệt,Cô ấy nói lời tạm biệt với bạn mình.,ลาก่อน,เธอกล่าวลาก่อนกับเพื่อนของเธอ,selamat tinggal,Dia mengucapkan selamat tinggal kepada temannya.
thank you,Thank you for your kind help.,감사합니다,친절한 도움에 감사합니다.,ありがとう,親切な助けをありがとうございます。,谢谢,谢谢你的热心帮助。,gracias,Gracias por tu amable ayuda.,cảm ơn,Cảm ơn bạn đã giúp đỡ tận tình.,ขอบคุณ,ขอบคุณสำหรับความช่วยเหลือที่ดีของคุณ,terima kasih,Terima kasih atas bantuan baik Anda.
please,Please open the door for me.,제발; 부디,문을 열어 주세요.,お願いします,ドアを開けてください。,请,请帮我开门。,por favor,"Por favor, ábrele la puerta.",xin; làm ơn,Làm ơn mở cửa cho tôi.,กรุณา; ได้โปรด,กรุณาเปิดประตูให้ฉันด้วย,tolong,Tolong bukakan pintu untuk saya.
yes,"Yes, I will go with you.",네; 예,"네, 같이 갈게요.",はい,はい、一緒に行きます。,是,是的，我和你一起去。,sí,"Sí, iré contigo.",vâng; có,"Vâng, tôi sẽ đi cùng bạn.",ใช่; ครับ/ค่ะ,ใช่ ฉันจะไปกับคุณ,ya,"Ya, saya akan pergi bersamamu."
no,"No, I do not want that.",아니요,"아니요, 그건 원하지 않아요.",いいえ,いいえ、それは要りません。,不,不，我不想要那个。,no,"No, no quiero eso.",không,"Không, tôi không muốn điều đó.",ไม่,ไม่ ฉันไม่ต้องการสิ่งนั้น,tidak,"Tidak, saya tidak mau itu."
sorry,I am sorry for being late.,미안합니다,늦어서 죄송합니다.,ごめんなさい,遅れてごめんなさい。,对不起,对不起，我迟到了。,lo siento,Lo siento por llegar tarde.,xin lỗi,Tôi xin lỗi vì đến muộn.,ขอโทษ,ฉันขอโทษที่มาสาย,maaf,Saya minta maaf karena terlambat.
excuse me,"Excuse me, where is the bank?",실례합니다,"실례합니다, 은행이 어디인가요?",すみません,すみません、銀行はどこですか？,打扰一下,打扰一下，银行在哪里？,disculpe,"Disculpe, ¿dónde está el banco?",xin lỗi; xin phép,"Xin lỗi, ngân hàng ở đâu ạ?",ขอโทษ; ขอประทานโทษ,ขอโทษครับ ธนาคารอยู่ที่ไหนครับ?,permisi,"Permisi, di mana banknya?"
good,This is a very good idea.,좋은,이것은 아주 좋은 생각이에요.,良い,これはとても良いアイデアです。,好的,这是一个很好的主意。,bueno,Esta es una idea muy buena.,tốt,Đây là một ý tưởng rất tốt.,ดี,นี่เป็นความคิดที่ดีมาก,baik; bagus,Ini adalah ide yang sangat bagus.
bad,The weather is bad today.,나쁜,오늘 날씨가 나빠요.,悪い,今日は天気が悪いです。,坏的,今天天气很糟糕。,malo,El clima está malo hoy.,xấu; tệ,Hôm nay thời tiết xấu.,แย่; ไม่ดี,วันนี้อากาศไม่ดี,buruk; jelek,Cuaca hari ini buruk.
big,They live in a big house.,큰,그들은 큰 집에 살아요.,大きい,彼らは大きな家に住んでいます。,大的,他们住在一栋大房子里。,grande,Ellos viven en una casa grande.,to; lớn,Họ sống trong một ngôi nhà lớn.,ใหญ่,พวกเขาอาศัยอยู่ในบ้านหลังใหญ่,besar,Mereka tinggal di rumah yang besar.
small,The baby has small hands.,작은,아기는 손이 작아요.,小さい,赤ちゃんは手が小さいです。,小的,宝宝的手很小。,pequeño,El bebé tiene las manos pequeñas.,nhỏ,Em bé có bàn tay nhỏ.,เล็ก,ทารกมีมือเล็ก ๆ,kecil,Bayi itu memiliki tangan yang kecil.
new,She bought a new dress yesterday.,새로운,그녀는 어제 새 드레스를 샀어요.,新しい,彼女は昨日新しいドレスを買いました。,新的,她昨天买了一条新裙子。,nuevo,Ella compró un vestido nuevo ayer.,mới,Cô ấy mua một chiếc váy mới hôm qua.,ใหม่,เธอซื้อชุดใหม่เมื่อวานนี้,baru,Dia membeli gaun baru kemarin.
old,This is a very old building.,오래된; 늙은,이것은 아주 오래된 건물이에요.,古い; 年老いた,これはとても古い建物です。,旧的; 老的,这是一栋很老的建筑。,viejo; antiguo,Este es un edificio muy antiguo.,cũ; già,Đây là một tòa nhà rất cũ.,เก่า; แก่,นี่เป็นอาคารที่เก่าแก่มาก,tua; lama,Ini adalah bangunan yang sangat tua.
hot,The soup is very hot now.,뜨거운,수프가 지금 매우 뜨거워요.,熱い,スープは今とても熱いです。,热的,汤现在非常烫。,caliente,La sopa está muy caliente ahora.,nóng,Súp đang rất nóng.,ร้อน,ซุปร้อนมากตอนนี้,panas,Supnya sangat panas sekarang.
cold,It is cold outside today.,추운; 차가운,오늘 밖이 추워요.,寒い; 冷たい,今日は外が寒いです。,冷的,今天外面很冷。,frío,Hace frío afuera hoy.,lạnh,Hôm nay bên ngoài lạnh.,เย็น; หนาว,วันนี้ข้างนอกหนาว,dingin,Hari ini dingin di luar.
happy,The children look very happy.,행복한,아이들이 매우 행복해 보여요.,嬉しい,子供たちはとても嬉しそうです。,开心的,孩子们看起来很开心。,feliz,Los niños parecen muy felices.,vui; hạnh phúc,Bọn trẻ trông rất vui.,มีความสุข,เด็ก ๆ ดูมีความสุขมาก,senang; bahagia,Anak-anak terlihat sangat bahagia.
sad,She felt sad about the news.,슬픈,그녀는 그 소식에 슬펐어요.,悲しい,彼女はそのニュースに悲しみました。,伤心的,她对那个消息感到伤心。,triste,Ella se sintió triste por la noticia.,buồn,Cô ấy buồn vì tin đó.,เศร้า,เธอรู้สึกเศร้ากับข่าวนั้น,sedih,Dia merasa sedih tentang berita itu.
water,Can I have a glass of water?,물,물 한 잔 주시겠어요?,水,水を一杯もらえますか？,水,我能要一杯水吗？,agua,¿Me puedes dar un vaso de agua?,nước,Cho tôi xin một ly nước được không?,น้ำ,ขอน้ำหนึ่งแก้วได้ไหมครับ?,air,Bolehkah saya minta segelas air?
