byline,The byline credited two journalists for the story.,기사 서명란,그 기사의 서명란에는 두 명의 기자가 표시되어 있었어요.,署名欄,その記事の署名欄には2人の記者が記載されていた。,署名栏,这篇报道的署名栏标注了两名记者。,firma del autor,La firma del autor acreditó a dos periodistas por la historia.,dòng tên tác giả,Dòng tên tác giả ghi nhận hai nhà báo cho bài viết.,ชื่อผู้เขียน,ชื่อผู้เขียนระบุนักข่าวสองคนสำหรับเรื่องนี้,baris nama penulis,Baris nama penulis mencantumkan dua jurnalis untuk berita itu.
newsroom,The newsroom was buzzing with activity before the deadline.,뉴스룸; 편집실,마감 전에 편집실이 분주하게 돌아갔어요.,報道室; 編集室,締め切り前に報道室は活気に満ちていた。,新闻编辑室,截稿前新闻编辑室一片忙碌。,sala de redacción,La sala de redacción bullía de actividad antes de la fecha límite.,phòng tin tức,Phòng tin tức nhộn nhịp trước giờ hạn chót.,ห้องข่าว,ห้องข่าวคึกคักก่อนถึงเส้นตาย,ruang redaksi,Ruang redaksi sibuk sebelum tenggat waktu.
credibility,The scandal damaged the newspaper's credibility.,신뢰성; 공신력,그 스캔들은 신문의 신뢰성을 손상시켰어요.,信頼性; 信用,そのスキャンダルは新聞の信頼性を損なった。,公信力; 可信度,丑闻损害了该报纸的公信力。,credibilidad,El escándalo dañó la credibilidad del periódico.,uy tín; độ tin cậy,Vụ bê bối đã làm tổn hại uy tín của tờ báo.,ความน่าเชื่อถือ,เรื่องอื้อฉาวทำลายความน่าเชื่อถือของหนังสือพิมพ์,kredibilitas,Skandal itu merusak kredibilitas surat kabar.
press conference,The mayor held a press conference about the new policy.,기자회견,시장이 새로운 정책에 대해 기자회견을 열었어요.,記者会見,市長が新しい政策について記者会見を開いた。,新闻发布会,市长就新政策召开了新闻发布会。,rueda de prensa,El alcalde celebró una rueda de prensa sobre la nueva política.,họp báo,Thị trưởng tổ chức họp báo về chính sách mới.,แถลงข่าว,นายกเทศมนตรีจัดแถลงข่าวเกี่ยวกับนโยบายใหม่,konferensi pers,Walikota mengadakan konferensi pers tentang kebijakan baru.
investigative,The investigative report uncovered government corruption.,탐사의; 조사의,탐사 보도가 정부 부패를 폭로했어요.,調査の; 探査の,調査報道が政府の汚職を暴いた。,调查性的,调查性报道揭露了政府腐败。,investigativo,El reportaje investigativo destapó la corrupción gubernamental.,điều tra,Bài phóng sự điều tra đã phơi bày tham nhũng chính phủ.,เชิงสืบสวน,รายงานเชิงสืบสวนเปิดโปงการทุจริตของรัฐบาล,investigatif,Laporan investigatif mengungkap korupsi pemerintah.
retraction,The newspaper issued a retraction after publishing false information.,정정; 철회,신문은 허위 정보를 게재한 후 정정을 발표했어요.,撤回; 訂正,新聞は虚偽情報を掲載した後、撤回を発表した。,撤回; 更正,报纸在发布虚假信息后发表了更正。,retractación,El periódico emitió una retractación tras publicar información falsa.,rút lại; đính chính,Tờ báo đã đưa ra đính chính sau khi đăng thông tin sai.,การถอนข่าว,หนังสือพิมพ์ออกแถลงถอนข่าวหลังจากเผยแพร่ข้อมูลเท็จ,pencabutan,Surat kabar mengeluarkan pencabutan setelah menerbitkan informasi palsu.
leak,A government official leaked classified documents to the press.,유출; 누설,한 정부 관리가 기밀 문서를 언론에 유출했어요.,漏洩; リーク,政府関係者が機密文書をマスコミにリークした。,泄露,一名政府官员向媒体泄露了机密文件。,filtración,Un funcionario del gobierno filtró documentos clasificados a la prensa.,rò rỉ,Một quan chức chính phủ đã rò rỉ tài liệu mật cho báo chí.,รั่วไหล,เจ้าหน้าที่รัฐรั่วไหลเอกสารลับให้สื่อมวลชน,kebocoran,Seorang pejabat pemerintah membocorkan dokumen rahasia ke pers.
unbiased,Journalists should strive to provide unbiased reporting.,편견 없는; 공정한,기자들은 공정한 보도를 하기 위해 노력해야 합니다.,偏りのない; 公正な,ジャーナリストは偏りのない報道を心がけるべきだ。,公正的; 不偏不倚的,记者应该努力提供公正的报道。,imparcial,Los periodistas deben esforzarse por ofrecer una cobertura imparcial.,không thiên vị,Nhà báo nên nỗ lực đưa tin không thiên vị.,ไม่ลำเอียง,นักข่าวควรพยายามรายงานข่าวอย่างไม่ลำเอียง,tidak bias,Jurnalis harus berusaha memberikan pemberitaan yang tidak bias.
editorial board,The editorial board decided to endorse the candidate.,편집위원회,편집위원회가 후보를 지지하기로 결정했어요.,論説委員会,論説委員会がその候補者の支持を決定した。,编辑委员会,编辑委员会决定支持这位候选人。,consejo editorial,El consejo editorial decidió respaldar al candidato.,ban biên tập,Ban biên tập quyết định ủng hộ ứng cử viên.,กองบรรณาธิการ,กองบรรณาธิการตัดสินใจสนับสนุนผู้สมัคร,dewan redaksi,Dewan redaksi memutuskan untuk mendukung kandidat tersebut.
off the record,The politician spoke off the record about the scandal.,비공식적으로,그 정치인은 스캔들에 대해 비공식적으로 말했어요.,オフレコで,その政治家はスキャンダルについてオフレコで話した。,不公开地,那位政客私下谈论了丑闻。,extraoficialmente,El político habló extraoficialmente sobre el escándalo.,ngoài lề; không chính thức,Chính trị gia nói ngoài lề về vụ bê bối.,นอกบันทึก,นักการเมืองพูดนอกบันทึกเกี่ยวกับเรื่องอื้อฉาว,di luar catatan,Politikus itu berbicara di luar catatan tentang skandal tersebut.
breaking news,Breaking news interrupted the regular broadcast.,속보,속보가 정규 방송을 중단시켰어요.,速報ニュース,速報ニュースが通常放送を中断した。,突发新闻,突发新闻打断了正常播出。,noticias de última hora,Las noticias de última hora interrumpieron la transmisión regular.,tin nóng,Tin nóng đã gián đoạn chương trình phát sóng thường lệ.,ข่าวด่วน,ข่าวด่วนขัดจังหวะรายการปกติ,berita terkini,Berita terkini menginterupsi siaran reguler.
plagiarism,The journalist was fired for plagiarism.,표절,그 기자는 표절로 해고되었어요.,盗作; 剽窃,そのジャーナリストは盗作で解雇された。,抄袭; 剽窃,那名记者因抄袭被解雇。,plagio,El periodista fue despedido por plagio.,đạo văn,Nhà báo bị sa thải vì đạo văn.,การลอกเลียนผลงาน,นักข่าวถูกไล่ออกเพราะการลอกเลียนผลงาน,plagiarisme,Jurnalis itu dipecat karena plagiarisme.
