english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example,vi_meaning,vi_example,th_meaning,th_example,id_meaning,id_example
accomplish,We accomplished all project goals ahead of the deadline.,달성하다,우리는 마감일 전에 모든 프로젝트 목표를 달성했다.,達成する,私たちは締め切り前にすべてのプロジェクト目標を達成した。,完成,我们在截止日期之前完成了所有项目目标。,lograr; alcanzar,Logramos todos los objetivos del proyecto antes de la fecha límite.,hoàn thành; đạt được,Chúng tôi đã hoàn thành tất cả các mục tiêu dự án trước thời hạn.,ทำสำเร็จ; บรรลุ,เราทำเป้าหมายโครงการทั้งหมดสำเร็จก่อนกำหนดเวลา,menyelesaikan; mencapai,Kami menyelesaikan semua tujuan proyek sebelum tenggat waktu.
accumulate,The company accumulated significant profits over five years.,축적하다,회사는 5년에 걸쳐 상당한 수익을 축적했다.,蓄積する,会社は5年間で大きな利益を蓄積した。,积累,公司在五年内积累了可观的利润。,acumular,La empresa acumuló ganancias significativas durante cinco años.,tích lũy,Công ty đã tích lũy được lợi nhuận đáng kể trong năm năm.,สะสม,บริษัทสะสมผลกำไรจำนวนมากในช่วงห้าปี,mengakumulasi; menumpuk,Perusahaan mengakumulasi keuntungan yang signifikan selama lima tahun.
accurate,Please ensure the financial report is accurate before submission.,정확한,제출 전에 재무 보고서가 정확한지 확인하세요.,正確な,提出前に財務報告書が正確であることを確認してください。,准确的,请在提交前确保财务报告准确无误。,preciso; exacto,"Por favor, asegúrese de que el informe financiero sea preciso antes de enviarlo.",chính xác,Vui lòng đảm bảo báo cáo tài chính chính xác trước khi nộp.,แม่นยำ; ถูกต้อง,กรุณาตรวจสอบให้แน่ใจว่ารายงานทางการเงินถูกต้องก่อนส่ง,akurat; tepat,Harap pastikan laporan keuangan akurat sebelum diserahkan.
achieve,She achieved her sales target for the third quarter.,달성하다,그녀는 3분기 매출 목표를 달성했다.,達成する,彼女は第3四半期の売上目標を達成した。,实现,她实现了第三季度的销售目标。,lograr; alcanzar,Ella alcanzó su meta de ventas del tercer trimestre.,đạt được,Cô ấy đã đạt được mục tiêu doanh số cho quý ba.,บรรลุ; ประสบความสำเร็จ,เธอบรรลุเป้าหมายยอดขายของไตรมาสที่สาม,mencapai; meraih,Dia mencapai target penjualannya untuk kuartal ketiga.
acknowledge,The manager acknowledged the team's hard work at the meeting.,인정하다,매니저는 회의에서 팀의 노력을 인정했다.,認める,マネージャーは会議でチームの努力を認めた。,承认,经理在会议上肯定了团队的辛勤工作。,reconocer; admitir,El gerente reconoció el arduo trabajo del equipo en la reunión.,thừa nhận; công nhận,Quản lý đã công nhận sự làm việc chăm chỉ của đội trong cuộc họp.,ยอมรับ; รับทราบ,ผู้จัดการยอมรับความทุ่มเทของทีมในที่ประชุม,mengakui; menerima,Manajer mengakui kerja keras tim dalam rapat.
acquire,The firm plans to acquire a smaller competitor next year.,획득하다,그 회사는 내년에 소규모 경쟁사를 인수할 계획이다.,取得する,その会社は来年、小規模な競合他社を買収する予定だ。,获得,该公司计划明年收购一家较小的竞争对手。,adquirir,La empresa planea adquirir a un competidor más pequeño el próximo año.,mua lại; có được,Công ty có kế hoạch mua lại một đối thủ nhỏ hơn vào năm tới.,ได้มา; เข้าซื้อ,บริษัทมีแผนจะเข้าซื้อคู่แข่งรายเล็กในปีหน้า,mengakuisisi; memperoleh,Perusahaan berencana mengakuisisi pesaing yang lebih kecil tahun depan.
adapt,Employees must adapt quickly to the new software system.,적응하다,직원들은 새로운 소프트웨어 시스템에 빠르게 적응해야 한다.,適応する,従業員は新しいソフトウェアシステムに素早く適応しなければならない。,适应,员工必须快速适应新的软件系统。,adaptarse,Los empleados deben adaptarse rápidamente al nuevo sistema de software.,thích nghi; thích ứng,Nhân viên phải thích ứng nhanh chóng với hệ thống phần mềm mới.,ปรับตัว; ดัดแปลง,พนักงานต้องปรับตัวอย่างรวดเร็วกับระบบซอฟต์แวร์ใหม่,beradaptasi; menyesuaikan diri,Karyawan harus beradaptasi dengan cepat terhadap sistem perangkat lunak baru.
adequate,The budget was adequate to cover all operational expenses.,충분한; 적절한,예산은 모든 운영 비용을 충당하기에 충분했다.,十分な,予算はすべての運営費用を賄うのに十分だった。,足够的,预算足以覆盖所有运营费用。,adecuado; suficiente,El presupuesto era suficiente para cubrir todos los gastos operativos.,đầy đủ; thỏa đáng,Ngân sách đã đủ để trang trải tất cả các chi phí hoạt động.,เพียงพอ; พอเพียง,งบประมาณเพียงพอที่จะครอบคลุมค่าใช้จ่ายในการดำเนินงานทั้งหมด,memadai; cukup,Anggaran memadai untuk menutupi semua biaya operasional.
adjust,We need to adjust the schedule to meet client demands.,조정하다,고객 요구를 충족하기 위해 일정을 조정해야 한다.,調整する,クライアントの要求に合わせてスケジュールを調整する必要がある。,调整,我们需要调整日程以满足客户需求。,ajustar,Necesitamos ajustar el cronograma para satisfacer las demandas del cliente.,điều chỉnh,Chúng tôi cần điều chỉnh lịch trình để đáp ứng yêu cầu của khách hàng.,ปรับ; ปรับเปลี่ยน,เราต้องปรับตารางเวลาเพื่อตอบสนองความต้องการของลูกค้า,menyesuaikan; mengatur,Kami perlu menyesuaikan jadwal untuk memenuhi permintaan klien.
administer,She administers the training program for all new employees.,관리하다,그녀는 모든 신입 사원의 교육 프로그램을 관리한다.,管理する,彼女はすべての新入社員の研修プログラムを管理している。,管理,她负责管理所有新员工的培训项目。,administrar; gestionar,Ella administra el programa de capacitación para todos los empleados nuevos.,quản lý; điều hành,Cô ấy quản lý chương trình đào tạo cho tất cả nhân viên mới.,บริหาร; จัดการ,เธอบริหารโปรแกรมฝึกอบรมสำหรับพนักงานใหม่ทุกคน,mengelola; mengurus,Dia mengelola program pelatihan untuk semua karyawan baru.
administration,The administration announced new policies for remote work arrangements.,행정; 관리,경영진은 원격 근무에 관한 새로운 정책을 발표했다.,管理; 行政,経営陣はリモートワークに関する新しい方針を発表した。,行政; 管理,管理层宣布了远程办公的新政策。,administración; gestión,La administración anunció nuevas políticas para el trabajo remoto.,quản trị; hành chính,Ban quản trị đã công bố chính sách mới về sắp xếp làm việc từ xa.,ฝ่ายบริหาร; การบริหาร,ฝ่ายบริหารประกาศนโยบายใหม่สำหรับการทำงานทางไกล,administrasi; manajemen,Manajemen mengumumkan kebijakan baru untuk pengaturan kerja jarak jauh.
advance,Technology continues to advance rapidly in the healthcare sector.,진전; 전진하다,기술은 의료 분야에서 계속 빠르게 발전하고 있다.,進歩; 前進する,テクノロジーは医療分野で急速に進歩し続けている。,进步; 推进,技术在医疗领域持续快速进步。,avanzar; adelantar,La tecnología continúa avanzando rápidamente en el sector de la salud.,tiến bộ; nâng cao,Công nghệ tiếp tục tiến bộ nhanh chóng trong lĩnh vực chăm sóc sức khỏe.,ก้าวหน้า; ล่วงหน้า,เทคโนโลยียังคงก้าวหน้าอย่างรวดเร็วในภาคการดูแลสุขภาพ,maju; memajukan,Teknologi terus maju dengan pesat di sektor perawatan kesehatan.
advantage,Our competitive advantage comes from superior customer service.,이점; 장점,우리의 경쟁 우위는 우수한 고객 서비스에서 비롯된다.,利点,私たちの競争優位性は優れた顧客サービスにある。,优势,我们的竞争优势来自卓越的客户服务。,ventaja,Nuestra ventaja competitiva proviene de un servicio al cliente superior.,lợi thế,Lợi thế cạnh tranh của chúng tôi đến từ dịch vụ khách hàng vượt trội.,ข้อได้เปรียบ; ความได้เปรียบ,ข้อได้เปรียบในการแข่งขันของเรามาจากการบริการลูกค้าที่เหนือกว่า,keuntungan; keunggulan,Keunggulan kompetitif kami berasal dari layanan pelanggan yang unggul.
advertise,The company will advertise the new product on social media.,광고하다,회사는 소셜 미디어에 신제품을 광고할 것이다.,広告する,会社はソーシャルメディアで新製品を宣伝する予定だ。,做广告,公司将在社交媒体上宣传新产品。,anunciar; publicitar,La empresa anunciará el nuevo producto en redes sociales.,quảng cáo,Công ty sẽ quảng cáo sản phẩm mới trên mạng xã hội.,โฆษณา,บริษัทจะโฆษณาผลิตภัณฑ์ใหม่บนโซเชียลมีเดีย,mengiklankan,Perusahaan akan mengiklankan produk baru di media sosial.
affect,The new regulation will affect all businesses in the region.,영향을 미치다,새로운 규정은 지역의 모든 기업에 영향을 미칠 것이다.,影響する,新しい規制はその地域のすべての企業に影響する。,影响,新法规将影响该地区的所有企业。,afectar; influir en,La nueva regulación afectará a todas las empresas de la región.,ảnh hưởng đến,Quy định mới sẽ ảnh hưởng đến tất cả các doanh nghiệp trong khu vực.,ส่งผลกระทบ; มีผลต่อ,กฎระเบียบใหม่จะส่งผลกระทบต่อธุรกิจทั้งหมดในภูมิภาค,mempengaruhi; berdampak pada,Peraturan baru akan mempengaruhi semua bisnis di wilayah tersebut.
afford,Small businesses cannot afford expensive marketing campaigns easily.,여유가 있다,중소기업은 고비용 마케팅 캠페인을 쉽게 감당할 수 없다.,余裕がある,中小企業は高額なマーケティングキャンペーンを簡単には実施できない。,负担得起,小型企业难以承担昂贵的营销活动。,poder permitirse,Las pequeñas empresas no pueden permitirse fácilmente costosas campañas de marketing.,có khả năng chi trả,Doanh nghiệp nhỏ không dễ dàng chi trả cho các chiến dịch tiếp thị đắt tiền.,สามารถจ่ายได้; มีกำลังซื้อ,ธุรกิจขนาดเล็กไม่สามารถจ่ายค่าแคมเปญการตลาดราคาแพงได้ง่าย ๆ,mampu membayar; sanggup,Usaha kecil tidak mampu membayar kampanye pemasaran yang mahal dengan mudah.
agency,We hired an agency to handle our public relations work.,대행사; 기관,우리는 홍보 업무를 처리할 대행사를 고용했다.,代理店; 機関,私たちは広報業務を担当する代理店を雇った。,代理机构,我们聘请了一家代理机构来处理公关工作。,agencia,Contratamos una agencia para manejar nuestro trabajo de relaciones públicas.,cơ quan; đại lý,Chúng tôi đã thuê một đại lý để xử lý công việc quan hệ công chúng.,หน่วยงาน; ตัวแทน,เราจ้างเอเจนซีมาจัดการงานประชาสัมพันธ์ของเรา,agensi; badan,Kami menyewa agensi untuk menangani pekerjaan hubungan masyarakat kami.
agenda,The merger discussion is the first item on the agenda.,안건; 의제,합병 논의가 안건의 첫 번째 항목이다.,議題,合併の議論が議題の最初の項目である。,议程,合并讨论是议程上的第一项。,agenda; orden del día,La discusión sobre la fusión es el primer punto de la agenda.,chương trình nghị sự,Thảo luận về sáp nhập là mục đầu tiên trong chương trình nghị sự.,วาระการประชุม,การหารือเรื่องการควบรวมกิจการเป็นวาระแรกในการประชุม,agenda; acara,Diskusi merger adalah item pertama dalam agenda.
aggressive,The company adopted an aggressive strategy to expand overseas.,적극적인,회사는 해외 진출을 위해 적극적인 전략을 채택했다.,積極的な,会社は海外進出のために積極的な戦略を採用した。,积极的,公司采取了积极的海外扩张策略。,agresivo; dinámico,La empresa adoptó una estrategia agresiva para expandirse al extranjero.,hung hăng; quyết liệt,Công ty đã áp dụng chiến lược quyết liệt để mở rộng ra nước ngoài.,ก้าวร้าว; เชิงรุก,บริษัทใช้กลยุทธ์เชิงรุกเพื่อขยายตลาดต่างประเทศ,agresif; gencar,Perusahaan mengadopsi strategi agresif untuk berekspansi ke luar negeri.
agreement,Both parties signed the agreement after lengthy negotiations.,합의; 계약,양측은 긴 협상 끝에 합의서에 서명했다.,合意; 契約,両者は長い交渉の末に合意書に署名した。,协议,双方在长时间谈判后签署了协议。,acuerdo,Ambas partes firmaron el acuerdo después de largas negociaciones.,thỏa thuận; hợp đồng,Cả hai bên đã ký thỏa thuận sau cuộc đàm phán kéo dài.,ข้อตกลง; สัญญา,ทั้งสองฝ่ายลงนามในข้อตกลงหลังจากการเจรจาอันยาวนาน,perjanjian; kesepakatan,Kedua belah pihak menandatangani perjanjian setelah negosiasi yang panjang.
allocate,The department will allocate funds for employee training programs.,배분하다,부서는 직원 교육 프로그램에 자금을 배분할 것이다.,割り当てる,部門は従業員研修プログラムに資金を割り当てる予定だ。,分配,部门将为员工培训项目分配资金。,asignar; distribuir,El departamento asignará fondos para los programas de capacitación de empleados.,phân bổ,Bộ phận sẽ phân bổ kinh phí cho các chương trình đào tạo nhân viên.,จัดสรร; แบ่งสรร,แผนกจะจัดสรรเงินทุนสำหรับโปรแกรมฝึกอบรมพนักงาน,mengalokasikan; membagikan,Departemen akan mengalokasikan dana untuk program pelatihan karyawan.
alternative,We should consider an alternative plan if sales decline further.,대안,매출이 더 감소하면 대안을 고려해야 한다.,代替案,売上がさらに減少した場合、代替案を検討すべきだ。,替代方案,如果销售额继续下降，我们应考虑替代方案。,alternativa,Deberíamos considerar un plan alternativo si las ventas siguen cayendo.,thay thế; phương án khác,Chúng ta nên xem xét một kế hoạch thay thế nếu doanh số tiếp tục giảm.,ทางเลือก; ทดแทน,เราควรพิจารณาแผนทางเลือกหากยอดขายลดลงอีก,alternatif; pilihan lain,Kita harus mempertimbangkan rencana alternatif jika penjualan terus menurun.
amount,The total amount of the invoice exceeds our approved budget.,금액; 양,송장 총액이 승인된 예산을 초과한다.,金額; 量,請求書の合計金額が承認された予算を超えている。,金额; 数量,发票总金额超过了我们批准的预算。,monto; cantidad,El monto total de la factura supera nuestro presupuesto aprobado.,số lượng; số tiền,Tổng số tiền trên hóa đơn vượt quá ngân sách đã được phê duyệt.,จำนวน; ปริมาณ,จำนวนเงินรวมในใบแจ้งหนี้เกินงบประมาณที่ได้รับอนุมัติ,jumlah,Jumlah total faktur melebihi anggaran yang disetujui.
analyze,The team will analyze customer feedback to improve the product.,분석하다,팀은 제품 개선을 위해 고객 피드백을 분석할 것이다.,分析する,チームは製品改善のために顧客のフィードバックを分析する。,分析,团队将分析客户反馈以改进产品。,analizar,El equipo analizará los comentarios de los clientes para mejorar el producto.,phân tích,Nhóm sẽ phân tích phản hồi của khách hàng để cải thiện sản phẩm.,วิเคราะห์,ทีมจะวิเคราะห์ความคิดเห็นจากลูกค้าเพื่อปรับปรุงผลิตภัณฑ์,menganalisis,Tim akan menganalisis umpan balik pelanggan untuk meningkatkan produk.
announce,The CEO will announce the quarterly earnings report tomorrow.,발표하다,CEO는 내일 분기 실적 보고서를 발표할 것이다.,発表する,CEOは明日、四半期業績報告を発表する予定だ。,宣布,首席执行官将于明天公布季度财报。,anunciar,El director ejecutivo anunciará el informe de ganancias trimestrales mañana.,thông báo; công bố,Giám đốc điều hành sẽ công bố báo cáo thu nhập quý vào ngày mai.,ประกาศ; แจ้ง,ซีอีโอจะประกาศรายงานผลประกอบการรายไตรมาสในวันพรุ่งนี้,mengumumkan,CEO akan mengumumkan laporan pendapatan kuartalan besok.
annual,The annual company retreat is scheduled for next month.,연간의; 연례의,연례 회사 워크숍은 다음 달로 예정되어 있다.,年間の,毎年恒例の社員旅行は来月に予定されている。,年度的,年度公司团建活动定于下个月举行。,anual,El retiro anual de la empresa está programado para el próximo mes.,hằng năm; thường niên,Kỳ nghỉ hàng năm của công ty được lên lịch vào tháng tới.,ประจำปี,การพักผ่อนประจำปีของบริษัทมีกำหนดในเดือนหน้า,tahunan,Retret tahunan perusahaan dijadwalkan bulan depan.
anticipate,We anticipate a significant increase in demand this quarter.,예상하다,이번 분기에 수요가 크게 증가할 것으로 예상한다.,予想する,今四半期は需要が大幅に増加すると予想している。,预期,我们预计本季度需求将大幅增长。,anticipar; prever,Anticipamos un aumento significativo en la demanda este trimestre.,dự đoán; lường trước,Chúng tôi dự đoán nhu cầu sẽ tăng đáng kể trong quý này.,คาดการณ์; คาดหวัง,เราคาดการณ์ว่าความต้องการจะเพิ่มขึ้นอย่างมากในไตรมาสนี้,mengantisipasi; memperkirakan,Kami mengantisipasi peningkatan permintaan yang signifikan kuartal ini.
apologize,The company apologized for the delay in shipping orders.,사과하다,회사는 배송 지연에 대해 사과했다.,謝る,会社は出荷の遅延についてお詫びした。,道歉,公司就发货延迟表示了歉意。,disculparse,La empresa se disculpó por el retraso en los envíos de pedidos.,xin lỗi,Công ty đã xin lỗi vì sự chậm trễ trong việc giao hàng.,ขอโทษ; ขออภัย,บริษัทขอโทษสำหรับความล่าช้าในการจัดส่งสินค้า,meminta maaf,Perusahaan meminta maaf atas keterlambatan pengiriman pesanan.
apparent,It was apparent that the project needed more funding.,명백한,프로젝트에 더 많은 자금이 필요하다는 것이 명백했다.,明らかな,プロジェクトにもっと資金が必要なことは明らかだった。,明显的,很明显该项目需要更多资金。,evidente; aparente,Era evidente que el proyecto necesitaba más financiamiento.,rõ ràng; hiển nhiên,Rõ ràng là dự án cần thêm kinh phí.,ชัดเจน; เห็นได้ชัด,เห็นได้ชัดว่าโครงการต้องการเงินทุนเพิ่มเติม,jelas; nyata,Sudah jelas bahwa proyek tersebut membutuhkan lebih banyak dana.
appeal,The new design appeals to younger consumers in the market.,호소하다; 매력,새로운 디자인은 시장의 젊은 소비자들에게 매력적이다.,訴える; 魅力,新しいデザインは市場の若い消費者に魅力的だ。,呼吁; 吸引力,新设计吸引了市场上的年轻消费者。,atraer; apelar,El nuevo diseño atrae a los consumidores más jóvenes del mercado.,thu hút; kháng cáo,Thiết kế mới thu hút người tiêu dùng trẻ trên thị trường.,ดึงดูดใจ; อุทธรณ์,ดีไซน์ใหม่ดึงดูดใจผู้บริโภคกลุ่มวัยรุ่นในตลาด,menarik; daya tarik,Desain baru menarik konsumen muda di pasar.
appliance,The store offers a wide range of home appliances on sale.,가전제품,그 매장은 다양한 가전제품을 할인 판매하고 있다.,家電製品,その店は幅広い家電製品をセールで提供している。,家用电器,该商店正在打折销售各种家用电器。,electrodoméstico,La tienda ofrece una amplia gama de electrodomésticos en oferta.,thiết bị; đồ gia dụng,Cửa hàng cung cấp nhiều loại đồ gia dụng giảm giá.,เครื่องใช้ไฟฟ้า,ร้านค้ามีเครื่องใช้ไฟฟ้าในบ้านหลากหลายชนิดลดราคา,peralatan rumah tangga,Toko menawarkan berbagai peralatan rumah tangga dengan harga diskon.
applicable,This discount is applicable only to orders over fifty dollars.,적용 가능한,이 할인은 50달러 이상 주문에만 적용된다.,適用できる,この割引は50ドル以上の注文にのみ適用される。,适用的,此折扣仅适用于50美元以上的订单。,aplicable; válido,Este descuento solo es aplicable a pedidos superiores a cincuenta dólares.,có thể áp dụng,Giảm giá này chỉ áp dụng cho các đơn hàng trên năm mươi đô la.,ใช้ได้; บังคับใช้ได้,ส่วนลดนี้ใช้ได้เฉพาะคำสั่งซื้อที่มีมูลค่ามากกว่าห้าสิบดอลลาร์,berlaku; dapat diterapkan,Diskon ini hanya berlaku untuk pesanan di atas lima puluh dolar.
application,Please submit your application before the end of this month.,신청; 지원; 응용,이번 달 말까지 지원서를 제출해 주세요.,応募; アプリ,今月末までに応募書類を提出してください。,申请; 应用,请在本月底前提交您的申请。,solicitud; aplicación,"Por favor, envíe su solicitud antes de que termine este mes.",đơn ứng tuyển; ứng dụng,Vui lòng nộp đơn ứng tuyển trước cuối tháng này.,ใบสมัคร; การสมัคร,กรุณายื่นใบสมัครก่อนสิ้นเดือนนี้,lamaran; aplikasi,Harap kirimkan lamaran Anda sebelum akhir bulan ini.
