"english","example","ko_meaning","ko_example","ja_meaning","ja_example","zh_meaning","zh_example"
"abjure","The CEO decided to abjure all ties with the controversial supplier.","포기하다","CEO는 논란이 많은 공급업체와의 모든 관계를 포기하기로 결정했다.","放棄する","CEOは問題のある取引先との全ての関係を放棄することを決めた。","放弃","CEO决定放弃与有争议的供应商的所有关系。"
"abnegate","She chose to abnegate personal gain for the benefit of the team.","자기를 희생하다","그녀는 팀의 이익을 위해 개인적 이득을 희생하기로 했다.","自己犠牲する","彼女はチームの利益のために個人的な利益を犠牲にした。","自我牺牲","她选择为了团队利益而牺牲个人利益。"
"abrogate","The board voted to abrogate the outdated employment policy.","폐지하다","이사회는 구식 고용 정책을 폐지하기로 투표했다.","廃止する","取締役会は時代遅れの雇用方針を廃止する投票を行った。","废除","董事会投票决定废除过时的雇用政策。"
"abstain","Several directors chose to abstain from voting on the merger.","기권하다","여러 이사들이 합병 투표에서 기권하기로 했다.","棄権する","数名の取締役が合併の投票を棄権することを選んだ。","弃权","几位董事选择在合并投票中弃权。"
"accolade","She received the highest accolade for her groundbreaking research.","찬사","그녀는 획기적인 연구로 최고의 찬사를 받았다.","称賛","彼女は画期的な研究で最高の称賛を受けた。","荣誉","她因开创性的研究获得了最高荣誉。"
"acquiesce","The union had no choice but to acquiesce to management demands.","묵인하다","노조는 경영진의 요구에 묵인할 수밖에 없었다.","黙認する","労働組合は経営陣の要求に黙認せざるを得なかった。","默许","工会别无选择只能默许管理层的要求。"
"acrimonious","The acrimonious dispute between partners led to the firm's dissolution.","신랄한","파트너 간의 신랄한 분쟁은 회사의 해산으로 이어졌다.","辛辣な","パートナー間の辛辣な争いが事務所の解散につながった。","尖刻的","合伙人之间的尖刻争端导致了公司的解散。"
"admonish","The supervisor had to admonish the employee for repeated tardiness.","훈계하다","감독관은 반복되는 지각에 대해 직원을 훈계해야 했다.","訓戒する","上司は繰り返す遅刻について従業員を訓戒しなければならなかった。","训诫","主管不得不因员工反复迟到而训诫他。"
"adversarial","The adversarial tone of the negotiations hindered any real progress.","적대적인","협상의 적대적인 분위기가 실질적인 진전을 방해했다.","敵対的な","交渉の敵対的な雰囲気が実質的な進展を妨げた。","对抗性的","谈判的对抗性基调阻碍了任何实质性进展。"
"aesthetic","The company invested heavily in the aesthetic appeal of its products.","미적인","회사는 제품의 미적 매력에 많은 투자를 했다.","美的な","会社は製品の美的魅力に多額の投資をした。","审美的","公司在产品的审美吸引力上投入了大量资金。"
"affable","His affable manner made him popular among clients and colleagues.","상냥한","그의 상냥한 태도는 고객과 동료들 사이에서 인기를 끌었다.","愛想の良い","彼の愛想の良い態度はクライアントや同僚に人気があった。","和蔼的","他和蔼的态度使他在客户和同事中很受欢迎。"
"aggregate","The aggregate revenue from all divisions exceeded expectations this quarter.","총합의","모든 부서의 총합 수익이 이번 분기 기대치를 초과했다.","総計の","全部門の総計収益が今四半期の予想を上回った。","总计的","所有部门的总计收入本季度超出了预期。"
"albeit","The proposal was accepted, albeit with several important modifications.","비록 ~이지만","제안은 몇 가지 중요한 수정 사항과 함께 수락되었다.","~ではあるが","提案はいくつかの重要な修正を伴いながらも承認された。","尽管","该提案被接受了，尽管有几项重要的修改。"
"allocate","Management decided to allocate additional funds to the research department.","할당하다","경영진은 연구부서에 추가 자금을 할당하기로 결정했다.","割り当てる","経営陣は研究部門に追加資金を割り当てることを決めた。","分配","管理层决定向研究部门分配额外资金。"
"allude","The speaker did not directly mention but allude to upcoming layoffs.","암시하다","연사는 직접 언급하지 않고 다가오는 해고를 암시했다.","暗示する","話者は直接言及せず、今後のリストラを暗示した。","暗示","演讲者没有直接提及但暗示了即将到来的裁员。"
"amalgamate","The two companies agreed to amalgamate their operations next fiscal year.","합병하다","두 회사는 다음 회계연도에 사업을 합병하기로 합의했다.","合併する","両社は来年度に事業を合併することで合意した。","合并","两家公司同意在下一财年合并业务。"
"ambiguous","The contract language was deliberately ambiguous to allow flexible interpretation.","모호한","계약 문구는 유연한 해석을 위해 의도적으로 모호하게 작성되었다.","曖昧な","契約の文言は柔軟な解釈を可能にするため意図的に曖昧だった。","模糊的","合同语言被故意写得模糊以便灵活解释。"
"ameliorate","New policies were introduced to ameliorate working conditions in factories.","개선하다","공장의 근로 조건을 개선하기 위해 새로운 정책이 도입되었다.","改善する","工場の労働条件を改善するために新しい方針が導入された。","改善","引入了新政策以改善工厂的工作条件。"
"amicable","Both parties reached an amicable settlement without going to court.","우호적인","양측은 법정에 가지 않고 우호적인 합의에 도달했다.","友好的な","両当事者は裁判に至ることなく友好的な和解に達した。","友好的","双方在不上法庭的情况下达成了友好和解。"
"analogous","The situation is analogous to what happened during the previous recession.","유사한","이 상황은 이전 불황 때 일어난 일과 유사하다.","類似した","この状況は前回の不況時に起きたことと類似している。","类似的","这种情况与上次经济衰退期间发生的情况类似。"
"ancillary","Ancillary services such as catering and cleaning were outsourced entirely.","부수적인","급식 및 청소와 같은 부수적인 서비스는 전부 외주되었다.","付随的な","ケータリングや清掃などの付随的サービスは完全に外部委託された。","辅助的","餐饮和清洁等辅助服务被完全外包。"
"anomaly","The auditors flagged the transaction as a financial anomaly worth investigating.","이상 현상","감사관들은 그 거래를 조사할 가치가 있는 재정적 이상 현상으로 표시했다.","異常","監査人はその取引を調査に値する財務上の異常として指摘した。","异常","审计人员将该交易标记为值得调查的财务异常。"
"antagonize","The new regulation could antagonize small business owners across the region.","적대시하다","새 규정은 지역 전체의 소규모 사업주들을 적대시할 수 있다.","敵対させる","新しい規制は地域全体の中小企業経営者を敵対させる可能性がある。","激怒","新法规可能会激怒该地区的小企业主。"
"antithesis","His management style is the antithesis of the collaborative approach we prefer.","정반대","그의 관리 방식은 우리가 선호하는 협력적 접근과 정반대이다.","正反対","彼の管理スタイルは私たちが好む協力的アプローチとは正反対だ。","对立面","他的管理风格与我们偏好的协作方式截然相反。"
"apathy","Employee apathy toward the new initiative was a major concern for leadership.","무관심","새 계획에 대한 직원들의 무관심이 리더십의 주요 우려 사항이었다.","無関心","新しい取り組みに対する従業員の無関心は経営陣の大きな懸念だった。","冷漠","员工对新举措的冷漠是领导层的主要担忧。"
"appease","The company offered refunds to appease dissatisfied customers after the recall.","달래다","회사는 리콜 후 불만 고객을 달래기 위해 환불을 제공했다.","なだめる","会社はリコール後の不満な顧客をなだめるために返金を提供した。","安抚","公司提供退款以安抚召回后不满的客户。"
